变量名,fmt,fmt_tw,fmt_en,fmt_vn,fmt_kr,fmt_pt,fmt_th
默认值,,,,,,"""""",""""""
ID,格式字符串,描述,描述,描述,描述,描述,描述
1,生命：|精灵的基本属性之一,生命：|精靈的基本屬性之一,HP:|One of the Pokémon's base stats,Sinh mệnh: | Tinh linh cơ bản thuộc tính một trong,HP: |포켓몬의 기본 속성 중 하나,HP:|Uma das estatísticas básicas do Pokémon,HP: | หนึ่งในค่าสถิติพื้นฐานของโปเกมอน
2,物攻：|精灵的基本属性之一,物攻：|精靈的基本屬性之一,P.DEF:|One of the Pokémon's base stats,Vật công: | Tinh linh cơ bản thuộc tính một trong,물리 공격: |포켓몬의 기본 속성 중 하나,P.DEF:|Uma das estatísticas básicas do Pokémon,P.DEF: | หนึ่งในค่าสถิติพื้นฐานของโปเกมอน
3,特攻：|精灵的基本属性之一,特攻：|精靈的基本屬性之一,SP.ATK:|One of the Pokémon's base stats,Đặc công: | Tinh linh cơ bản thuộc tính một trong,특수 공격: |포켓몬의 기본 속성 중 하나,SP.ATK:|Uma das estatísticas básicas do Pokémon,SP.ATK: | หนึ่งในค่าสถิติพื้นฐานของโปเกมอน
4,物防：|精灵的基本属性之一,物防：|精靈的基本屬性之一,P.DEF:|One of the Pokémon's base stats,Vật phòng: | Tinh linh cơ bản thuộc tính một trong,물리 방어: |포켓몬의 기본 속성 중 하나,P.DEF:|Uma das estatísticas básicas do Pokémon,P.DEF: | หนึ่งในค่าสถิติพื้นฐานของโปเกมอน
5,特防：|精灵的基本属性之一,特防：|精靈的基本屬性之一,SP.DEF:|One of the Pokémon's base stats,Đặc biệt phòng: | Tinh linh cơ bản thuộc tính một trong,특수 방어: |포켓몬의 기본 속성 중 하나,SP.DEF:|Uma das estatísticas básicas do Pokémon,SP.DEF: | หนึ่งในค่าสถิติพื้นฐานของโปเกมอน
6,速度：|精灵的基本属性之一，影响攻击顺序,速度：|精靈的基本屬性之一，影響攻擊順序,Speed:|One of the Pokémon's base stats that affects the order of attack,"Tốc độ: | Tinh linh cơ bản thuộc tính một trong, ảnh hưởng công kích trình tự","""스피드: |포켓몬의 기본 속성 중 하나, 공격 순서에 영향을 준다.""",Velocidade:|Uma das estatísticas básicas do Pokémon que afeta a ordem de ataque,ความเร็ว: | หนึ่งในค่าสถิติพื้นฐานของโปเกมอนที่ส่งผลต่อลำดับการโจมตี
7,怒气：|怒气上限1000点，影响精灵释放必杀技,怒氣：|怒氣上限1000點，影響精靈釋放必殺技,"Rage:|Rage is capped at 1000 points, and affects Pokémons releasing the ultimate move.",,"""분노: |분노 최대치 1000, 포켓몬이 발동하는 필살기에 영향을 준다.""",Raiva: A raiva tem um limite de 1000 pontos e afeta os Pokémon que liberam o movimento supremo.,"ความโกรธ: ความโกรธถูกจำกัดอยู่ที่ 1,000 แต้ม และส่งผลต่อโปเกมอนที่ปล่อยท่าไม้ตาย"
8,怒气恢复速度：|影响精灵的回怒快慢,怒氣恢復速度：|影響精靈的回怒快慢,Rage recovery: | Affects the speed of the Pokémon rage recovery,,분노 회복 속도: |포켓몬의 분노 회복 속도에 영향을 준다.,Recuperação de raiva: | Afeta a velocidade de recuperação da raiva do Pokémon,การฟื้นคืนความโกรธ: | ส่งผลต่อความเร็วของการฟื้นคืนความโกรธของโปเกมอน
