变量名,name,name_tw,name_en,name_vn,name_kr,name_pt,name_th,icon,type,arg,nums,levelMax,upCost,desc1,desc1_tw,desc1_en,desc1_vn,desc1_kr,desc1_pt,desc1_th,desc2,desc2_tw,desc2_en,desc2_vn,desc2_kr,desc2_pt,desc2_th
默认值,"""""","""""","""""","""""","""""","""""","""""","""""",0,0,<>,10,{},"""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
ID,描述,描述,描述,描述,描述,描述,描述,技能图标,技能类型,参数(增对4类型配置对应的yyID),技能数值,最大等级,升级消耗,技能描述,描述,描述,描述,描述,描述,描述,技能描述2,描述,描述,描述,描述,描述,描述
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,理财新手,理財新手,Finance Novice,,Tài Chính Tân Binh,Novato em finanças,การเงินมือใหม่,city/develop/train/icon_jbfbzj.png,12,0,<1>,1,{453=50},聚宝,聚寶,Treasure Pot,Nồi Báu,보물단지,Pote de Tesouro,หม้อสมบัติ,每日免费次数+%d,每日免費次數+%d,Free daily chances +%d,Lượt miễn phí hàng ngày +%d,매일 무료 횟수+%d,Chances diárias gratuitas +%d,โอกาสรายวันฟรี +%d
2,探险意志,探險意志,Exploration Will,,Ý Chí Thám Hiểm,Exploração Vontade,การสำรวจจะ,city/develop/train/icon_ptfbzj.png,18,0,<0.05;0.1;0.15;0.2;0.25>,5,{453=20},剧情副本,劇情副本,Story dungeon,Phó Bản Cốt Truyện,스토리 던전,Masmorra da história,ดันเจี้ยนเรื่องราว,获得金币+%d,獲得金幣+%d,Coins +%d,Vàng +%d,골드 코인 획득+%d,Moedas +%d,เหรียญ +%d
3,龙虾吃饱,龍蝦吃飽,Full Lobster,,Tôm Hùm No Nê,Lagosta completa,กุ้งมังกรเต็มตัว,city/develop/train/icon_tllq.png,14,3,<2;4;6;8;10>,5,{453=30},宝芙蕾（晚餐）,寶芙蕾（晚餐）,Dinner,Bữa Tối,포플레(저녁),Jantar,อาหารเย็น,领取体力额外+%d,領取體力額外+%d,Claim energy+%d,Nhận năng lượng +%d,체력 수령 추가+%d,Reivindicar energia+%d,รับพลังงาน+%d
4,理财顾问,理財顧問,Financial Consultant,,Cố Vấn Tài Chính,Consultor Financeiro,ที่ปรึกษาทางการเงิน,city/develop/train/icon_jbfbzj.png,13,0,<0.03;0.06;0.09;0.12;0.15>,5,{453=30},聚宝,聚寶,Treasure Pot,Nồi Báu,보물단지,Pote de Tesouro,หม้อสมบัติ,获得金币+%d,獲得金幣+%d,Coins +%d,Vàng +%d,골드 코인 획득+%d,Moedas +%d,เหรียญ +%d
5,精致佳肴,精緻佳餚,Exquisite Food,,Mỹ Vị Tinh Xảo,Comida requintada,อาหารเลิศรส,city/develop/train/icon_tllq.png,14,2,<2;4;6;8;10>,5,{453=35},宝芙蕾（午餐）,寶芙蕾（午餐）,Lunch,Bữa Trưa,포플레(점심),Almoço,อาหารกลางวัน,领取体力额外+%d,領取體力額外+%d,Claim energy+%d,Nhận năng lượng +%d,체력 수령 추가+%d,Reivindicar energia+%d,รับพลังงาน+%d
6,精英队员,精英隊員,Elite member,,Thành Viên Tinh Anh,Membro Elite,สมาชิกระดับ Elite,city/develop/train/icon_jyfbzj.png,19,0,<0.05;0.1;0.15;0.2;0.25>,5,{453=35},困难关卡,困難關卡,Elite Dungeon,Phó Bản Tinh Anh,하드 스테이지,Calabouço de Elite,ดันเจี้ยนชั้นสูง,获得金币+%d,獲得金幣+%d,Coins +%d,Vàng +%d,골드 코인 획득+%d,Moedas +%d,เหรียญ +%d
7,魔术手,魔術手,Magical Hands,,Đôi Tay Thần Kỳ,Mãos mágicas,มือมหัศจรรย์,city/develop/train/icon_ck.png,11,0,<1>,1,{453=60},金币抽卡,金幣抽卡,Coin Card Draw,Rút Thẻ Vàng,골드코인 뽑기,Sorteio de cartas de moedas,การจับฉลากการ์ดเหรียญ,每日免费次数+%d,每日免費次數+%d,Free daily chances +%d,Lượt miễn phí hàng ngày +%d,매일 무료 횟수+%d,Chances diárias gratuitas +%d,โอกาสรายวันฟรี +%d
