变量名,type,targetType,targetType2,targetArg,targetArg2,yyID,point,award,isShow,sort,title,title_tw,title_en,title_vn,title_kr,title_pt,title_th,desc,desc_tw,desc_en,desc_vn,desc_kr,desc_pt,desc_th,jumpTo,languages
默认值,0,1,1,,,,0,{},TRUE,1,"""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",<cn;tw;en;vn;th;kr;ar;de;fr;it;pt;ru>
ID,成就分类 1=人物成长 2=精灵收集 3=精灵培养 4=副本活动 5=竞技挑战 6=社交,任务目标类型,任务分类（客户端用）,任务目标参数(数量）,任务目标参数2（对应参数ID）,若是运营活动成就填yyID,获得成就点,任务奖励,是否显示（1显示 FALSE不显示）,任务顺序,标题,描述,描述,描述,描述,描述,描述,描述,描述,描述,描述,描述,描述,描述,跳转,语言区域
1001,1,1,1,40,,,20,{rmb=20;14=5},,1,初级训练家,初級訓練家,Rookie trainer,HLV Sơ Cấp,초급 트레이너,Treinador novato,เทรนเนอร์มือใหม่,人物等级达到40,人物等級達到40,Attain Trainer level 40,Đạt cấp độ nhân vật 40,캐릭터 40레벨 달성,Alcance o nível 40 do Treinador,ได้รับระดับเทรนเนอร์ 40,10000,
1002,1,1,1,60,,,20,{rmb=30;14=5},,2,中级训练家,中級訓練家,Intermediate Trainer,HLV Trung Cấp,중급 트레이너,Treinador Intermediário,ผู้ฝึกสอนระดับกลาง,人物等级达到60,人物等級達到60,Attain Trainer level 60,Cấp độ nhân vật đạt 60,캐릭터 60레벨 달성,Alcance o nível 60 do Treinador,ได้รับระดับเทรนเนอร์ 60,10000,
1003,1,1,1,80,,,30,{rmb=30;14=10},,3,高级训练家,高級訓練家,Advanced Trainer,HLV Cao Cấp,고급 트레이너,Treinador Avançado,ผู้ฝึกสอนขั้นสูง,人物等级达到80,人物等級達到80,Attain Trainer level 80,Cấp độ nhân vật đạt 80,캐릭터 80레벨 달성,Alcance o nível 80 do Treinador,ได้รับระดับเทรนเนอร์ 80,10000,
1004,1,1,1,99,,,30,{rmb=30;14=10;2000=1},,4,黄金训练家,黃金訓練家,Golden Trainer,HLV Hoàng Kim,골드 트레이너,Treinador Dourado,เทรนเนอร์สีทอง,人物等级达到99,人物等級達到99,Attain Trainer level 99,Cấp độ nhân vật đạt 99,캐릭터 99레벨 달성,Alcance o nível 99 do Treinador,ได้รับระดับเทรนเนอร์ 99,10000,
1005,1,1,1,104,,,30,{rmb=100;14=20},,5,新的起点,新的起點,New Start,Khởi đầu mới,새로운 시작,Novo começo,การเริ่มต้นใหม่,人物等级达到104,人物等級達到104,Attain Trainer level 104,Cấp độ nhân vật đạt 104,캐릭터 104레벨 달성,Alcance o nível 104 do Treinador,ได้รับระดับเทรนเนอร์ 104,10000,
1006,1,1,1,109,,,30,{rmb=100;14=30},FALSE,6,不屈的训练家,不屈的訓練家,Adamant Trainer,Huấn luyện viên kiên cường,단호한 트레이너,Treinador Adamant,อดัมแมนท์ เทรนเนอร์,人物等级达到109,人物等級達到109,Attain Trainer level 109,Cấp độ nhân vật đạt 109,캐릭터 109레벨 달성,Alcance o nível de Treinador 109,ได้รับระดับเทรนเนอร์ 109,10000,
1007,1,1,1,114,,,30,{rmb=100;14=30},FALSE,7,不屈的训练家,不屈的訓練家,Adamant Trainer,Huấn luyện viên kiên cường,단호한 트레이너,Treinador Adamant,อดัมแมนท์ เทรนเนอร์,人物等级达到114,人物等級達到114,Attain Trainer level 114,Cấp độ nhân vật đạt 114,캐릭터 114레벨 달성,Alcance o nível de Treinador 114,ได้รับระดับเทรนเนอร์ 114,10000,
1008,1,1,1,119,,,30,{rmb=100;14=30},FALSE,8,不屈的训练家,不屈的訓練家,Adamant Trainer,Huấn luyện viên kiên cường,단호한 트레이너,Treinador Adamant,อดัมแมนท์ เทรนเนอร์,人物等级达到119,人物等級達到119,Attain Trainer level 119,Đạt cấp độ nhân vật là 119,캐릭터 119레벨 달성,Alcance o nível de Treinador 119,ได้รับระดับเทรนเนอร์ 119,10000,
