变量名,title,title_tw,title_en,title_vn,title_kr,title_pt,title_th,languages,showType,color,resBg,res,spineSize,type,sameId,kind,source,itemId,feature,rank,needNotice,alwaysDisplay,days,message,_message,message_tw,message_en,needNotice_vn,message_kr,message_pt,message_th,conditionDesc,conditionDesc_tw,conditionDesc_en,conditionDesc_kr,conditionDesc_vn,conditionDesc_pt,conditionDesc_th,condition1,conditionArg1_1,conditionArg1_2,conditionDesc2,condition2,conditionArg2_1,conditionArg2_2,attrNatureType1,attrType1,attrValue1,attrNatureType2,attrType2,attrValue2,attrNatureType3,attrType3,attrValue3
默认值,,,,,,,,<cn;tw;en;vn;th;kr;pt>,txt,<92;153;112>,,,,1,,1,,,,,,1,0,"""""","""""","""""","""""","""""","""""","""""","""""",,,,,,,,,,,,,,,0,0,"""""",0,0,"""""",0,0,""""""
ID,头衔名称,頭銜名稱,头衔名称,头衔名称_越南,头衔名称_韩,头衔名称_韩,头衔名称_韩,语言区域,显示类型,称号颜色,头衔底资源路径,头衔资源路径,特效称号大小,称号所属类型,相同头衔的Id,称号类别 (1=role; 2=union),称号来源,物品ID,所属系统参数,名次,获得提醒,一直显示,有效期,上线广播台词,上线广播台词,上線廣播臺詞,上线广播台词,上线广播台词_越南,上线广播台词_韩,上线广播台词_韩,上线广播台词_韩,获取条件说明,获取条件说明,获取条件说明,获取条件说明_韩,获取条件说明,获取条件说明,获取条件说明,获取条件计数器,获取条件的计数,获取条件的参数2,获取条件2说明,获取条件2计数器,获取条件2的计数,获取条件2的参数2,自然属性卡牌加成(0表示全部),属性类型,属性数值,自然属性卡牌加成(0表示全部),属性类型,属性数值,自然属性卡牌加成(0表示全部),属性类型,属性数值
1,真新人,真新人,Newbie,Người mới,진정한 신인,Novato de Verdade,คนใหม่ที่แท้จริง,,txt,<92;153;112>,config/title/img_green@.png,config/title/zxr@.png,,2,,1,,,,,,1,0,,,,,,,,,lv10时获得,lv10時獲得,Obtained at Lv.10,Lv.10 달성 시 획득,Nhận ở Lv.10,Obtido no Nv.10,ได้รับเมื่อถึง Lv.10,1,10,,,,,,0,9,30,0,10,30,0,0,
2,超级真新人,超級真新人,Super Newbie,Siêu người mới,슈퍼 신인,Super Novato de Verdade,ซูเปอร์คนใหม่,,pic,<92;153;112>,config/title/img_red@.png,config/title/txt_cjzxr.png,,2,,1,,,,,,1,0,,,,,,,,,lv.99时获得,lv.99時獲得,Obtained at Lv.99,Lv.99 달성 시 획득,Nhận ở Lv.99,Obtido no Nv.99,ได้รับเมื่อถึง Lv.99,1,99,,,,,,0,7,500,0,8,500,0,0,
3,请多关照,請多關照,Please Take Care of Me,Xin hãy chiếu cố,잘 부탁드립니다,"Por Favor, Cuide de Mim",ขอฝากตัวด้วย,,txt,<92;153;112>,config/title/img_green@.png,config/title/qdgz@.png,,2,,1,,,,,,1,0,,,,,,,,,lv.1时获得,lv.1時獲得,Obtained at Lv.1,Lv.1 달성 시 획득,Nhận ở Lv.1,Obtido no Nv.1,ได้รับเมื่อถึง Lv.1,1,1,,,,,,0,1,100,0,0,,0,0,
4,新的历练,新的歷練,New Training,Luyện tập mới,새로운 시련,Novo Treinamento,การฝึกฝนใหม่,,txt,<138;92;153>,config/title/img_purple@.png,config/title/xdll@.png,,2,,1,,,,,,1,0,,,,,,,,,lv.50时获得,lv.50時獲得,Obtained at Lv.50,Lv.50 달성 시 획득,Nhận ở Lv.50,Obtido no Nv.50,ได้รับเมื่อถึง Lv.50,1,50,,,,,,0,13,30,0,0,,0,0,
5,冒险新人,冒險新人,Adventure Novice,Tân binh mạo hiểm,모험 신인,Novato da Aventura,นักผจญภัยมือใหม่,,txt,<92;153;112>,config/title/img_green@.png,config/title/mxxr@.png,,2,,1,,,,,,1,0,,,,,,,,,通关5-10,通關5-10,Clear Stage 5-10,5-10 클리어,Vượt qua màn 5-10,Concluir Estágio 5-10,เคลียร์ด่าน 5-10,2,10510,,,,,,0,1,300,0,0,,0,0,
6,冒险专家,冒險專家,Adventure Expert,Chuyên gia mạo hiểm,모험 전문가,Especialista em Aventura,ผู้เชี่ยวชาญการผจญภัย,,pic,<92;153;112>,config/title/img_red@.png,config/title/txt_mxzj.png,,2,,1,,,,,,1,0,,,,,,,,,通关12-10,通關12-10,Clear Stage 12-10,12-10 클리어,Vượt qua màn 12-10,Concluir Estágio 12-10,เคลียร์ด่าน 12-10,2,11210,,,,,,0,7,100,0,8,100,0,0,
7,热情收藏家,熱情收藏家,Enthusiastic Collector,Nhà sưu tầm nhiệt tình,열정적인 수집가,Colecionador Entusiasta,นักสะสมผู้กระตือรือร้น,,txt,<61;138;153>,config/title/img_blue@.png,config/title/rqscj@.png,,2,,1,,,,,,1,0,,,,,,,,,解锁图鉴50个,解鎖圖鑒50個,Unlock 50 Pokédex entries,도감 50개 해금,Mở khóa 50 mục Pokédex,Desbloquear 50 entradas na Pokédex,ปลดล็อกโปเกเด็กซ์ 50 รายการ,76,50,,,,,,0,1,500,0,0,,0,0,
8,激进收藏家,激進收藏家,Aggressive Collector,Nhà sưu tầm cấp tiến,과격한 수집가,Colecionador Agressivo,นักสะสมผู้ก้าวร้าว,,txt,<138;92;153>,config/title/img_purple@.png,config/title/jjscj@.png,,2,,1,,,,,,1,0,,,,,,,,,解锁图鉴100个,解鎖圖鑒100個,Unlock 100 Pokédex entries,도감 100개 해금,Mở khóa 100 mục Pokédex,Desbloquear 100 entradas na Pokédex,ปลดล็อกโปเกเด็กซ์ 100 รายการ,76,100,,,,,,0,1,1000,0,0,,0,0,
9,狂热收藏家,狂熱收藏家,Fervent Collector,Nhà sưu tầm cuồng nhiệt,열광적인 수집가,Colecionador Fervoroso,นักสะสมผู้คลั่งไคล้,,pic,<92;153;112>,config/title/img_red@.png,config/title/txt_krscj.png,,2,,1,,,,,,1,0,,,,,,,,,解锁图鉴200个,解鎖圖鑒200個,Unlock 200 Pokédex entries,도감 200개 해금,Mở khóa 200 mục Pokédex,Desbloquear 200 entradas na Pokédex,ปลดล็อกโปเกเด็กซ์ 200 รายการ,76,200,,,,,,0,1,2000,0,0,,0,0,
10,钢铁之躯,鋼鐵之軀,Body of Steel,Thân thể sắt thép,강철의 몸,Corpo de Aço,ร่างกายเหล็กกล้า,,pic,<92;153;112>,config/title/img_red@.png,config/title/txt_gtzq.png,,2,,1,,,,,,1,0,,,,,,,,,无尽挑战通关第50关,無盡挑戰通關第50關,Clear Stage 50 of Endless Challenge,무한 챌린지 50관 클리어,Vượt qua màn 50 Thử thách Vô tận,Concluir o Estágio 50 do Desafio Infinito,เคลียร์ด่านที่ 50 ของการท้าทายไร้สิ้นสุด,77,100050,,,,,,0,9,100,0,10,100,0,0,
11,好战者,好戰者,Warmonger,Kẻ hiếu chiến,호전적인 자,Guerreiro,ผู้ชอบสงคราม,,txt,<138;92;153>,config/title/img_purple@.png,config/title/hzz@.png,,2,,1,,,,,,1,0,,,,,,,,,竞技场累积战斗100次,競技場累積戰鬥100次,Battle 100 times in the Arena,아레나 누적 전투 100회,Chiến đấu 100 lần tại Đấu trường,Batalhar 100 vezes na Arena,ต่อสู้ในอารีน่าสะสม 100 ครั้ง,41,100,,,,,,0,7,60,0,8,60,0,0,
12,口袋空空,口袋空空,Empty Pockets,Túi rỗng,빈 주머니,Bolsos Vazios,กระเป๋าว่างเปล่า,,txt,<138;92;153>,config/title/img_purple@.png,config/title/kdkk@.png,,2,,1,,,,,,1,0,,,,,,,,,累积招财200次,累積招財200次,Use Fortune Cat 200 times,재물 부르기 누적 200회,Dùng Mèo Chiêu Tài 200 lần,Usar Gato da Fortuna 200 vezes,เรียกแมวกวักสะสม 200 ครั้ง,18,200,,,,,,0,9,100,0,10,100,0,0,
13,精力充沛,精力充沛,Full of Energy,Tràn đầy năng lượng,활기 넘침,Cheio de Energia,พลังงานเต็มเปี่ยม,,txt,<138;92;153>,config/title/img_purple@.png,config/title/jlcp@.png,,2,,1,,,,,,1,0,,,,,,,,,累积购买体力100次,累積購買體力100次,Purchase Stamina 100 times,체력 누적 구매 100회,Mua Thể lực 100 lần,Comprar Vigor 100 vezes,ซื้อสเตมินาสะสม 100 ครั้ง,26,100,,,,,,0,1,500,0,0,,0,0,
14,神秘旅人,神秘旅人,Mysterious Traveler,Lữ khách bí ẩn,신비한 여행자,Viajante Misterioso,นักเดินทางลึกลับ,,txt,<138;92;153>,config/title/img_purple@.png,config/title/smlr@.png,,2,,1,,,,,,1,0,,,,,,,,,累积通关剧情和困难关卡1000次,累積通關劇情和困難關卡1000次,Clear Story and Hard Stages 1000 times in total,스토리 및 어려움 스테이지 누적 클리어 1000회,Vượt qua màn Cốt truyện và Khó tổng cộng 1000 lần,Concluir Estágios de História e Difíceis 1000 vezes no total,เคลียร์ด่านเนื้อเรื่องและด่านยากสะสม 1000 ครั้ง,33,1000,,,,,,0,7,150,0,8,150,0,0,
15,强迫症晚期,強迫症晚期,Advanced OCD,OCD giai đoạn cuối,강박증 말기,TOC Avançado,โรคย้ำคิดย้ำทำขั้นสุดท้าย,,txt,<138;92;153>,config/title/img_purple@.png,config/title/qpzwq@.png,,2,,1,,,,,,1,0,,,,,,,,,完成日常任务200次,完成日常任務200次,Complete Daily Missions 200 times,일일 임무 200회 완료,Hoàn thành Nhiệm vụ Hàng ngày 200 lần,Completar Missões Diárias 200 vezes,ทำภารกิจรายวันสำเร็จ 200 ครั้ง,70,200,,,,,,0,9,80,0,10,80,0,0,
16,乐于奉献,樂於奉獻,Happy to Contribute,Vui lòng cống hiến,기꺼이 헌신하는 자,Feliz em Contribuir,ยินดีที่จะอุทิศตน,,txt,<138;92;153>,config/title/img_purple@.png,config/title/lyfx@.png,,2,,1,,,,,,1,0,,,,,,,,,累积公会捐献150次,累積公會捐獻150次,Donate to Guild 150 times in total,길드 누적 기부 150회,Quyên góp cho Bang hội tổng cộng 150 lần,Doar para a Guilda 150 vezes no total,บริจาคให้กิลด์สะสม 150 ครั้ง,55,150,,,,,,0,1,300,0,0,,0,0,
