变量名,name,name_tw,name_en,name_vn,name_kr,name_pt,name_th,icon,desc,desc_tw,desc_en,desc_vn,desc_kr,desc_pt,desc_th,openLv,noticeLv,type,goToPanel
默认值,"""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",1,1,1,""""""
ID,功能/特权名称,功能/特权名称,功能/特权名称,功能/特权名称_越南,功能/特权名称_韩,功能/特权名称_韩,功能/特权名称_韩,功能展示logo,相关简单说明,相关简单说明,相关简单说明,相关简单说明_越南,相关简单说明_韩,相关简单说明_韩,相关简单说明_韩,开启等级,开始提醒等级,提示的优先级 1.基础功能、布阵、公会、聊天等 2.活动功能、竞技场、王者等活动 3.附属功能、如同XX特权、XX星座什么的,特殊跳转
1,抽卡,抽卡,Draw a card,Rút thẻ,뽑기,Sacar carta,สุ่มการ์ด,city/levelup/icon_nd_rk@.png,抽取强力精灵，提升实力,抽取強力精靈，提升實力,Draw powerful Pokémons to enhance your strength,Triệu hồi Pokémon mạnh để tăng sức mạnh,강력한 포켓몬을 획득해 실력을 높이세요.,Desenhe Pokémon poderosos para aumentar sua força,สุ่มโปเกมอนแกร่งเพื่อเพิ่มพลัง,2,1,1,
2,布阵,佈陣,Adjust line-up,Điều chỉnh đội hình,라인업,Ajustar equipe,จัดทีม,city/levelup/icon_bd_rk@.png,上阵精灵，调整站位,上陣精靈，調整站位,Send out Pokémons and adjust the formation,Cử Pokémon và điều chỉnh đội hình,포켓몬을 출전시켜 라인업을 구성하세요.,Envie Pokémon e ajuste a formação,ส่งโปเกมอนและจัดทีมใหม่,2,1,1,
3,精灵进阶,精靈進階,Pokémon Upgrade,Nâng cấp Pokémon,포켓몬 진화,Upgrade de Pokémon,อัปเกรดโปเกมอน,city/levelup/icon_yc_rk@.png,精灵进阶，提升精力战斗力,精靈進階，提升精力戰鬥力,Upgrade Pokémons to boost the Pokémon's energy and combat power,Nâng cấp Pokémon để tăng năng lượng và sức chiến đấu,포켓몬을 진화시켜 전투력을 높이세요.,Melhore Pokémon para aumentar energia e poder de combate,อัปเกรดโปเกมอนเพื่อเพิ่มพลังและพลังโจมตี,3,2,1,
4,技能升级,技能升級,Upgrade move,Nâng kỹ năng,기술 레벨업,Melhorar habilidade,อัปสกิล,city/levelup/icon_yc_rk@.png,技能升级，提升技能威力,技能升級，提升技能威力,Level up move to enhance its power,Tăng cấp chiêu thức để nâng cao sát thương,기술을 레벨업해 기술 위력을 높이세요.,Suba o nível do golpe para aumentar o dano,อัปสกิลเพื่อเพิ่มความแรง,3,2,1,
5,精灵升级,精靈升級,Pokémon upgrade,Tiến hóa Pokémon,포켓몬 레벨업,Evoluir Pokémon,วิวัฒนาการโปเกมอน,city/levelup/icon_yc_rk@.png,快速提升精灵等级,快速提升精靈等級,Quick upgrade in Pokémon level,Tăng cấp nhanh cho Pokémon,포켓몬의 레벨을 빠르게 높일 수 있어요.,Upgrade rápido no nível do Pokémon,อัปเลเวลโปเกมอนอย่างรวดเร็ว,4,3,1,
6,商店,商店,Shop,Cửa hàng,상점,Loja,ร้านค้า,city/levelup/icon_sd_rk.png,商店开启，可以购买各种道具,商店開啟，可以購買各種道具,"Shop is now open, you may now purchase various items","Cửa hàng đã mở, bạn có thể mua vật phẩm",상점에서 각종 아이템을 구매할 수 있어요.,"A loja está aberta, compre itens diversos",ร้านค้าเปิดแล้ว ซื้อไอเท็มได้เลย,9,3,1,
7,图鉴,圖鑒,Pokédex,Pokédex,도감,Pokédex,Pokédex,city/levelup/icon_tj_rk@.png,收集精灵，解锁图鉴，成为更强的训练家吧,收集精靈，解鎖圖鑒，成為更強的訓練家吧,Collect Pokémons and unlock Pokédex entries to become a strong trainer!,Thu thập Pokémon và mở Pokédex để trở thành huấn luyện viên mạnh,포켓몬을 수집하고 도감을 개방해 더욱 강한 트레이너가 되세요.,Colete Pokémon e desbloqueie Pokédex para virar mestre,สะสมโปเกมอน ปลดล็อก Pokédex เพื่อเป็นเทรนเนอร์ระดับสูง,10,3,1,
8,携带道具,攜帶道具,Held Items,Trang bị,휴대 아이템,Itens de suporte,ไอเท็มถือ,city/levelup/icon_yc_rk@.png,携带道具，获得额外效果,攜帶道具，獲得額外效果,"Held Item, it gives additional effects",Trang bị giúp tăng hiệu ứng đặc biệt,휴대 아이템으로 추가 효과를 획득하세요.,Item equipado fornece efeitos extras,ไอเท็มถือให้เอฟเฟกต์พิเศษ,11,4,1,
