变量名,key,text,text_tw,text_en,text_vn,text_kr,text_pt,text_th
默认值,"""404404""","""404404""","""language404404""","""language404404""","""language404404""","""language404404""","""""",""""""
序号,key（5000之前是服务器使用）,中文简体,描述,描述,描述,描述,描述,描述
1,sessionError,Please login again!,請重新登入！,Please login again!,Mời một lần nữa đăng nhập!,다시 로그인하세요!,"Por favor, faça login novamente!",กรุณาเข้าสู่ระบบอีกครั้ง!
2,todayChanllengeToMuch,You've reached the maximum number of battles today and cannot battle anymore!,今日挑戰已達上限，不能再挑戰啦！,You've reached the maximum number of battles today and cannot battle anymore!,"Hôm nay đã đạt giới hạn thử thách, không thể thử thách thêm nữa!",오늘의 도전이 이미 한도에 도달했습니다!,Você atingiu o número máximo de batalhas hoje e não pode mais batalhar!,วันนี้คุณถึงจำนวนการต่อสู้สูงสุดแล้วและไม่สามารถต่อสู้ต่อไปได้อีก!
3,advanceGoldNotEnough,"Insufficient coins, unable to breakthrough!",金幣不足，無法突破！,"Insufficient coins, unable to breakthrough!","Không đủ vàng, không thể đột phá!",코인이 부족해 돌파할 수 없습니다!,"Moedas insuficientes, não é possível avançar!",เหรียญไม่เพียงพอ ไม่สามารถฝ่าทะลุได้!
4,advanceItemsNotEnough,"Insufficient items, unable to breakthrough!",道具不足，無法突破！,"Insufficient items, unable to breakthrough!",Không đủ vật phẩm! Không thể đột phá!,아이템이 부족해 돌파할 수 없습니다!,"Itens insuficientes, não é possível avançar!",สิ่งของไม่เพียงพอ ไม่สามารถฝ่าทะลุได้!
5,advanceLevelNotEnough,"Insufficient level, unable to breakthrough!",等級不足，無法突破！,"Insufficient level, unable to breakthrough!",Cấp độ không đủ để đột phá!,레벨이 부족해 돌파할 수 없습니다!,"Nível insuficiente, incapaz de avançar!",ระดับไม่เพียงพอ ไม่สามารถฝ่าทะลุได้!
6,advanceFragsNotEnough,"""Insufficient shards, unable to upgrade!""",碎片不足，無法進階！,"""Insufficient shards, unable to upgrade!""",Không đủ Mảnh ghép để tiến hóa!,조각이 부족해 진화할 수 없습니다!,"Fragmentos insuficientes, não é possível atualizar!",ชิ้นส่วนไม่เพียงพอ ไม่สามารถอัปเกรดได้!
7,advanceMaxErr,"""You've upgraded to the maximum level, so stay tuned for new updates!""",已突破到頂級，敬請期待新版本更新！,"""You've upgraded to the maximum level, so stay tuned for new updates!""","Đã đột phá cấp cao nhất, vui lòng chờ cập nhật phiên bản mới!",이미 한도까지 돌파했습니다. 신규 업데이트를 기대해 주세요!,"Você atingiu o nível máximo, então fique atento às novas atualizações!",คุณได้อัปเกรดเป็นระดับสูงสุดแล้ว ดังนั้นโปรดติดตามการอัปเดตใหม่ๆ ต่อไป!
8,skillLevelGoldNotEnough,"""Gold is not enough, skill can't  upgrade.""",金幣不足，技能無法升級！,"""Gold is not enough, skill can't  upgrade.""","Không đủ vàng, không thể nâng cấp kỹ năng!",코인이 부족해 기술을 레벨업할 수 없습니다!,"Ouro não é suficiente, habilidade não pode ser aprimorada.",“ทองอย่างเดียวไม่พอ ทักษะก็อัพเกรดไม่ได้”
