变量名,name,name_tw,name_en,name_vn,name_kr,name_pt,name_th,_备注,feature,desc,showLevel,startLevel,startLevel_kr,startGate,startVip,languages,servers
默认值,"""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",0,0,0,0,0,<cn;tw;en;vn;th;kr;pt>,{dev=<1;999999>;cn=<1;999999>;vn=<1;999999>;tw=<1;999999>;kr=<1;999999>;en=<1;999999>;pt=<1;999999>;th=<1;999999>}
ID,名称,名称,名称,名称_越南,名称_韩,名称_韩,名称_韩,名称,功能key,说明,显示等级，针对加锁类型,需要的等级（忽略showLevel）,需要的等级（忽略showLevel）,需要的关卡,需要的VIP等级,语言区域,服务器
1,关卡自动战斗,關卡自動戰鬥,Stage Auto-Battle,Tự động chiến đấu màn chơi,스테이지 자동 전투,Batalha Automática de Estágio,ต่อสู้อัตโนมัติในด่าน,,gateAuto,加锁;服务器不限制,0,0,0,0,0,,
2,关卡2倍速,關卡2倍速,Stage 2x Speed,Tốc độ 2x màn chơi,스테이지 2배속,Velocidade 2x de Estágio,ความเร็ว 2 เท่าในด่าน,,gateSpeed2,加锁;服务器不限制,0,0,0,0,0,,
3,关卡暂停,關卡暫停,Stage Pause,Tạm dừng màn chơi,스테이지 일시정지,Pausar Estágio,หยุดชั่วคราวด่าน,,gatePause,加锁;服务器不限制,0,0,0,0,0,,
4,困难关卡,困難關卡,Hard Stage,Màn chơi Khó,어려움 스테이지,Estágio Difícil,ด่านระดับยาก,,heroGate,隐藏显示,5,5,5,10204,0,,
5,大招加速,大招加速,Ultimate Move Speed-Up,Tăng tốc chiêu cuối,필살기 가속,Acelerar Habilidade Suprema,เร่งความเร็วท่าไม้ตาย,,ultraAcc,隐藏显示,12,20,20,0,0,,
6,噩梦关卡,噩夢關卡,Nightmare Stage,Màn chơi Ác mộng,악몽 스테이지,Estágio Pesadelo,ด่านระดับฝันร้าย,,nightmareGate,隐藏显示,36,47,47,20101,0,,
7,关卡3倍速,關卡3倍速,Stage 3x Speed,Tốc độ 3x màn chơi,스테이지 3배속,Velocidade 3x de Estágio,ความเร็ว 3 เท่าในด่าน,,gateSpeed3,加锁;服务器不限制,15,20,20,10102,0,,
8,快速扫荡,快速掃蕩,Quick Blitz,Càn quét nhanh,빠른 소탕,Blitz Rápido,กวาดล้างรวดเร็ว,,quickSweep,隐藏显示,60,60,60,10910,0,,
9,跳过新手战斗,跳過新手戰鬥,Skip Novice Battle,Bỏ qua trận đấu Tân thủ,초보자 전투 건너뛰기,Pular Batalha de Novato,ข้ามการต่อสู้สำหรับมือใหม่,,skipNewbieBattle,,50,50,50,0,0,,
10,跳过元素挑战,跳過元素挑戰,Skip Elemental Challenge,Bỏ qua Thử thách Nguyên tố,엘리멘탈 챌린지 건너뛰기,Pular Desafio Elemental,ข้ามการท้าทายธาตุ,,skipCloneBattle,隐藏显示,75,75,75,0,0,,
11,扫荡礼物副本当前关,掃蕩禮物副本當前關,Blitz Current Gift Dungeon Stage,Càn quét Phó bản Quà tặng hiện tại,현재 선물 던전 소탕,Blitz no Estágio Atual da Masmorra de Presentes,กวาดล้างดันเจี้ยนของขวัญด่านปัจจุบัน,,dailyGiftGate,隐藏显示,65,65,65,0,0,,
100,普通商店,普通商店,Normal Shop,Cửa hàng Thường,일반 상점,Loja Normal,ร้านค้าทั่วไป,,shop,加锁,0,9,9,0,0,,
101,竞技商店,競技商店,Arena Shop,Cửa hàng Đấu trường,아레나 상점,Loja da Arena,ร้านค้าอารีน่า,,arenaShop,隐藏显示,15,15,15,0,0,,
102,公会商店,公會商店,Guild Shop,Cửa hàng Bang hội,길드 상점,Loja da Guilda,ร้านค้ากิลด์,,unionShop,隐藏显示,20,20,20,0,0,,
103,碎片商店,碎片商店,Shard Shop,Cửa hàng Mảnh vỡ,조각 상점,Loja de Fragmentos,ร้านค้าชิ้นส่วน,,fragmentShop,隐藏显示,26,26,26,0,0,,
104,商店分类,商店分類,Shop Category,Phân loại Cửa hàng,상점 분류,Categoria da Loja,หมวดหมู่ร้านค้า,,shopClassity,隐藏显示,55,55,55,0,0,,
105,饰品抽卡,飾品抽卡,Accessory Gacha,Gacha Phụ kiện,장신구 뽑기,Gacha de Acessórios,กาชาเครื่องประดับ,,drawEquip,隐藏显示,22,26,26,0,0,,
106,限定抽卡累计宝箱功能,限定抽卡累積寶箱功能,Limited Gacha Cumulative Chest Function,Chức năng Rương tích lũy Gacha Giới hạn,한정 뽑기 누적 상자 기능,Função de Baú Acumulativo de Gacha Limitado,ฟังก์ชันหีบสะสมกาชาลิมิเต็ด,,timeLimitUpDrawSumBox,隐藏显示,6,6,6,0,0,,
107,抽卡累计宝箱功能,抽卡累積寶箱功能,Gacha Cumulative Chest Function,Chức năng Rương tích lũy Gacha,뽑기 누적 상자 기능,Função de Baú Acumulativo de Gacha,ฟังก์ชันหีบสะสมกาชา,,drawSumBox,隐藏显示,6,6,6,0,0,,
108,钻石抽卡提示,鑽石抽卡提示,Diamond Gacha Prompt,Thông báo Gacha Kim cương,다이아 뽑기 알림,Aviso de Gacha de Diamante,แจ้งเตือนกาชาเพชร,,diamondDrawTips,加锁,0,40,40,0,0,,
109,饰品抽卡提示,飾品抽卡提示,Accessory Gacha Prompt,Thông báo Gacha Phụ kiện,장신구 뽑기 알림,Aviso de Gacha de Acessórios,แจ้งเตือนกาชาเครื่องประดับ,,equipDrawTips,加锁,0,199,199,0,0,,
110,限定抽卡提示,限定抽卡提示,Limited Gacha Prompt,Thông báo Gacha Giới hạn,한정 뽑기 알림,Aviso de Gacha Limitado,แจ้งเตือนกาชาลิมิเต็ด,,diamondUpDrawTips,,0,40,40,0,0,,
111,限时神兽提示,限時神獸提示,Time-limited Legendary Pokémon Prompt,Thông báo Pokémon Huyền thoại Giới hạn Thời gian,기간 한정 전설의 포켓몬 알림,Aviso de Pokémon Lendário por Tempo Limitado,แจ้งเตือนโปเกมอนในตำนานจำกัดเวลา,,limitDrawTips,,40,45,45,0,0,,
112,时装商店,時裝商店,Fashion Shop,Cửa hàng Thời trang,코스튬 상점,Loja de Trajes,ร้านค้าแฟชั่น,,skinShop,,30,30,30,0,0,,
113,符石抽取提示,符石抽取提示,Rune Gacha Prompt,Thông báo Rút Rune,룬 뽑기 알림,Aviso de Gacha de Runas,แจ้งเตือนสุ่มรูน,,gemDrawTips,,66,66,66,0,0,,
114,自选限定抽卡up,自選限定抽卡UP,Selectable Limited Gacha Rate-Up,Tự chọn Tăng tỷ lệ Gacha Giới hạn,선택 한정 뽑기 확률 UP,Taxa de Gacha Limitado Selecionável Aumentada,เลือกเรทอัพกาชาลิมิเต็ด,,groupDrawCardUp,,6,6,6,0,0,,
200,个人形象,個人形象,Personal Image,Hình ảnh cá nhân,개인 이미지,Imagem Pessoal,รูปโปรไฟล์,,roleFigure,加锁;服务器不限制,0,1,1,0,0,,
201,头衔,頭銜,Title,Danh hiệu,칭호,Título,ฉายา,,title,加锁,0,1,1,0,0,,
202,精灵加锁,寶可夢加鎖,Pokémon Lock,Khóa Pokémon,포켓몬 잠금,Bloqueio de Pokémon,ล็อกโปเกมอน,,cardUnlock,隐藏显示;服务器不限制,1,1,1,0,0,,
203,饰品,飾品,Accessory,Phụ kiện,장신구,Acessório,เครื่องประดับ,,equip,加锁,1,5,5,10202,0,,
204,饰品升星,飾品升星,Accessory Star-Up,Tăng sao Phụ kiện,장신구 승급,Acessório Subir Estrela,เพิ่มดาวเครื่องประดับ,,equipStarAdd,加锁,22,26,26,0,0,,
205,饰品觉醒,飾品覺醒,Accessory Awakening,Thức tỉnh Phụ kiện,장신구 각성,Despertar de Acessório,ปลุกพลังเครื่องประดับ,,equipAwak,加锁,22,26,26,0,0,,
206,携带道具,攜帶道具,Held Item,Vật phẩm mang theo,소지품,Item Segurado,ไอเทมติดตัว,,heldItem,隐藏显示,1,11,11,0,0,,
207,个体值洗练,個體值洗練,IV Reroll,Làm mới IV,개체값 재설정,Rerrolagem de IVs,รีค่าสถานะ IV,,cardNValueRecast,隐藏显示,6,6,6,0,0,,
208,精灵好感度,寶可夢好感度,Pokémon Friendship,Độ thân mật của Pokémon,포켓몬 친밀도,Amizade de Pokémon,ค่าความสนิทสนมของโปเกมอน,,cardLike,隐藏显示,0,25,25,0,0,,
209,精灵继承,寶可夢繼承,Pokémon Inheritance,Kế thừa Pokémon,포켓몬 계승,Herança de Pokémon,การสืบทอดโปเกมอน,,cardSwap,隐藏显示,0,15,15,0,0,,
210,努力值,努力值,Effort Values (EVs),Điểm nỗ lực (EVs),노력치,Valores de Esforço (EVs),ค่า EV (Effort Values),,cardEffort,隐藏显示,15,24,24,0,0,,
211,努力值十次培养,努力值十次培養,Train EVs 10 Times,Bồi dưỡng EVs 10 lần,노력치 10회 훈련,Treinar EVs 10 Vezes,ฝึกค่า EV 10 ครั้ง,,effort10,隐藏显示;服务器不限制,24,24,24,0,0,,
212,精灵重生,寶可夢重生,Pokémon Rebirth,Tái sinh Pokémon,포켓몬 환생,Renascimento de Pokémon,การเกิดใหม่ของโปเกมอน,,cardReborn,隐藏显示,0,23,23,0,0,,
213,一键升级,一鍵升級,One-click Level Up,Tăng cấp một chạm,원클릭 레벨업,Subir de Nível com Um Clique,อัปเลเวลด้วยคลิกเดียว,,onekeyLevelup,隐藏显示;服务器不限制,28,28,28,0,0,,
214,精灵潜能,寶可夢潛能,Pokémon Potential,Tiềm năng Pokémon,포켓몬 잠재력,Potencial de Pokémon,ศักยภาพโปเกมอน,,cardAbility,隐藏显示,40,45,45,0,0,,
215,快速升级,快速升級,Quick Level Up,Tăng cấp nhanh,빠른 레벨업,Subir de Nível Rápido,อัปเลเวลรวดเร็ว,,fastUpgrade,隐藏显示,35,35,35,0,0,,
216,快速强化,快速強化,Quick Enhance,Cường hóa nhanh,빠른 강화,Melhorar Rápido,เสริมแกร่งรวดเร็ว,,fastStrengthen,隐藏显示,40,40,40,0,0,,
217,阵容推荐,陣容推薦,Lineup Recommendation,Đề xuất đội hình,진형 추천,Recomendação de Formação,แนะนำทีม,,battleRecommend,隐藏显示,20,20,20,0,0,,
218,星级技能效果,星級技能效果,Star-level Skill Effect,Hiệu ứng kỹ năng theo cấp sao,성급 스킬 효과,Efeito de Habilidade por Nível de Estrela,เอฟเฟกต์สกิลตามระดับดาว,,starEffect,隐藏显示,1,1,1,0,0,,
219,极限培养,極限培養,Limit Training,Bồi dưỡng Cực hạn,극한 훈련,Treinamento Limite,ฝึกฝนขั้นสุด,,extremityProperty,,1,1,1,0,0,,
220,符石,符石,Rune,Rune,룬,Runa,รูน,,gem,,60,66,66,0,0,,
221,符石一键强化,符石一鍵強化,One-click Rune Enhance,Cường hóa Rune một chạm,룬 원클릭 강화,Melhorar Runa com Um Clique,เสริมแกร่งรูนด้วยคลิกเดียว,,gemOnekeyStrengthen,,75,75,75,0,0,,
222,超进化,超級進化,Mega Evolution,Tiến hóa Mega,메가진화,Mega Evolução,เมก้าเอนโวลูชัน,,mega,加锁,65,70,70,0,0,,
223,精灵分支切换,寶可夢分支切換,Pokémon Branch Switch,Chuyển đổi nhánh Pokémon,포켓몬 분기 전환,Troca de Ramo de Pokémon,สลับสายโปเกมอน,,cardSwitchBranch,,10,10,10,0,0,,
224,饰品刻印,飾品刻印,Accessory Engraving,Khắc Phụ kiện,장신구 각인,Gravação de Acessório,สลักเครื่องประดับ,,equipSignet,,70,75,75,0,0,,
225,饰品星级潜能,飾品星級潛能,Accessory Star-level Potential,Tiềm năng cấp sao Phụ kiện,장신구 성급 잠재력,Potencial por Nível de Estrela de Acessório,ศักยภาพตามระดับดาวของเครื่องประดับ,,equipAbility,,75,75,75,0,0,,
226,自定义努力值,自訂努力值,Custom EV Training,Tùy chỉnh EVs,사용자 정의 노력치,Treinamento de EV Personalizado,กำหนดค่า EV เอง,,customEffort,,75,75,75,0,0,,
227,潜能一键强化,潛能一鍵強化,One-click Potential Enhance,Cường hóa Tiềm năng một chạm,잠재력 원클릭 강화,Melhorar Potencial com Um Clique,เสริมแกร่งศักยภาพด้วยคลิกเดียว,,potentialOneKey,,65,65,65,0,0,,
228,饰品觉醒潜能,飾品覺醒潛能,Accessory Awakening Potential,Tiềm năng Thức tỉnh Phụ kiện,장신구 각성 잠재력,Potencial de Despertar de Acessório,ศักยภาพการปลุกพลังเครื่องประดับ,,equipAwakeAbility,,80,80,80,0,0,,
229,一键刻印,一鍵刻印,One-click Engraving,Khắc một chạm,원클릭 각인,Gravação com Um Clique,สลักด้วยคลิกเดียว,,oneKeySignet,加锁,75,78,78,0,0,,
300,在线礼包,在線禮包,Online Pack,Gói quà Online,온라인 패키지,Pacote Online,แพ็คเกจออนไลน์,,onlineGift,隐藏显示,6,6,6,0,0,,
301,图鉴,圖鑑,Pokédex,Pokédex,도감,Pokédex,โปเกเด็กซ์,,handbook,加锁;服务器不限制,0,10,10,0,0,,
302,每日任务,每日任務,Daily Missions,Nhiệm vụ hàng ngày,일일 임무,Missões Diárias,ภารกิจรายวัน,,dailyTask,加锁;服务器不限制,0,12,12,0,0,,
303,冒险执照,冒險執照,Adventure License,Giấy phép Mạo hiểm,모험 라이선스,Licença de Aventura,ใบอนุญาตผจญภัย,,trainer,加锁,0,12,12,0,0,,
304,竞技场,競技場,Arena,Đấu trường,아레나,Arena,อารีน่า,,arena,加锁,0,15,15,0,0,,
305,日常副本,日常副本,Daily Dungeon,Phó bản hàng ngày,일일 던전,Masmorra Diária,ดันเจี้ยนประจำวัน,,activityGate,加锁,0,18,18,0,0,,
306,排行榜,排行榜,Ranking,Bảng xếp hạng,랭킹,Ranking,อันดับ,,rank,加锁,0,18,18,0,0,,
307,公会红包,公會紅包,Guild Red Packet,Bao lì xì Bang hội,길드 홍바오,Envelope Vermelho da Guilda,อั่งเปากิลด์,,unionRedpacket,加锁;服务器不限制,0,20,20,0,0,,
308,公会,公會,Guild,Bang hội,길드,Guilda,กิลด์,,union,加锁,0,20,20,0,0,,
309,冒险之路,冒險之路,Road to Adventure,Con đường Mạo hiểm,모험의 길,Caminho da Aventura,เส้นทางแห่งการผจญภัย,,endlessTower,隐藏显示,0,24,24,0,0,,
310,天赋,天賦,Talent,Thiên phú,재능,Talento,พรสวรรค์,,talent,隐藏显示;服务器不限制,0,27,27,0,0,,
311,派遣任务,派遣任務,Dispatch Missions,Nhiệm vụ Phái cử,파견 임무,Missões de Expedição,ภารกิจส่งตัว,,dispatchTask,隐藏显示,0,30,30,0,0,,
312,探险器,探險器,Explorer Device,Thiết bị Thám hiểm,탐험 장치,Dispositivo Explorador,อุปกรณ์สำรวจ,,explorer,,0,33,33,0,0,,
313,溢出经验兑换,溢出經驗兌換,Excess EXP Exchange,Đổi kinh nghiệm dư,초과 경험치 교환,Troca de EXP Excedente,แลกเปลี่ยนค่าประสบการณ์ส่วนเกิน,,overflowExpExchange,隐藏显示,0,99,99,0,0,,
