变量名,name,name_tw,name_en,name_vn,name_kr,name_pt,name_th,_beizhu,isShow,icon,desc,desc_tw,desc_en,desc_vn,desc_kr,desc_pt,desc_th,desc1,desc1_tw,desc1_en,desc1_vn,desc1_kr,desc1_pt,desc1_th,quality,use,type,stackMax,specialArgsMap,specialArgsMap_kr,specialArgsMap_en,specialArgsMap_tw,effBtn,pageTag,sellPrice,autoSell,sortType,sortValue,fragID,produceGate1,produceGate2,produceGate3,produceGate4,produceGate5,produceGate6,produceGate7,produceDesc,produceDesc_tw,produceDesc_en,produceDesc_vn,produceDesc_kr,produceDesc_pt,produceDesc_th,effect,rebirthRMB,dateType,expireDate,expireTime,timeOut,gateDropC,drawItemsLibC,regain,isLimitDrop
默认值,"""""","""""","""""","""""","""""","""""","""""",,TRUE,,"""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",1,"""""",0,9999,{},{},{},{},<>,<>,0,0,1,1,0,"""""","""""","""""","""""","""""","""""","""""",暂无固定获取途径可获得该物品哦,暫無固定獲取途徑可獲得該物品哦,There is no any fixed way to get this item!,Vật phẩm này chưa có cách nhận cố định!,이 아이템은 고정된 획득 경로가 없습니다!,Este item não possui método fixo de obtenção!,ยังไม่มีวิธีได้รับไอเท็มนี้แบบถาวร!,{drawcard=false;gain=false},5,0,20180101,500,1,1,1,{},FALSE
道具ID,物品名,物品名,描述,描述,描述,描述,描述,_备注,是否显示给外网玩家,图标,功能描述,功能描述,功能描述,功能描述_越南,功能描述_韩,功能描述_韩,功能描述_韩,世界观描述,世界观描述,世界观描述,世界观描述_越南,世界观描述_韩,世界观描述_韩,世界观描述_韩,品质作者:1.灰2.绿3.蓝4.紫5.金6.红7.彩,使用跳转,类型,堆栈上限,特殊参数,特殊参数,特殊参数,特殊参数,功能按键1.获取途径2.使用3.打开4.出售,特殊页签显示作者:默认不填写则读取类型，若填写，则无视类型强制页签0-全部1-消耗品2-材料3-碎片,出售价格,是否可自动出售,排序类型,排序优先级,碎片ID(可选，现在给材料用),产地(数字表示关卡;tower;shilian;pvp;yuanzheng;kaogu;jinbi;lianjin),产地(数字表示关卡;tower;shilian;pvp;yuanzheng;kaogu;jinbi),产地(数字表示关卡;tower;shilian;pvp;yuanzheng;kaogu;jinbi),产地(数字表示关卡;tower;shilian;pvp;yuanzheng;kaogu;jinbi;lianjin),产地(数字表示关卡;tower;shilian;pvp;yuanzheng;kaogu;jinbi),产地(数字表示关卡;tower;shilian;pvp;yuanzheng;kaogu;jinbi),产地(数字表示关卡;tower;shilian;pvp;yuanzheng;kaogu;jinbi),前三个都没就读描述,前三個都沒就讀描述,前三个都没就读描述,前三个都没就读描述_越南,前三个都没就读描述_韩,前三个都没就读描述,前三个都没就读描述,分别表示在抽卡，恭喜获得,高级重生需要钻石,有效期类型作者:0.永久有效1.绝对有效期，获取后可保持时间2.终止有效期，有效期直到…,有效日期,有效时间-有效期类型为1时填写对应数字表示分钟/秒-有效期类型为2时填写数字如1809122355,过期处理作者:1.过期清理2.过期后消失3.过期后不可使用4.过期后仅标记（用于活动物品排序,最终掉落权值，等于配置权值（包括随机和固定掉落）*该修正值,最终掉落库权值，等于配置权值（drawitemslib中）*该修正值,重复获得道具转换,是否限时掉落
11,甘甜冰水,甘甜冰水,Sweet Ice Water,Nước đá ngọt,달콤한 얼음물,Água Gelada Doce,น้ำแข็งหวาน,,TRUE,config/item/icon_yl.png,可以给精灵食用，增加100点经验,可以給精靈食用，增加100點經驗,Can be given to the Pokémon as food to increase 100 EXP,Có thể bị yêu tinh ăn thịt  thêm 100 điểm kinh nghiệm,포켓몬에게 먹이로 줄 수 있으며  경험치 100포인트가 증가한다,Pode ser dado ao Pokémon como alimento para aumentar 100 EXP,สามารถให้โปเกมอนเป็นอาหารเพื่อเพิ่มค่า EXP 100 ได้,食用可以增加少量经验值,食用可以增加少量經驗值,Eat to increase a small amount of EXP,Ăn có thể tăng một lượng nhỏ điểm kinh nghiệm,사용 시 경험치가 소량 증가한다.,Coma para aumentar uma pequena quantidade de EXP,กินเพื่อเพิ่ม EXP เล็กน้อย,2,strengthen-attribute,1,9999999,{buy_rmb=1;exp=100;buy_level=5},{},{},{},<1;2>,<1>,0,0,17,1,0,10000,20000,activityGate-exp,,,,,暂无固定获取途径可获得该物品哦,暫無固定獲取途徑可獲得該物品哦,There is no any fixed way to get this item!,Vật phẩm này chưa có cách nhận cố định!,이 아이템은 고정된 획득 경로가 없습니다!,Este item não possui método fixo de obtenção!,ยังไม่มีวิธีได้รับไอเท็มนี้แบบถาวร!,,,,,,1,1,1,{},FALSE
12,劲爽汽水,勁爽汽水,Soda Pop,Nước giải khát,미네랄사이다,Refrigerante,โซดาป๊อป,,TRUE,config/item/icon_yl1.png,可以给精灵食用，增加300点经验,可以給精靈食用，增加300點經驗,Can be given to the Pokémon as food to increase 300 EXP,Có thể bị yêu tinh ăn thịt  thêm 300 điểm kinh nghiệm,포켓몬에게 먹이로 줄 수 있으며  경험치 300포인트가 증가한다,Pode ser dado ao Pokémon como alimento para aumentar 300 EXP,สามารถให้โปเกมอนเป็นอาหารเพื่อเพิ่มค่า EXP 300 ได้,食用可以增加少量经验值,食用可以增加少量經驗值,Eat to increase a small amount of EXP,Ăn có thể tăng một lượng nhỏ điểm kinh nghiệm,사용 시 경험치가 소량 증가한다.,Coma para aumentar uma pequena quantidade de EXP,กินเพื่อเพิ่ม EXP เล็กน้อย,2,strengthen-attribute,1,9999999,{buy_rmb=2;exp=300;buy_level=20},{},{},{},<1;2>,<1>,0,0,17,2,0,10000,20000,activityGate-exp,,,,,暂无固定获取途径可获得该物品哦,暫無固定獲取途徑可獲得該物品哦,There is no any fixed way to get this item!,Vật phẩm này chưa có cách nhận cố định!,이 아이템은 고정된 획득 경로가 없습니다!,Este item não possui método fixo de obtenção!,ยังไม่มีวิธีได้รับไอเท็มนี้แบบถาวร!,,,,,,1,1,1,{},FALSE
13,美味之水,美味之水,Fresh Water,Nước ngon,맛있는 물,Água doce,น้ำจืด,,TRUE,config/item/icon_yl2.png,可以给精灵食用，增加1000点经验,可以給精靈食用，增加1000點經驗,Can be given to the Pokémon as food to increase 1000 EXP,Có thể bị yêu tinh ăn thịt  thêm 1000 kinh nghiệm,포켓몬에게 먹이로 줄 수 있으며  경험치 1000포인트가 증가한다,Pode ser dado ao Pokémon como alimento para aumentar 1000 EXP,"สามารถให้โปเกมอนเป็นอาหารเพื่อเพิ่มค่า EXP 1,000 ได้",食用可以增加中量经验值,食用可以增加中量經驗值,Eat to increase decent amount of EXP,Ăn uống có thể tăng một lượng kinh nghiệm vừa phải,사용 시 경험치가 일정량 증가한다.,Coma para aumentar uma quantidade razoável de EXP,กินเพื่อเพิ่ม EXP ให้เหมาะสม,3,strengthen-attribute,1,9999999,{buy_rmb=3;exp=1000;buy_level=35},{},{},{},<1;2>,<1>,0,0,17,3,0,10000,20000,activityGate-exp,,,,,暂无固定获取途径可获得该物品哦,暫無固定獲取途徑可獲得該物品哦,There is no any fixed way to get this item!,Vật phẩm này chưa có cách nhận cố định!,이 아이템은 고정된 획득 경로가 없습니다!,Este item não possui método fixo de obtenção!,ยังไม่มีวิธีได้รับไอเท็มนี้แบบถาวร!,,,,,,1,1,1,{},FALSE
14,哞哞鲜奶,哞哞鮮奶,Moomoo Milk,Sữa tươi Moo Moo,맛있는우유,Leite Moomoo,นมมูมู,,TRUE,config/item/icon_yl3.png,可以给精灵食用，增加3000点经验,可以給精靈食用，增加3000點經驗,Can be given to the Pokémon as food to increase 3000 EXP,Có thể bị yêu tinh ăn thịt  thêm 3000 kinh nghiệm,포켓몬에게 먹이로 줄 수 있으며  경험치 3000포인트가 증가한다,Pode ser dado ao Pokémon como alimento para aumentar 3000 EXP,สามารถให้โปเกมอนเป็นอาหารเพื่อเพิ่มค่า EXP 3000 ได้,食用可以增加大量经验值,食用可以增加大量經驗值,Eat to increase a huge amount of EXP,Ăn uống có thể tăng rất nhiều điểm kinh nghiệm,사용 시 경험치가 대량으로 증가한다.,Coma para aumentar uma grande quantidade de EXP,กินเพื่อเพิ่ม EXP มหาศาล,3,strengthen-attribute,1,9999999,{buy_rmb=6;exp=3000;buy_level=50},{},{},{},<1;2>,<1>,0,0,17,4,0,10000,20000,activityGate-exp,,,,,暂无固定获取途径可获得该物品哦,暫無固定獲取途徑可獲得該物品哦,There is no any fixed way to get this item!,Vật phẩm này chưa có cách nhận cố định!,이 아이템은 고정된 획득 경로가 없습니다!,Este item não possui método fixo de obtenção!,ยังไม่มีวิธีได้รับไอเท็มนี้แบบถาวร!,,,,,,1,1,1,{},FALSE
15,果汁牛奶,果汁牛奶,Lemonade,Nước ép sữa,후루츠밀크,Limonada,น้ำมะนาว,,TRUE,config/item/icon_yl4.png,可以给精灵食用，增加10000点经验,可以給精靈食用，增加10000點經驗,Can be given to the Pokémon as food to increase 10000 EXP,Có thể bị yêu tinh ăn thịt  tăng thêm 10.000 kinh nghiệm,포켓몬에게 먹이로 줄 수 있으며  경험치 10000포인트가 증가한다,Pode ser dado ao Pokémon como alimento para aumentar 10000 EXP,"สามารถให้โปเกมอนเป็นอาหารเพื่อเพิ่มค่า EXP 10,000 ได้",食用可以增加巨量经验值,食用可以增加巨量經驗值,Eat to increase an immense amount of EXP,Ăn uống có thể tăng một lượng lớn điểm kinh nghiệm,사용 시 경험치가 초대량 증가한다.,Coma para aumentar uma quantidade imensa de EXP,กินเพื่อเพิ่ม EXP มหาศาล,4,strengthen-attribute,1,9999999,{buy_rmb=15;exp=10000;buy_level=60},{},{},{},<1;2>,<1>,0,0,17,5,0,10000,20000,activityGate-exp,,,,,暂无固定获取途径可获得该物品哦,暫無固定獲取途徑可獲得該物品哦,There is no any fixed way to get this item!,Vật phẩm này chưa có cách nhận cố định!,이 아이템은 고정된 획득 경로가 없습니다!,Este item não possui método fixo de obtenção!,ยังไม่มีวิธีได้รับไอเท็มนี้แบบถาวร!,,,,,,1,1,1,{},FALSE
16,树果汁,樹果汁,Berry Juice,Nước ép cây,나무열매쥬스,Suco de frutas vermelhas,น้ำเบอร์รี่,,TRUE,config/item/icon_yz.png,可以给精灵食用，增加30000点经验,可以給精靈食用，增加30000點經驗,Can be given to the Pokémon as food to increase 30000 EXP,Có thể bị yêu tinh ăn thịt  thêm 30.000 kinh nghiệm,포켓몬에게 먹이로 줄 수 있으며  경험치 30000포인트가 증가한다,Pode ser dado ao Pokémon como alimento para aumentar 30000 EXP,สามารถให้โปเกมอนเป็นอาหารเพื่อเพิ่มค่า EXP 30000 ได้,食用可以增加超量经验值,食用可以增加超量經驗值,Consume it to increase an immense amount of EXP,Ăn uống có thể làm tăng điểm kinh nghiệm,사용 시 막대한 양의 경험치가 증가한다.,Consuma-o para aumentar uma quantidade imensa de EXP,บริโภคมันเพื่อเพิ่มจำนวน EXP ที่มหาศาล,5,strengthen-attribute,1,9999999,{buy_rmb=40;exp=30000;buy_level=70},{},{},{},<1;2>,<1>,0,0,17,6,0,10000,20000,activityGate-exp,,,,,暂无固定获取途径可获得该物品哦,暫無固定獲取途徑可獲得該物品哦,There is no any fixed way to get this item!,Vật phẩm này chưa có cách nhận cố định!,이 아이템은 고정된 획득 경로가 없습니다!,Este item não possui método fixo de obtenção!,ยังไม่มีวิธีได้รับไอเท็มนี้แบบถาวร!,,,,,,1,1,1,{},FALSE
19,神奇胶囊,神奇膠囊,Magic Gashapon,Viên nang ma thuật,매직 캡슐,Gashapon Mágico,กาชาปองวิเศษ,,TRUE,config/item/icon_txjn.png,可以改变精灵个体值的神秘之物,可以改變精靈個體值的神秘之物,Mysterious item that can change the Individual Value of the Pokémon,Mysterious item that can change the Individual Value of the Pokémon,포켓몬의 개체값을 변화시켜주는 신비한 물건,Item misterioso que pode alterar o Valor Individual do Pokémon,ไอเทมลึกลับที่สามารถเปลี่ยนค่าเฉพาะตัวของโปเกมอนได้,,,,,,,,4,strengthen-nvalue,0,9999999,{},{},{},{},<1;2>,<2>,0,0,2,1,0,,,,,,,,可通过日常任务活跃度宝箱和在线礼包获得该物品,可通過日常任務活躍度寶箱和線上禮包獲得該物品,This item can be obtained from Daily Quest Activity Chest and Online Rewards,Vật phẩm này có thể nhận được từ rương hoạt động nhiệm vụ hàng ngày và gói quà online.,일일 퀘스트 활약도 보물상자 및 로그인 선물에서 획득 가능,Este item pode ser obtido no Daily Quest Activity Chest e nas recompensas online,สามารถรับไอเทมนี้ได้จาก Daily Quest Activity Chest และ Online Rewards,,,,,,1,1,1,{},FALSE
51,胆小薄荷,膽小薄荷,Timid Mint,Bạc hà nhút nhát,겁쟁이 민트,Menta Tímida,ขี้อาย มิ้นต์,,TRUE,config/item/character_item/icon_bh_dx.png,精灵在闻了这种薄荷之后，性格会变得胆小,精靈在聞了這種薄荷之後，性格會變得膽小,"""When a Pokémon smells this mint, it becomes timid.""","Khi Pokémon ngửi loại bạc hà này, nó sẽ trở nên rụt rè",포켓몬은 해당 박하의 냄새를 맡고 나면 성격이 소심해집니다,"Quando um Pokémon sente o cheiro dessa menta, ele fica tímido.",เมื่อโปเกมอนได้กลิ่นมิ้นต์นี้ มันจะขี้อาย,可在精灵继承界面内性格交换一栏使用,可於寶可夢繼承介面中「性格交換」欄位使用,Can be used in the Nature Exchange section of the Pokémon Inheritance interface,Có thể sử dụng tại mục Đổi Tính Cách trong giao diện Thừa Kế Pokémon,포켓몬 계승 메뉴에서 성격 교환 중 사용,Pode ser usado na coluna de troca de caracteres na interface de herança elf,สามารถใช้ได้ในคอลัมน์แลกเปลี่ยนตัวละครในอินเทอร์เฟซการสืบทอดเอลฟ์,4,strengthen-attribute,18,9999999,{character=6},{},{},{},<2>,<2>,0,0,16,39,0,,,,,,,,通过特殊运营活动可获得该物品,通過特殊運營活動可獲得該物品,This item is available through special operation events,Vật phẩm này có thể nhận được thông qua các sự kiện đặc biệt.,특수 운영 이벤트에서 해당 아이템 획득 가능,Este item está disponível por meio de eventos de operação especial,รายการนี้มีจำหน่ายผ่านกิจกรรมปฏิบัติการพิเศษ,,,,,,1,1,1,{},FALSE
