变量名,key,text,_text,text_tw,text_en,text_vn,text_kr,text_pt,text_th,tab,resource
默认值,"""""","""""","""""","""""","""""","""""","""""","""""","""""",<1>,""""""
ID,关键字,绿字标记,绿字标记,绿字标记,绿字标记,绿字标记,绿字标记_韩,绿字标记_韩,绿字标记_韩,页签显示;内容读 emojiTab,表情资源
1,sad,Upset,难过,難過,Upset,Buồn bã,화남,Chateado,เศร้าใจ,<1>,config/chatemoji/icon_bq_1@.png
2,cool,Trying to Impress,耍帅,耍帥,Trying to Impress,Cố gắng gây ấn tượng,인상을 주려고 함,Tentando impressionar,พยายามทำให้ประทับใจ,<1>,config/chatemoji/icon_bq_2@.png
3,lovely,Gentle,乖巧,乖巧,Gentle,Nhẹ nhàng,부드러운,Gentil,อ่อนโยน,<1>,config/chatemoji/icon_bq_3@.png
4,no,I reject!,我拒绝！,我拒絕！,I reject!,Tôi từ chối!,거절합니다!,Eu rejeito!,ฉันไม่เอา!,<1>,config/chatemoji/icon_bq_4@.png
5,gdnt,Goodnight,晚安,晚安,Goodnight,Chúc ngủ ngon,잘 자요,Boa noite,ราตรีสวัสดิ์,<1>,config/chatemoji/icon_bq_5@.png
6,exme,I'm sorry,不好意思,不好意思,I'm sorry,Tôi xin lỗi,미안해요,Me desculpe,ขอโทษนะ,<1>,config/chatemoji/icon_bq_6@.png
7,ei,Hey!!,诶！！,誒！！,Hey!!,Này!!,야!!,Ei!!,เฮ้!!,<1>,config/chatemoji/icon_bq_7@.png
8,face1,face1,鬼脸,鬼臉,face1,mặt1,얼굴1,rosto1,ใบหน้า1,<1>,config/chatemoji/icon_bq_8@.png
9,face2,face2,鬼脸,鬼臉,face2,mặt2,얼굴2,rosto2,ใบหน้า2,<1>,config/chatemoji/icon_bq_9@.png
10,face3,face3,鬼脸,鬼臉,face3,mặt3,얼굴3,rosto3,ใบหน้า3,<1>,config/chatemoji/icon_bq_10@.png
11,face4,face4,鬼脸,鬼臉,face4,mặt4,얼굴4,rosto4,ใบหน้า4,<1>,config/chatemoji/icon_bq_11@.png
12,back,back,回头,回頭,back,lưng,등,costas,หลัง,<1>,config/chatemoji/icon_bq_12@.png
13,weapon,weapon,全副武装,全副武裝,weapon,vũ khí,무기,arma,อาวุธ,<1>,config/chatemoji/icon_bq_13@.png
14,drink,drink,吸,吸,drink,đồ uống,음료,bebida,เครื่องดื่ม,<1>,config/chatemoji/icon_bq_14@.png
15,lovely,lovely,可爱,可愛,lovely,dễ thương,사랑스러움,adorável,น่ารัก,<1>,config/chatemoji/icon_bq_15@.png
16,swim,swim,游泳,游泳,swim,bơi,수영,nadar,ว่ายน้ำ,<1>,config/chatemoji/icon_bq_16@.png
17,fool,fool,发呆,發呆,fool,ngốc,바보,tolo,โง่,<1>,config/chatemoji/icon_bq_17@.png
18,look,look,我看看,我看看,look,nhìn,바라보다,olhar,มอง,<1>,config/chatemoji/icon_bq_18@.png
19,come,come,来呀,來呀,come,đến đây,와,venha,มา,<1>,config/chatemoji/icon_bq_19@.png
20,what,what,啥？,啥？,what,cái gì,뭐야,o quê,อะไรนะ,<1>,config/chatemoji/icon_bq_20@.png
21,yahoo,yahoo,吖吼,吖吼,yahoo,yahoo,야호,iupii,เย้,<1>,config/chatemoji/icon_bq_21@.png
22,sat,sat,坐,坐,sat,ngồi,앉음,sentou,นั่ง,<1>,config/chatemoji/icon_bq_22@.png
23,go,go,走,走,go,đi,가자,ir,ไป,<1>,config/chatemoji/icon_bq_23@.png
24,handsom,handsom,帅气登场,帥氣登場,handsom,đẹp trai,잘생김,bonito,หล่อ,<1>,config/chatemoji/icon_bq_24@.png
25,happy,happy,开心,開心,happy,vui vẻ,행복함,feliz,มีความสุข,<1>,config/chatemoji/icon_bq_25@.png
