变量名,type,desc,desc_tw,desc_en,desc_vn,desc_kr,desc_pt,desc_th,icon,title,title_tw,title_en,title_vn,title_kr,title_pt,title_th,targetType,targetArg,targetArg2,targetDisplay,levelReq,vipReq,vipReq_tw,vipReq_en,vipReq_kr,languages,sortWeight,group,rankInGroup,point,awardArgs,goToPanel
默认值,0,"""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",1,,,"""""",1,0,0,0,0,<cn;tw;en;vn;th;kr;pt>,0,0,0,0,{},
任务ID,任务类型,任务描述,任务描述,任务描述,任务描述_越南,任务描述_韩,任务描述_韩,任务描述_韩,任务图标,任务标题,任务标题,任务标题,任务标题_越南,任务标题_韩,任务标题_韩,任务标题_韩,任务目标类型,任务目标参数,任务目标参数2,任务目标显示参数,等级限制,vip限制,vip限制,vip限制,vip限制,语言区域,顺序,任务组,任务组排序,活跃度点数,奖励物品表,前往类型枚举:5位数关卡ID-关卡10000为主线不限关10100为主线第一章20000为困难不限关  gainWay获得途径   shop商店activity活动界面roleLogo头像界面figure个人形象界面gainGold点金界面recharge充值界面gainStamina购买体力friend好友界面cardBag背包界面strengthen还有培养界面handbook图鉴界面任意英文-数字表示其页签
1000,0,主角等级达到1级,主角等級達到1級,Trainer level reaches level 1,Cấp độ Nhà huấn luyện đạt cấp 1,주인공 1레벨 달성,Nível de Treinador atinge o nível 1,ระดับเทรนเนอร์ถึงเลเวล 1,city/task/icon_actionup.png,成长奖励,成長獎勵,Growth Rewards,Phần thưởng tăng trưởng,성장 보상,Growth Rewards,รางวัลการเติบโต,1,1,,1,1,0,0,0,0,,2,1000,1,0,{rmb=10;gold=2500},10000
1001,0,主角等级达到2级,主角等級達到2級,Trainer level reaches level 2,Cấp độ Nhà huấn luyện đạt cấp 2,주인공 2레벨 달성,Nível de Treinador atinge o nível 2,ระดับเทรนเนอร์ถึงเลเวล 2,city/task/icon_actionup.png,成长奖励,成長獎勵,Growth Rewards,Phần thưởng tăng trưởng,성장 보상,Growth Rewards,รางวัลการเติบโต,1,2,,2,1,0,0,0,0,,4,1000,2,0,{rmb=10;gold=2500},10000
1002,0,主角等级达到3级,主角等級達到3級,Trainer level reaches level 3,Cấp độ Nhà huấn luyện đạt cấp 3,주인공 3레벨 달성,Nível de Treinador atinge o nível 3,ระดับเทรนเนอร์ถึงเลเวล 3,city/task/icon_actionup.png,成长奖励,成長獎勵,Growth Rewards,Phần thưởng tăng trưởng,성장 보상,Growth Rewards,รางวัลการเติบโต,1,3,,3,1,0,0,0,0,,1,1000,3,0,{rmb=10;gold=2500},10000
1003,0,主角等级达到4级,主角等級達到4級,Trainer level reaches level 4,Cấp độ Nhà huấn luyện đạt cấp 4,주인공 4레벨 달성,Nível de Treinador atinge o nível 4,ระดับเทรนเนอร์ถึงเลเวล 4,city/task/icon_actionup.png,成长奖励,成長獎勵,Growth Rewards,Phần thưởng tăng trưởng,성장 보상,Growth Rewards,รางวัลการเติบโต,1,4,,4,1,0,0,0,0,,2,1000,4,0,{rmb=10;gold=2500},10000
1004,0,主角等级达到5级,主角等級達到5級,Trainer level reaches level 5,Cấp độ Nhà huấn luyện đạt cấp 5,주인공 5레벨 달성,Nível de Treinador atinge o nível 5,ระดับเทรนเนอร์ถึงเลเวล 5,city/task/icon_actionup.png,成长奖励,成長獎勵,Growth Rewards,Phần thưởng tăng trưởng,성장 보상,Growth Rewards,รางวัลการเติบโต,1,5,,5,1,0,0,0,0,,3,1000,5,0,{rmb=10;gold=2500},10000
1005,0,主角等级达到6级,主角等級達到6級,Trainer level reaches level 6,Cấp độ Nhà huấn luyện đạt cấp 6,주인공 6레벨 달성,Nível de Treinador atinge o nível 6,ระดับเทรนเนอร์ถึงเลเวล 6,city/task/icon_actionup.png,成长奖励,成長獎勵,Growth Rewards,Phần thưởng tăng trưởng,성장 보상,Growth Rewards,รางวัลการเติบโต,1,6,,6,1,0,0,0,0,,4,1000,6,0,{rmb=10;gold=2500},10000
1006,0,主角等级达到7级,主角等級達到7級,Trainer level reaches level 7,Cấp độ Nhà huấn luyện đạt cấp 7,주인공 7레벨 달성,Nível de Treinador atinge o nível 7,ระดับเทรนเนอร์ถึงเลเวล 7,city/task/icon_actionup.png,成长奖励,成長獎勵,Growth Rewards,Phần thưởng tăng trưởng,성장 보상,Growth Rewards,รางวัลการเติบโต,1,7,,7,1,0,0,0,0,,5,1000,7,0,{rmb=10;gold=2500},10000
1007,0,主角等级达到8级,主角等級達到8級,Trainer level reaches level 8,Cấp độ Nhà huấn luyện đạt cấp 8,주인공 8레벨 달성,Nível de Treinador atinge o nível 8,ระดับเทรนเนอร์ถึงเลเวล 8,city/task/icon_actionup.png,成长奖励,成長獎勵,Growth Rewards,Phần thưởng tăng trưởng,성장 보상,Growth Rewards,รางวัลการเติบโต,1,8,,8,1,0,0,0,0,,6,1000,8,0,{rmb=10;gold=2500},10000
1008,0,主角等级达到9级,主角等級達到9級,Trainer level reaches level 9,Cấp độ Nhà huấn luyện đạt cấp 9,주인공 9레벨 달성,Nível de Treinador atinge o nível 9,ระดับเทรนเนอร์ถึงเลเวล 9,city/task/icon_actionup.png,成长奖励,成長獎勵,Growth Rewards,Phần thưởng tăng trưởng,성장 보상,Growth Rewards,รางวัลการเติบโต,1,9,,9,1,0,0,0,0,,3,1000,9,0,{rmb=10;gold=2500},10000
1009,0,主角等级达到10级,主角等級達到10級,Trainer level reaches level 10,Cấp độ Nhà huấn luyện đạt cấp 10,주인공 10레벨 달성,Nível de Treinador atinge o nível 10,ระดับเทรนเนอร์ถึงเลเวล 10,city/task/icon_actionup.png,成长奖励,成長獎勵,Growth Rewards,Phần thưởng tăng trưởng,성장 보상,Growth Rewards,รางวัลการเติบโต,1,10,,10,1,0,0,0,0,,4,1000,10,0,{rmb=15;gold=4000},10000
