变量名,type,background,icon,rTitle,zrTitleBg,zrTitle,ruleJson,huodongType,name,name_tw,name_en,name_vn,name_kr,name_pt,name_th,desc,desc_tw,desc_en,desc_vn,desc_kr,desc_pt,desc_th,openTimeDesc,openTimeDesc_tw,openTimeDesc_en,openTimeDesc_vn,openTimeDesc_kr,openTimeDesc_pt,openTimeDesc_th,paramMap,gateSeq,gateSeq2,gateSeq_tw,gateSeq2_tw,gateSeq_en,gateSeq2_en,gateSeq_kr,gateSeq2_kr,gateLimitSeq,times,openLevel,openType,beginDate,beginTime,beginTime_kr,beginTime_en,endDate,endTime,endTime_kr,endTime_en,openWeekDay,openDuration,awardDesc,intervalCD,sortValue,rankShow,languages
默认值,"""""",YXKPT/wuseer.png,ICON/SL-exp.png,ICON/SL-exp.png,"""""",ICON/SL-exp.png,ICON/SL-exp.png,0,,,,,,"""""","""""",,,,,,"""""","""""",,,,,,"""""","""""",{},<>,<>,<>,<>,<>,<>,<>,<>,<>,1,1,1,20160101,0,0,0,20300101,0,0,0,<1;2;3;4;5;6;7>,1,<>,0,,,<cn;tw;en;vn;th;kr;ar;de;fr;it;pt;ru>
ID,唯一标识,活动图标,活动图标2,活动title,活动title,活动title,活动规则对应json,活动关卡类型1:金币2:经验3:幻象4:攻防技,描述,描述,描述,描述,描述,描述,描述,活动简介,描述,描述,描述,描述,描述,描述,活动开放日期简介,描述,描述,描述,描述,描述,描述,活动参数,活动关卡序列1,活动关卡序列2,描述,描述,描述,描述,描述,描述,极限模式,周期内可挑战次数,开放等级,开放周期,开始日期,开始时间,描述,描述,截止日期,结束时间,描述,描述,周期开启序列(周期活动填),持续小时,活动奖励序列,冷却时间,显示等级,战斗评价节点,语言区域
1,gold,city/adventure/selectgate/img_bg1.png,city/adventure/selectgate/img_jbfb@.png,00ShuMa/TZFB_res/tz_word_titlejb.png,00ShuMa/TZFB_res/tz_bg_btk.png,00ShuMa/TZFB_res/tz_word_titlejb.png,TZFB_GZ_JB_ui.json,1,金币副本,金幣活動本,Coin dungeon,Kim tệ phó bản,골드 코인 던전,Instância de moeda de ouro,ตัวอย่างเหรียญทอง,可获取大量金币道具,可獲取大量金幣道具,Plenty of coin item can be obtained,Có thể lấy được lấy đại lượng kim tệ đạo cụ,대량의 골드 코인 아이템 획득 가능,Você pode obter muitos itens de ouro,คุณจะได้รับไอเทมทองจำนวนมาก,每天开放,全天開放,Daily open,Mỗi ngày mở ra,매일 개방,Open every day,Open every day,,<60001;60002;60003;60004;60005;60006;60007>,,<60001;60002;60003;60004;60005;60006>,,<60001;60002;60003;60004;60005;60006>,,<60001;60002;60003;60004;60005;60006>,,<60010;60011;60012;60013;60014;60015;60016;60017;60018;60019;60020;60021;60022;60023;60024;60025;60026;60027;60028;60029;60030;60031;60032;60033;60034;60035;60036;60037;60038;60039;60040;60041;60042;60043;60044;60045;60046;60047;60048;60049;60050;60051;60052;60053;60054;60055;60056;60057;60058;60059>,2,18,2,,500,0,0,,500,0,0,<1;2;3;4;5;6;7>,24,<510;511;512;513;514>,600,2,<35;70;85;100>,
2,exp,city/adventure/selectgate/img_bg2.png,city/adventure/selectgate/img_ds@.png,00ShuMa/TZFB_res/tz_word_titlejy.png,00ShuMa/TZFB_res/tz_bg_btk.png,00ShuMa/TZFB_res/tz_word_titlejy.png,TZFB_GZ_JY_ui.json,2,经验副本,經驗活動本,EXP Dungeon,Kinh nghiệm phó bản,경험치 던전,Instância de experiência,ตัวอย่างประสบการณ์,可获取大量经验药水,可獲取大量經驗藥水,You can gain massive EXP Potions,Có thể lấy được lấy đại lượng kinh nghiệm dược thủy,대량의 경험치 물약 획득 가능,Você pode obter muitas poções de experiência,คุณจะได้รับยาประสบการณ์จำนวนมาก,每天开放,全天開放,Daily open,Mỗi ngày mở ra,매일 개방,Open every day,Open every day,,<60101;60102;60103;60104;60105;60106;60107>,,<60101;60102;60103;60104;60105;60106>,,<60101;60102;60103;60104;60105;60106>,,<60101;60102;60103;60104;60105;60106>,,<60110;60111;60112;60113;60114;60115;60116;60117;60118;60119;60120;60121;60122;60123;60124;60125;60126;60127;60128;60129;60130;60131;60132;60133;60134;60135;60136;60137;60138;60139;60140;60141;60142;60143;60144;60145;60146;60147;60148;60149;60150;60151;60152;60153;60154;60155;60156;60157;60158;60159>,2,26,2,,500,0,0,,500,0,0,<1;2;3;4;5;6;7>,24,<11;12;13;14>,600,3,<7;14;17;20>,
3,gift,city/adventure/selectgate/img_bg3.png,city/adventure/selectgate/img_lwfb@.png,00ShuMa/TZFB_res/huanxiang.png,,00ShuMa/TZFB_res/hx_title.png,TZFB_GZ_HX_ui.json,3,礼物副本,禮物副本,Gift Dungeon,Lễ vật phó bản,선물 던전,Instância de presente,ตัวอย่างของขวัญ,可获得好感度礼物,礼物副本,Obtain Friendship Gift,Você pode obter presentes de favorabilidade,호감도 선물 획득 가능,Você pode obter presentes de favorabilidade,คุณจะได้รับของขวัญแห่งความโปรดปราน,每天开放,全天開放,Daily open,Mỗi ngày mở ra,매일 개방,Open every day,Open every day,,<60201;60202;60203;60204;60205;60206;60207>,<60251;60252;60253;60254;60255;60256;60257>,<60201;60202;60203;60204;60205;60206>,<60251;60252;60253;60254;60255;60256>,<60201;60202;60203;60204;60205;60206>,<60251;60252;60253;60254;60255;60256>,<60201;60202;60203;60204;60205;60206>,<60251;60252;60253;60254;60255;60256>,,2,30,2,,500,0,0,,500,0,0,<1;2;3;4;5;6;7>,24,<11;12;13;14>,600,4,,
4,frag,city/adventure/selectgate/img_bg4.png,city/adventure/selectgate/img_spfb@.png,00ShuMa/TZFB_res/gongfang.png,00ShuMa/TZFB_res/tz_bg_btk.png,00ShuMa/TZFB_res/gongfang.png,TZFB_GZ_GFJ_ui.json,4,碎片副本,碎片副本,Shard Dungeon,Mảnh vỡ phó bản,조각 던전,Instância de fragmento,ตัวอย่างเศษ,可获得礼物和碎片,碎片副本,To get Gifts and Shards,Você pode obter presentes e fragmentos,선물과 조각 획득 가능,Você pode obter presentes e fragmentos,คุณจะได้รับของขวัญและชิ้นส่วน,每天开放,全天開放,Daily open,Mỗi ngày mở ra,매일 개방,Open every day,Open every day,,,,,,,,,,,2,36,2,,500,0,0,,500,0,0,<1;2;3;4;5;6;7>,24,<11;12;13;14>,600,5,,
5,event,city/adventure/selectgate/img_bg5.png,city/adventure/selectgate/img_wyfb.png,,,,,5,卡比兽挑战,卡比獸挑戰,Desafio Snorlax,Desafio Snorlax,잠만보 도전,Desafio Snorlax,ความท้าทาย Snorlax,可获取卡比兽碎片,可獲取卡比獸碎片,Você pode obter fragmentos de Snorlax,Você pode obter fragmentos de Snorlax,잠만보 조각 획득 가능,Você pode obter fragmentos de Snorlax,คุณจะได้รับชิ้นส่วน Snorlax,五一活动期间开放,五一活動期間開放,Open during the May Day event,Open during the May Day event,근로자의 날 이벤트 기간 개방,Open during the May Day event,Open during the May Day event,,<60601;60602;60603;60604;60605;60606>,,<60601;60602;60603;60604;60605;60606>,,<60601;60602;60603;60604;60605;60606>,,<60601;60602;60603;60604;60605;60606>,,,3,24,0,20200501,500,0,0,20200508,500,0,0,<1;2;3;4;5;6;7>,168,<510;511;512;513;514>,600,1,,
6,event,city/adventure/selectgate/img_bg6.png,city/adventure/selectgate/img_sdjfb.png,,,,,6,圣诞挑战,圣诞挑战,Desafio de Natal,Desafio de Natal,Desafio de Natal,Desafio de Natal,ความท้าทายคริสต์มาส,圣诞节挑战,圣诞节挑战,Desafio de Natal,Desafio de Natal,Desafio de Natal,Desafio de Natal,ความท้าทายคริสต์มาส,圣诞节活动期间开放,圣诞节活动期间开放,Open during the Christmas event,Open during the Christmas event,Open during the Christmas event,Open during the Christmas event,Open during the Christmas event,{mxRes=city/main/icon_mxsdm@.png;tipsRes=city/main/tips_mxsdj@.png;fbwkRes=city/adventure/activityselect/img_rcfb_sdwk@.png},<60701;60702;60703;60704;60705;60706>,,<60701;60702;60703;60704;60705;60706>,,<60701;60702;60703;60704;60705;60706>,,<60701;60702;60703;60704;60705;60706>,,,3,24,0,20201223,500,0,0,20210104,500,0,0,<1;2;3;4;5;6;7>,288,<510;511;512;513;514>,600,1,,
7,event,city/adventure/selectgate/img_bg7.png,city/adventure/selectgate/img_ldjfb.png,,,,,5,劳动节挑战,劳动节挑战,Desafio do Dia do Trabalho,Desafio do Dia do Trabalho,,Desafio do Dia do Trabalho,ความท้าทายวันแรงงาน,可获取化石翼龙碎片,可獲取化石翼龍碎片,Você pode obter fragmentos de pterossauro fóssil,Você pode obter fragmentos de pterossauro fóssil,잠만보 조각 획득 가능,Você pode obter fragmentos de pterossauro fóssil,คุณจะได้รับชิ้นส่วนฟอสซิลของเทอโรซอร์,五一活动期间开放,五一活動期間開放,Open during the May Day event,Open during the May Day event,Open during the May Day event,Open during the May Day event,Open during the May Day event,,<60801;60802;60803;60804;60805;60806>,,<60801;60802;60803;60804;60805;60806>,,<60801;60802;60803;60804;60805;60806>,,<60801;60802;60803;60804;60805;60806>,,,3,24,0,20210430,500,0,0,20210510,500,0,0,<1;2;3;4;5;6;7>,240,<510;511;512;513;514>,600,1,,
8,event,city/adventure/selectgate/img_bg8.png,city/adventure/selectgate/img_gqhdfb.png,,,,,5,灼热的焰猴,灼热的焰猴,Macaco de chama escaldante,Macaco de chama escaldante,,Macaco de chama escaldante,ลิงเปลวไฟที่แผดเผา,可获取小火焰猴碎片,可獲取小火焰猴碎片,Você pode obter fragmentos de Flame Monkey,Você pode obter fragmentos de Flame Monkey,Você pode obter fragmentos de Flame Monkey,Você pode obter fragmentos de Flame Monkey,คุณจะได้รับชิ้นส่วน Flame Monkey,十一活动期间开放,十一活動期間開放,Open during the National Day event,Open during the National Day event,Open during the National Day event,Open during the National Day event,Open during the National Day event,{tipsRes=city/main/tips_yslyh.png;fbwkRes=city/adventure/activityselect/img_rcfb_gqwk@.png},<60901;60902;60903;60904;60905;60906>,,<60901;60902;60903;60904;60905;60906>,,<60901;60902;60903;60904;60905;60906>,,<60901;60902;60903;60904;60905;60906>,,,3,24,0,20210930,500,0,0,20211011,500,0,0,<1;2;3;4;5;6;7>,264,<510;511;512;513;514>,600,1,,
