变量名,huodongID,daySum,themeType,themeName,themeName_tw,themeName_en,themeName_vn,themeName_kr,themeName_pt,themeName_th,tabIndex,tabName,tabName_tw,tabName_en,tabName_vn,tabName_kr,tabName_pt,tabName_th,countType,taskType,taskParam,taskSpecialParam,desc,desc_tw,desc_en,desc_vn,desc_kr,desc_pt,desc_th,award,costMap,priceShow,buyMax
默认值,0,0,0,"""""","""""","""""","""""","""""","""""","""""",0,"""""","""""","""""","""""","""""","""""","""""",1,0,9999,{},"""""","""""","""""","""""","""""","""""","""""",{},{},{},1
ID,活动版本ID,累计天数,主题类型,主题名称,描述,描述,描述,描述,描述,描述,页签序号,页签名称,描述,描述,描述,描述,描述,描述,任务计数类型 (1-强制计数; 2-只有当天计数; 3-当天开始后计数),任务类型,任务参数,任务特殊参数,描述,描述,描述,描述,描述,描述,描述,奖励,消耗,原价,购买次数上限
1,11001,1,0,第1天,第1天,Day1,Thứ 1 Trời,1일 차,Day1,Day1,0,每日福利,每日福利,Daily Bonus,Daily Bonus,일일 혜택,Bônus diário,โบนัสรายวัน,1,15,1,,每日登录豪礼,每日登錄豪禮,Daily login Deluxe Pack,Daily login Deluxe Pack,매일 로그인 호화 선물,Login diário Pacote Deluxe,แพ็ค Deluxe สำหรับการเข้าสู่ระบบรายวัน,{20391=1;13=10;504=10;gold=30000},,,
2,11001,1,0,第1天,第1天,Day1,Thứ 1 Trời,1일 차,Day1,Day1,0,每日福利,每日福利,Daily Bonus,Daily Bonus,일일 혜택,Bônus diário,โบนัสรายวัน,2,22,300,,当日累积充值300钻石,當日累積儲值300鑽石,Purchase 300 diamonds in total today,Purchase 300 diamonds in total today,당일 300다이아 누적 충전,Compre 300 diamantes no total hoje,ซื้อเพชรรวม 300 เม็ดวันนี้,{20391=1;13=10;504=10;gold=30000},,,
3,11001,1,0,第1天,第1天,Day1,Thứ 1 Trời,1일 차,Day1,Day1,1,等级礼包,等級禮包,Level Pack,Level Pack,레벨 패키지,Pacote de níveis,แพ็คระดับ,1,1,5,,等级达到5,等級達到5,Attain level 5,Attain level 5,레벨 5 달성,Alcance o nível 5,บรรลุระดับ 5,{20391=1;gold=2000},,,
4,11001,1,0,第1天,第1天,Day1,Thứ 1 Trời,1일 차,Day1,Day1,1,等级礼包,等級禮包,Level Pack,Level Pack,레벨 패키지,Pacote de níveis,แพ็คระดับ,1,1,10,,等级达到10,等級達到10,Attain level 10,Attain level 10,레벨 10 달성,Alcance o nível 10,บรรลุระดับ 10,{20391=1;gold=4000;12=20},,,
5,11001,1,0,第1天,第1天,Day1,Thứ 1 Trời,1일 차,Day1,Day1,1,等级礼包,等級禮包,Level Pack,Level Pack,레벨 패키지,Pacote de níveis,แพ็คระดับ,1,1,15,,等级达到15,等級達到15,Attain level 15,Attain level 15,레벨 15 달성,Alcance o nível 15,บรรลุระดับ 15,{20391=1;gold=6000;12=20},,,
6,11001,1,0,第1天,第1天,Day1,Thứ 1 Trời,1일 차,Day1,Day1,1,等级礼包,等級禮包,Level Pack,Level Pack,레벨 패키지,Pacote de níveis,แพ็คระดับ,1,1,20,,等级达到20,等級達到20,Attain level 20,Attain level 20,레벨 20 달성,Alcance o nível 20,บรรลุระดับ 20,{20391=1;gold=8000;12=20},,,
7,11001,1,0,第1天,第1天,Day1,Thứ 1 Trời,1일 차,Day1,Day1,1,等级礼包,等級禮包,Level Pack,Level Pack,레벨 패키지,Pacote de níveis,แพ็คระดับ,1,1,25,,等级达到25,等級達到25,Attain level 25,Attain level 25,레벨 25 달성,Alcance o nível 25,บรรลุระดับ 25,{20391=1;gold=10000;12=20},,,
8,11001,1,0,第1天,第1天,Day1,Thứ 1 Trời,1일 차,Day1,Day1,1,等级礼包,等級禮包,Level Pack,Level Pack,레벨 패키지,Pacote de níveis,แพ็คระดับ,1,1,30,,等级达到30,等級達到30,Attain level 30,Attain level 30,레벨 30 달성,Alcance o nível 30,บรรลุระดับ 30,{20391=1;gold=12000;12=20},,,
