变量名,_name,figure,expertise,expertise_tw,expertise_en,expertise_vn,expertise_kr,expertise_pt,expertise_th,desc,desc_tw,desc_en,desc_vn,desc_kr,desc_pt,desc_th
默认值,"""""",1,"""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",""""""
ID,名字备注，role_figure里配去,人物形象,专长,描述,描述,描述,描述,描述,描述,介绍,描述,描述,描述,描述,描述,描述
,,,,,,,,,,,,,,,,
1,阿蜜,201,"""铜墙铁壁的女孩""阿蜜是一个非常害羞但富有同情心的女孩，她很少说话，有时她的道馆一个人都没有，如果进去与她说话，她甚至会吓得叫出来。出人意料的是她饭量很大，会经常光顾浅葱食堂吃饭。","""銅牆鐵壁的女孩""阿蜜是一個非常害羞但富有同情心的女孩，她很少說話，有時她的道館一個人都沒有，如果進去與她說話，她甚至會嚇得叫出來。出人意料的是她飯量很大，會經常光顧淺蔥食堂吃飯。","""The Steel-Clad Defense Girl"" Jasmine is a shy but compassionate girl. She rarely speaks. Sometimes there is no one in her Gym, if you goes in and talks to her, she will even scream out in fright. Surprisingly she eats alot, she often goes to Olivine canteen.","Cô Gái Phòng Thủ Thép Jasmine là một cô gái nhút nhát nhưng giàu lòng trắc ẩn. Cô ấy ít nói. Đôi khi không có ai trong Hội quán của cô ấy, nếu bạn vào và nói chuyện với cô ấy, cô ấy thậm chí sẽ hét lên vì sợ hãi. Đáng ngạc nhiên là cô ấy ăn rất nhiều, cô ấy thường đến nhà ăn Olivine.",철벽' 이라는 별명을 가진 규리는 수줍고 동정심이 많은 여자이다. 또한 말을 아끼는 편이라 때로는 그의 도관에 아무도 없이 그에게 말을 걸러 들어가면 놀라서 소리를 지르기까지 한다. 의외로 식사량이 많아서 밥 먹으러 담청 식당을 자주 찾아온다.,"""A Garota da Defesa Vestida de Aço"" Jasmine é uma garota tímida, mas compassiva. Ela raramente fala. Às vezes não há ninguém em seu Ginásio, se você entrar e falar com ela, ela até gritará de medo. Surpreendentemente, ela come muito, ela frequentemente vai ao refeitório Olivine.","""สาวป้องกันเกราะเหล็ก"" จัสมีนเป็นเด็กสาวที่ขี้อายแต่มีเมตตา เธอไม่ค่อยพูด บางครั้งไม่มีใครอยู่ในยิมของเธอ ถ้าคุณเข้าไปคุยกับเธอ เธอจะกรี๊ดร้องด้วยความตกใจ น่าแปลกที่เธอกินเยอะมาก เธอมักจะไปโรงอาหารโอลิวีน",“叮！钢属性！…你了解吗？它非常的坚硬，冰冷，锋利，而且非常强壮！…嗯…我不是在说谎。”\n“钢铁之心到最后也不会放弃！”\n“因为经过淬火锻造的钢铁是不会生锈的！”,“叮！鋼屬性！…你瞭解嗎？它非常的堅硬，冰冷，鋒利，而且非常強壯！…嗯…我不是在說謊。”\n“鋼鐵之心到最後也不會放棄！”\n“因為經過淬火鍛造的鋼鐵是不會生銹的！”,"""Ding! Steel-Type! Do you know about it? It's very hard, cold, sharp and very strong! Emmmm. I'm not kidding.\n""Heart of Steel will never give up till the end!""\n""Because steel that has been quenched and forged will not rust!""","Keng! Hệ Thép! Bạn có biết về nó không? Nó rất cứng, lạnh, sắc bén và rất mạnh! Emmmm. Tôi không đùa đâu.\nTrái tim thép sẽ không bao giờ từ bỏ cho đến cuối cùng!""\n""Bởi vì thép đã được tôi luyện sẽ không bao giờ rỉ sét!""","""띵! 강철 타입!…알아? 아주 단단하고 날카롭고 강해! 음… 나는 거짓말을 하는 게 아니다.”\n“강철의 마음은 끝까지 포기하지 않는다!”\n“담금질한 강철로는 녹슬지 않기 때문이다!""","Ding! Tipo Aço! Você sabia sobre isso? É muito duro, frio, afiado e muito forte! Emmmm. Não estou brincando.\n""Heart of Steel nunca desistirá até o fim!""\n""Porque o aço que foi temperado e forjado não enferruja!",“ติ๊ง! เหล็ก! เธอรู้จักมันไหม? มันแข็งมาก เย็น คม และแข็งแกร่งมาก! เอิ่ม ฉันไม่ได้ล้อเล่นนะ\n“หัวใจเหล็กจะไม่ยอมแพ้จนกว่าจะถึงที่สุด!”\n“เพราะเหล็กที่ผ่านการชุบแข็งและหลอมแล้วจะไม่ขึ้นสนิม!”
2,阿速,202,"""华丽的飞行精灵训练家""阿速以又酷又帅的形象闻名遐迩，但与他的父亲比就相形见绌了。或许正因为这样，阿速才立志要成为最伟大的飞行属性精灵大师。","""華麗的飛行精靈訓練家""阿速以又酷又帥的形象聞名遐邇，但與他的父親比就相形見絀了。或許正因為這樣，阿速才立志要成為最偉大的飛行屬性精靈大師。","""The Elegant Master of Flying Pokémon"" Falkner is famous for his cool and handsome image, but pales in comparison with his father. Perhaps because of this, Falkner is determined to become the greatest master of Flying-Type Pokémons.","Bậc Thầy Tao Nhã của Pokémon Bay Falkner nổi tiếng với hình tượng ngầu và đẹp trai, nhưng lại mờ nhạt so với cha mình. Có lẽ vì điều này, Falkner quyết tâm trở thành bậc thầy vĩ đại nhất của Pokémon hệ Bay.",화려한 비행 포켓몬 조련사' 하야토는 쿨하고 멋진 이미지로 유명하지만 그의 아버지와는 비교가 되지 않는다. 그래서인지 하야토는 가장 위대한 비행 타입의 포켓몬 전문가가 되겠다는 포부를 갖고 있다.,"""O Mestre Elegante dos Pokémon Voadores"" Falkner é famoso por sua imagem legal e bonita, mas empalidece em comparação com seu pai. Talvez por isso, Falkner esteja determinado a se tornar o maior mestre dos Pokémon do Tipo Voador.","""ปรมาจารย์ผู้สง่างามแห่งโปเกมอนบิน"" ฟอล์คเนอร์มีชื่อเสียงจากภาพลักษณ์ที่เท่และหล่อเหลา แต่เมื่อเทียบกับพ่อของเขาแล้วกลับดูไม่เข้ากันเลย บางทีอาจเป็นเพราะเหตุนี้ ฟอล์คเนอร์จึงมุ่งมั่นที่จะเป็นปรมาจารย์แห่งโปเกมอนบินที่ยิ่งใหญ่ที่สุด",“志向高远，就能飞到任何地方。”\n“华丽翱翔在天空中的鸟宝可梦真正的力量，我会让你领教的！…爸爸！在天上看着我的战斗吧！”\n“……”\n“我没叫你……”,“志向高遠，就能飛到任何地方。”\n“華麗翱翔在天空中的鳥寶可夢真正的力量，我會讓你領教的！…爸爸！在天上看著我的戰鬥吧！”\n“……”\n“我沒叫你……”,"""If you have high ambitions, you can fly anywhere.""\n""The true power of the gorgeous bird Pokémon soaring in the sky, I will let you understand it! …dad! Watch my battle in the sky!""\n“……”\n""I didn't call you...""","Nếu bạn có tham vọng cao, bạn có thể bay đến bất cứ đâu.\n""Sức mạnh thực sự của Pokémon chim lộng lẫy bay lượn trên bầu trời, tôi sẽ cho bạn hiểu điều đó! …cha! Hãy xem trận chiến của con trên bầu trời!""\n“……”\n""Con không gọi cha...""","""꿈이 크면 어디든 날아갈 수 있다.""\n""하늘에서 화려하게 날아다니는 포켓몬의 진정한 힘, 내가 가르쳐줄게!… 아빠! 하늘에서 나의 전투를 지켜보세요!”\n“……”\n“널 안 불렀는데…""","Se você tem grandes ambições, pode voar para qualquer lugar.""\n""O verdadeiro poder do lindo Pokémon pássaro voando alto no céu, eu vou deixar você entender! …pai! Assista minha batalha no céu!""\n""……”\n""Eu não chamei você...",“หากคุณมีความทะเยอทะยานสูง คุณสามารถบินได้ทุกที่”\n“พลังที่แท้จริงของโปเกมอนนกที่สวยงามที่โบยบินอยู่บนท้องฟ้า ฉันจะให้คุณเข้าใจมัน! …พ่อ! ดูการต่อสู้ของฉันบนท้องฟ้าสิ!”\n“……”\n“ฉันไม่ได้เรียกคุณว่า...”
3,玛绣,203,"""从历史之国来的少女""，曾是模特，现职业为服装设计师，她有着想变成精灵的幻想，自己身上穿的蝴蝶般衣服也是为了能感受到精灵的心情才穿的。(注:衣服有15公斤重，价值和200个巨大金珠相当)","""從歷史之國來的少女""，曾是模特，現職業為服裝設計師，她有著想變成精靈的幻想，自己身上穿的蝴蝶般衣服也是為了能感受到精靈的心情才穿的。(注:衣服有15公斤重，價值和200個巨大金珠相當)","""The maiden from a land with history"", used to be a model,Currently working as a costume designer, she has the illusion that she wants to become an Pokémon, and the butterfly-like clothes she wears are also worn to feel the mood of becoming Pokémon. P.S.: Cloth weigh 15 kilograms and worth s much as 200 huge gold beads","Thiếu nữ đến từ vùng đất lịch sử, từng là một người mẫu, hiện đang làm nhà thiết kế trang phục, cô có ảo tưởng rằng mình muốn trở thành một Pokémon, và bộ quần áo giống như bướm mà cô mặc cũng là để cảm nhận tâm trạng khi trở thành Pokémon. Tái bút: Quần áo nặng 15 kilôgam và trị giá bằng 200 hạt vàng lớn.","별명이 '역사의 나라에서 온 소녀', 모델 출신으로 현재 패션 디자이너로 활동 중인 그는 포켓몬이 되고 싶다는 환상을 갖고 있으며, 자신이 입은 나비 같은 옷도 포켓몬의 기분을 느낄 수 있기 위해 입는 것이다. (PS: 옷은 15kg이며, 가치는 200개의 큰금구슬과 맞먹는다.)","""A donzela de uma terra com história"", costumava ser uma modelo, atualmente trabalhando como figurinista, ela tem a ilusão de que quer se tornar um Pokémon, e as roupas de borboleta que ela usa também são usadas para sentir o clima de se tornar um Pokémon. PS: O tecido pesa 15 quilos e vale tanto quanto 200 enormes contas de ouro",“หญิงสาวจากดินแดนที่มีประวัติศาสตร์” เคยเป็นนางแบบ ปัจจุบันทำงานเป็นนักออกแบบเครื่องแต่งกาย เธอมีภาพลวงตาว่าอยากเป็นโปเกม่อน และเสื้อผ้าที่เหมือนผีเสื้อที่เธอใส่ก็สวมใส่เพื่อสัมผัสถึงอารมณ์ของการเป็นโปเกม่อนเช่นกัน ปล. ผ้ามีน้ำหนัก 15 กิโลกรัม มีมูลค่าเท่ากับลูกปัดทองคำขนาดใหญ่ 200 เม็ด,“在梦里我是一只蝴蝶宝可梦呢，还是说，这儿才是一场梦呢……”\n“如果你变成了宝可梦，不知道会是怎样的宝可梦呐～”\n“应该会是一只能给大家带来笑容的可爱宝可梦吧！”,“在夢裡我是一隻蝴蝶寶可夢呢，還是說，這兒才是一場夢呢……”\n“如果你變成了寶可夢，不知道會是怎樣的寶可夢呐～”\n“應該會是一只能給大家帶來笑容的可愛寶可夢吧！”,"""In my dream, I am a butterfly Pokémon, or is this a dream...""\n""If you become a Pokémon, I don’t know what kind of Pokémon it will be~""\n""Maybe a cute Pokémon that can bring smiles to everyone!""","Trong giấc mơ của tôi, tôi là một Pokémon bướm, hay đây là một giấc mơ...\n""Nếu bạn trở thành Pokémon, tôi không biết đó sẽ là loại Pokémon gì~""\n""Có lẽ là một Pokémon dễ thương có thể mang lại nụ cười cho mọi người!""","""꿈속에서 내가 나비 포켓몬이냐, 아니면 여기가 꿈이냐…""\n""네가 포켓몬이 된다면 어떤 포켓몬이 될지 모르겠네~""\n""여러분들에게 웃음을 주는 귀여운 포켓몬이 될 것 같아!""","No meu sonho, eu sou um Pokémon borboleta, ou isso é um sonho...""\n""Se você se tornar um Pokémon, não sei que tipo de Pokémon será~""\n""Talvez um Pokémon fofo que possa trazer sorrisos a todos!",ในความฝันของฉัน ฉันเป็นโปเกมอนผีเสื้อ หรือว่านี่เป็นเพียงความฝัน..."\n"ถ้าเธอกลายเป็นโปเกมอน ฉันก็ไม่รู้ว่ามันจะเป็นโปเกมอนประเภทไหน~"\n"บางทีอาจจะเป็นโปเกมอนสุดน่ารักที่สามารถสร้างรอยยิ้มให้กับทุกคนก็ได้!
4,青绿,204,大木博士的孙子。自尊心很强，对自己的实力有着绝对的自信，目标是成为最优秀的训练家。,大木博士的孫子。自尊心很強，對自己的實力有著絕對的自信，目標是成為最優秀的訓練家。,"Grandson of Dr.Oak.He has strong self-esteem, has absolute confidence in his own strength, and his goal is to become the best trainer.","Cháu trai của Giáo sư Oak. Anh ấy có lòng tự tôn mạnh mẽ, tự tin tuyệt đối vào sức mạnh của mình, và mục tiêu của anh ấy là trở thành huấn luyện viên giỏi nhất.",오박사의 손자. 자존심이 강하고 자기 실력에 절대적인 자신감을 갖고 있으며 최고의 훈련가를 되는 것이 목표다.,"Neto do Dr. Oak. Ele tem forte autoestima, confiança absoluta em sua própria força e seu objetivo é se tornar o melhor treinador.",หลานชายของหมอโอ๊ค เขาเป็นคนมั่นใจในตัวเองสูง มั่นใจในความแข็งแกร่งของตัวเองมาก และมีเป้าหมายที่จะเป็นเทรนเนอร์ที่ดีที่สุด,“火箭队老大？早就被我打败了！”\n“自从收服了固拉多，你知道这意味着什么吗？”\n“住口，你才不会飞！”\n“好了！让我来告诉你！本大爷！世界最强！比任何人都强！”,“火箭隊老大？早就被我打敗了！”\n“自從收服了固拉多，你知道這意味著什麼嗎？”\n“住口，你才不會飛！”\n“好了！讓我來告訴你！本大爺！世界最強！比任何人都強！”,"""The boss of Team Rocket? I've defeated him long ago!""\n""Since captured Groudon, do you know what this means?""\n""Stop, you don't know how to fly!""\n""Okay! Let me tell you! I am the best in the world! Better than anyone!""","Trùm của Đội Hỏa Tiễn? Tôi đã đánh bại hắn từ lâu rồi!\n""Từ khi bắt được Groudon, bạn có biết điều này có ý nghĩa gì không?""\n""Dừng lại, bạn không biết bay!""\n""Được rồi! Để tôi nói cho bạn biết! Tôi là người giỏi nhất thế giới! Giỏi hơn bất kỳ ai!""","""로켓단 대장? 벌써 나한테 졌구나!""\n""그란돈을 포획한 후부터 이게 무슨 의미인지 알아?""\n""입 닥쳐, 너야말로 날 수 없다!""\n""됐다! 내가 알려줄게! 나는! 세계 최강이다! 누구보다 강해!""","O chefe da Equipe Rocket? Eu o derrotei há muito tempo!""\n""Desde que capturei Groudon, você sabe o que isso significa?""\n""Pare, você não sabe voar!""\n""Okay! Deixe-me dizer! Eu sou o melhor do mundo! Melhor do que qualquer um!",“หัวหน้าทีมร็อคเก็ตเหรอ ฉันเอาชนะมันมาตั้งนานแล้ว!”\n“ตั้งแต่จับกราวดอนมาได้ คุณรู้ไหมว่านี่หมายถึงอะไร?”\n“หยุดนะ แกบินไม่เป็น!”\n“โอเค บอกเลย! ฉันเก่งที่สุดในโลก! ดีกว่าใครๆ!”
5,松叶,205,"""千里眼修验者""松叶热衷于传说的精灵，在缘朱市修行是想要一睹彩虹宝可梦凤王的风姿。通过修行他拥有了千里眼，能够看到其他人看不到的东西。","""千里眼修驗者""松葉熱衷於傳說的精靈，在緣朱市修行是想要一睹彩虹寶可夢鳳王的風姿。通過修行他擁有了千里眼，能夠看到其他人看不到的東西。","""The Mystic Seer of the Future"" Morty is keen on Legendary Pokémons, he practice in Ecruteak Gym is for a glimpse of Rainbow Pokémon Ho-oh. Through practice, he has clairvoyance and can see things that other people can't see.","Nhà Tiên Tri Huyền Bí của Tương Lai Morty rất say mê Pokémon huyền thoại, anh ấy luyện tập tại Hội quán Ecruteak để được nhìn thấy Pokémon Cầu vồng Ho-oh. Thông qua luyện tập, anh có khả năng nhìn thấu và có thể thấy những điều mà người khác không thể thấy.",별명 '천리안 수행자'를 가진 유빈이 전설의 포켓몬을 열광하고 인주시티에서 수행하는 것은 무지개 포켓몬 칠색조의 자태를 보려기 때문이다. 수행을 통해 천리안을 갖게 되었고 남들이 볼 수 없는 것을 볼 수 있다.,"""O Vidente Místico do Futuro"" Morty é apaixonado por Pokémon Lendários, ele pratica no Ginásio Ecruteak para ter um vislumbre do Pokémon Arco-Íris Ho-oh. Através da prática, ele tem clarividência e pode ver coisas que outras pessoas não conseguem ver.","""ผู้มองเห็นอนาคตอันลึกลับ"" มอร์ตี้สนใจโปเกมอนในตำนาน เขาฝึกฝนที่ Ecruteak Gym เพื่อมองเห็นโปเกมอนสายรุ้ง Ho-oh ด้วยการฝึกฝน เขาจึงมีญาณพิเศษและสามารถมองเห็นสิ่งที่คนอื่นมองไม่เห็น",“即使没办法到达自己所相信的未来……”\n“我的未来也不会跟着消失。”\n“在看见新的未来之前，我会继续修行的。”\n“话说……似乎有人觉得缘朱道馆有些可怕，要不要在入口装饰一些花呢？”,“即使沒辦法到達自己所相信的未來……”\n“我的未來也不會跟著消失。”\n“在看見新的未來之前，我會繼續修行的。”\n“話說……似乎有人覺得緣朱道館有些可怕，要不要在入口裝飾一些花呢？”,"""Even if there is no way to reach the future I believe in...""\n""My future will not disappear.""\n""Before I see a new future, I will continue to practice.""\n""It seems that some people think Ecruteak Gym is a bit scary. Maybe decorate with some flowers at the entrance?""","Ngay cả khi không có cách nào để đến được tương lai mà tôi tin tưởng...\n""Tương lai của tôi sẽ không biến mất.""\n""Trước khi tôi nhìn thấy một tương lai mới, tôi sẽ tiếp tục luyện tập.""\n""Dường như một số người nghĩ Hội Quán Ecruteak hơi đáng sợ. Có lẽ nên trang trí một ít hoa ở lối vào?""","""내가 믿는 미래에 이르지 못하더라도…""\n""내 미래는 사라지지 않는다.""\n""새로운 미래를 볼 때까지 계속 수행하겠다.""\n""그나저나… 인주 체육관이 무섭다고 생각하는 사람들이 있는 것 같은데 입구에서 꽃장식이라도 할까?""","Mesmo que não haja nenhuma maneira de alcançar o futuro em que acredito...""\n""Meu futuro não desaparecerá.""\n""Antes de ver um novo futuro, continuarei praticando.""\n""Parece que algumas pessoas acham que o Ecruteak Gym é um pouco assustador. Talvez decorar com algumas flores na entrada?",“ถึงจะไม่มีทางไปถึงอนาคตได้ ฉันเชื่อใน...”\n“อนาคตของฉันจะไม่หายไป”\n“ก่อนที่ฉันจะมองเห็นอนาคตใหม่ ฉันจะฝึกฝนต่อไป”\n“ดูเหมือนว่าบางคนจะคิดว่า Ecruteak Gym น่ากลัวนิดหน่อย ลองประดับตกแต่งทางเข้าด้วยดอกไม้ดูไหม?”
6,夏伯,206,在红莲研究所工作的高智商老人，性格开朗，爱开玩笑和猜谜，曾经在登山时遇难，被飞来照亮了昏暗山路的火焰鸟所救，这便成了他作为火属性训练家的契机。,在紅蓮研究所工作的高智商老人，性格開朗，愛開玩笑和猜謎，曾經在登山時遇難，被飛來照亮了昏暗山路的火焰鳥所救，這便成了他作為火屬性訓練家的契機。,"An old man with a high IQ who works in the Cinnabar Lab, has an outgoing personality and loves to joke and puzzle. Once in danger while climbing, he was rescued by Moltres flying to illuminate the dim mountain road. This became his opportunity as a Fire-Type trainer.","Một ông lão có IQ cao làm việc tại Phòng thí nghiệm Cinnabar, có tính cách hướng ngoại và thích đùa và đố vui. Có lần gặp nguy hiểm khi leo núi, ông đã được Moltres bay đến chiếu sáng con đường núi mờ tối cứu thoát. Đây đã trở thành cơ hội để ông trở thành một huấn luyện viên hệ Lửa.","홍련 연구소에서 일하는 지능이 높은 노인이 농담과 퀴즈를 즐기는 편이며, 산행 중 조난을 당해 어두운 산길을 밝혀 날아온 파이어에게 구조된 것은 불꽃 타입 훈련가로서의 계기가 되었다.","Um velho com alto QI que trabalha no Laboratório Cinnabar, tem uma personalidade extrovertida e adora brincar e fazer quebra-cabeças. Uma vez em perigo enquanto escalava, ele foi resgatado por Moltres voando para iluminar a estrada escura da montanha. Esta se tornou sua oportunidade como um treinador do Tipo Fogo.",ชายชราผู้มี IQ สูงซึ่งทำงานในห้องแล็บซินนาบาร์ มีบุคลิกที่เปิดเผยและชอบพูดตลกและไขปริศนา เมื่อตกอยู่ในอันตรายขณะปีนเขา เขาได้รับการช่วยเหลือโดย Moltres โดยบินไปส่องแสงสว่างบนถนนภูเขาที่มืดสลัว นี่จึงกลายเป็นโอกาสของเขาในการเป็นผู้ฝึกสอนประเภทไฟ,“嘿~~！年轻人，请听题：烈焰猴喜欢捉鱼还是捕鸟？”\n“答案是捕鸟！因为他就叫「猎燕」猴啊！啊哈哈哈！”\n“嗯？你说我的头顶很耀眼？没礼貌！我这是聪明绝顶！”\n“龟仙人？那又是什么宝可梦？”,“嘿~~！年輕人，請聽題：烈焰猴喜歡捉魚還是捕鳥？”\n“答案是捕鳥！因為他就叫「獵燕」猴啊！啊哈哈哈！”\n“嗯？你說我的頭頂很耀眼？沒禮貌！我這是聰明絕頂！”\n“龜仙人？那又是什麼寶可夢？”,"""Hey! Young man, listen: What does Ash say when he wants to date someone?""\n""The answer is: I choose you.Hahahaha!""\n""Huh? You said my head is dazzling? That's rude! It's a symbol of being smart!""\n""MasterRoshi? What Pokémon is that?""","Này! Chàng trai trẻ, nghe đây: Ash nói gì khi muốn hẹn hò với ai đó?\n""Câu trả lời là: Tôi chọn bạn.Hahahaha!""\n""Hả? Bạn nói đầu tôi chói lóa à? Thật là thô lỗ! Đó là biểu tượng của sự thông minh!""\n""Sư phụ Roshi? Đó là Pokémon gì vậy?""","""자~~! 청년, 문제 들어봐요: 초염몽은 물고기잡이를 좋아합니까? 아니면 새잡이를 좋아합니까?""\n""정답은 새잡이다! 아하하하!""\n""응? 내 정수리가 눈부시다고? 버릇없네! 이건 똑똑하는거야!""\n""거북 선인? 그게 또 무슨 포켓몬이야?""","Ei! Rapaz, escuta: O que Ash diz quando quer namorar alguém?""\n""A resposta é: Eu escolho você. Hahahaha!""\n""Huh? Você disse que minha cabeça é deslumbrante? Isso é rude! É um símbolo de ser inteligente!""\n""Mestre Roshi? Que Pokémon é esse?",“เฮ้! หนุ่มน้อย ฟังนะ แอชจะพูดว่าอะไรเวลาเขาอยากออกเดทกับใครสักคน”\n“คำตอบคือ: ฉันเลือกนาย ฮ่าๆๆๆ!”\n“ห๊ะ? นายบอกว่าหัวของฉันแวววาวเหรอ? หยาบคายจัง! มันเป็นสัญลักษณ์ของความฉลาด!”\n“มาสเตอร์โรชิ? โปเกม่อนตัวไหนน่ะ?”
7,夏卡,207,双龙市的市长，胡子形似龙的下颚，每天坚持与宝可梦摔跤来锻炼身体。曾参加过各种精灵训练师比赛，登入名人堂之后，便开始了自己的技艺传授之路。,雙龍市的市長，鬍子形似龍的下顎，每天堅持與寶可夢摔跤來鍛煉身體。曾參加過各種精靈訓練師比賽，登入名人堂之後，便開始了自己的技藝傳授之路。,"Mayor of Opelucid City, with a beard like toothy lower jaw of a reptile, wrestling with Pokémon every day to exercise.Having participated in various Pokémon trainer competitions, and after enter the Hall of Fame, he began his own way of teaching skills.","Thị trưởng thành phố Opelucid, với bộ râu giống như hàm dưới có răng của loài bò sát, ông đấu vật với Pokémon mỗi ngày để rèn luyện. Sau khi tham gia nhiều cuộc thi huấn luyện viên Pokémon và vào Đại Sảnh Danh Vọng, ông đã bắt đầu con đường dạy kỹ năng của riêng mình.","쌍용시티의 시장, 수염이 용의 아래턱과 닮으며, 매일 포켓몬과 씨름하여 몸을 단련하고 각종 포켓몬 훈련사 대회에 참가한 적이 있었다. 명예의 전당에 들어간 뒤 자기의 스킬을 전수하기 시작했다.","Prefeito de Opelucid City, com uma barba parecida com a mandíbula dentada de um réptil, lutava com Pokémon todos os dias para se exercitar. Tendo participado de várias competições de treinadores Pokémon e depois de entrar no Hall da Fama, ele começou sua própria maneira de ensinar habilidades.",นายกเทศมนตรีเมืองโอเปลูซิด ผู้มีเครายาวเหมือนขากรรไกรล่างที่มีฟันเหมือนสัตว์เลื้อยคลาน กำลังต่อสู้กับโปเกมอนทุกวันเพื่อออกกำลังกาย หลังจากได้เข้าร่วมการแข่งขันเทรนเนอร์โปเกมอนหลายรายการ และเข้าสู่หอเกียรติยศแล้ว เขาก็เริ่มสอนทักษะในแบบฉบับของตัวเอง,“越是老！越是渴求胜利！这才是生命的能量！超越昨天的力量！”\n“我寻求着能让我看到光明未来的年轻训练家。”\n“感谢与你相遇，和你战斗的命运。”\n“你不仅要创造自己的未来，还要为他人带去光明的未来。”\n,“越是老！越是渴求勝利！這才是生命的能量！超越昨天的力量！”\n“我尋求著能讓我看到光明未來的年輕訓練家。”\n“感謝與你相遇，和你戰鬥的命運。”\n“你不僅要創造自己的未來，還要為他人帶去光明的未來。”\n,"""The older you are! The more you are thirsty for victory! This is the energy of life! Power beyond yesterday!""\n""I am looking for young trainers who can see a bright future for me.""\n""Thank you for meeting you and fighting with you.""\n""You must not only create your own future, but also bring a bright future for others.""\n","Càng lớn tuổi! Càng khao khát chiến thắng! Đây là năng lượng của cuộc sống! Sức mạnh vượt qua ngày hôm qua!\n""Tôi đang tìm kiếm những huấn luyện viên trẻ có thể nhìn thấy một tương lai tươi sáng cho tôi.""\n""Cảm ơn vì đã gặp bạn và chiến đấu cùng bạn.""\n""Bạn không chỉ phải tạo ra tương lai của riêng mình, mà còn phải mang lại một tương lai tươi sáng cho người khác.""","""늙을수록! 승리에 갈구해라! 이것이야말로 생명의 에너지다! 어제의 힘을 넘게!""\n""나는 밝은 미래를 보여줄 수 있는 젊은 훈련가를 찾고 있다.""\n""당신과 만나 싸워준 운명에 감사한다.""\n""당신은 자신의 미래를 창조할 뿐만 아니라 다른 사람을 위해 밝은 미래고 가져와야 한다.""\n","""Quanto mais velho você é! Mais sedento você está pela vitória! Esta é a energia da vida! Poder além do ontem!""\n""Estou procurando por jovens treinadores que possam ver um futuro brilhante para mim.""\n""Obrigado por conhecê-lo e lutar com você.""\n""Você não deve apenas criar seu próprio futuro, mas também trazer um futuro brilhante para os outros.""\n",“ยิ่งคุณอายุมากขึ้น! คุณยิ่งกระหายชัยชนะมากขึ้น! นี่คือพลังแห่งชีวิต! พลังเหนือเมื่อวาน!”\n“ฉันกำลังมองหาเทรนเนอร์รุ่นเยาว์ที่มองเห็นอนาคตที่สดใสสำหรับฉัน”\n“ขอบคุณที่ได้พบคุณและต่อสู้ไปกับคุณ”\n“คุณไม่เพียงแต่ต้องสร้างอนาคตของคุณเองเท่านั้น แต่ยังต้องนำอนาคตที่สดใสมาสู่ผู้อื่นด้วย”\n
