变量名,fmt,fmt_tw,fmt_en,fmt_vn,fmt_kr,fmt_pt,fmt_th
默认值,"""""","""""","""""","""""","""""","""""",""""""
ID,描述字符串,描述,描述,描述,描述,描述,描述
1,#C0x5C9970#%s#C0x5B545B#加入公会,#C0x5C9970#%s#C0x5B545B#加入公會,#C0x5C9970#%s#C0x5B545B# Joined Guild,#C0x5C9970#%s#C0x5B545B# đã tham gia Bang hội,#C0x5C9970#%s#C0x5B545B# 님이 길드에 가입했습니다.,#C0x5C9970#%s#C0x5B545B# Entrou para a Guilda,#C0x5C9970#%s#C0x5B545B# เข้าร่วมกิลด์
2,#C0x5C9970#%s#C0x5B545B#退出公会,#C0x5C9970#%s#C0x5B545B#退出公會,#C0x5C9970#%s#C0x5B545B# Quit ot of Guild,#C0x5C9970#%s#C0x5B545B# đã rời khỏi Bang hội,#C0x5C9970#%s#C0x5B545B# 님이 길드를 탈퇴했습니다.,#C0x5C9970#%s#C0x5B545B# Saiu da Guilda,#C0x5C9970#%s#C0x5B545B# ออกจากกิลด์
3,#C0x5C9970#%s#C0x5B545B#被#C0x5C9970#%s#C0x5B545B#踢出公会,#C0x5C9970#%s#C0x5B545B#被#C0x5C9970#%s#C0x5B545B#踢出公會,#C0x5C9970#%s#C0x5B545B# was Kicked out of Guild by #C0x5C9970#%s#C0x5B545B#,#C0x5C9970#%s#C0x5B545B# đã bị #C0x5C9970#%s#C0x5B545B# đá khỏi Bang hội,#C0x5C9970#%s#C0x5B545B# 님이 #C0x5C9970#%s#C0x5B545B# 님에 의해 길드에서 추방되었습니다.,#C0x5C9970#%s#C0x5B545B# foi Expulso da Guilda por #C0x5C9970#%s#C0x5B545B#,#C0x5C9970#%s#C0x5B545B# ถูกเตะออกจากกิลด์โดย #C0x5C9970#%s#C0x5B545B#
4,#C0x5C9970#%s#C0x5B545B#晋级为副会长,#C0x5C9970#%s#C0x5B545B#晉級為副會長,#C0x5C9970#%s#C0x5B545B# is promoted to Vice Leader,#C0x5C9970#%s#C0x5B545B# được thăng chức làm Phó Bang chủ,#C0x5C9970#%s#C0x5B545B# 님이 부회장이 되었습니다.,#C0x5C9970#%s#C0x5B545B# foi promovido a Vice-Líder,#C0x5C9970#%s#C0x5B545B# ได้รับการเลื่อนตำแหน่งเป็นรองหัวหน้ากิลด์
5,#C0x5C9970#%s#C0x5B545B#降级为会员,#C0x5C9970#%s#C0x5B545B#降級為會員,#C0x5C9970#%s#C0x5B545B# is demoted to Member,#C0x5C9970#%s#C0x5B545B# bị giáng chức về làm Thành viên,#C0x5C9970#%s#C0x5B545B# 님이 회원으로 강등되었습니다.,#C0x5C9970#%s#C0x5B545B# foi rebaixado a Membro,#C0x5C9970#%s#C0x5B545B# ถูกลดตำแหน่งเป็นสมาชิก
6,#C0x5C9970#%s#C0x5B545B#转让会长给#C0x5C9970#%s,#C0x5C9970#%s#C0x5B545B#轉讓會長給#C0x5C9970#%s,#C0x5C9970#%s#C0x5B545B# transfer Leader to#C0x5C9970#%s,#C0x5C9970#%s#C0x5B545B# đã chuyển chức Bang chủ cho #C0x5C9970#%s,#C0x5C9970#%s#C0x5B545B# 님이 회장 직위를 #C0x5C9970#%s 님에게 양도했습니다.,#C0x5C9970#%s#C0x5B545B# transferiu Líder para#C0x5C9970#%s,#C0x5C9970#%s#C0x5B545B# โอนหัวหน้ากิลด์ ถึง#C0x5C9970#%s
7,#C0x5C9970#%s#C0x5B545B#被选拔为新任会长,#C0x5C9970#%s#C0x5B545B#被選拔為新任會長,#C0x5C9970#%s#C0x5B545B# is selected as new leader,#C0x5C9970#%s#C0x5B545B# được chọn làm Bang chủ mới,#C0x5C9970#%s#C0x5B545B# 님이 신임 회장이 되었습니다.,#C0x5C9970#%s#C0x5B545B# foi selecionado como novo líder,#C0x5C9970#%s#C0x5B545B# ถูกเลือกให้เป็นผู้นำคนใหม่
8,#C0x5C9970#%s#C0x5B545B#批准#C0x5C9970#%s#C0x5B545B#加入公会,#C0x5C9970#%s#C0x5B545B#批准#C0x5C9970#%s#C0x5B545B#加入公會,#C0x5C9970#%s#C0x5B545B# approved #C0x5C9970#%s#C0x5B545B# to join the Guild,#C0x5C9970#%s#C0x5B545B# đã duyệt cho #C0x5C9970#%s#C0x5B545B# gia nhập Bang hội,#C0x5C9970#%s#C0x5B545B# 님이 #C0x5C9970#%s#C0x5B545B# 님의 길드 가입을 승인했습니다.,#C0x5C9970#%s#C0x5B545B# aprovou #C0x5C9970#%s#C0x5B545B# para se juntar à Guilda,#C0x5C9970#%s#C0x5B545B# อนุมัติ #C0x5C9970#%s#C0x5B545B# เพื่อเข้าร่วมกิลด์
