变量名,_mailType,tab,icon,sender,sender_tw,sender_en,sender_vn,sender_kr,sender_pt,sender_th,subject,subject_tw,subject_en,subject_vn,subject_kr,subject_pt,subject_th,content,content_tw,content_en,content_vn,content_kr,content_pt,content_th,attachs,special
默认值,,2,,"""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",{},FALSE
ID,邮件功能（备注）,邮件类型1.通知2.系统,邮件图标,发件人名称,发件人名称,发件人名称,发件人名称_越南,发件人名称_韩,发件人名称_葡,发件人名称_泰,标题,标题,标题,标题_越南,标题_韩,标题_葡,标题_泰,内容,内容,内容,内容_越南,内容_韩,内容_葡,内容_泰,附件,是否特殊邮件
1,系统邮件,1,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,Pequena Secretária,เลขาตัวน้อย,System Mail,系統郵件,System Mail,Thư Hệ thống,시스템 우편,Correio do Sistema,จดหมายจากระบบ,,,,,,,,,
2,GM邮件,2,,Daluoluo,大羅羅,Daluoluo,Lớn Lala,로로,Da Luoluo,ต้าหลัวหลัว,Game Developer mail,GM郵件,Game Developer mail,Thư từ Nhà phát triển Game,GM 우편,Correio do Desenvolvedor do Jogo,จดหมายจากผู้พัฒนาเกม,,,,,,,,,
3,竞技场奖励邮件,2,,Arena Staff,競技場管理員,Arena Staff,Sân thi đấu nhân viên quản lý,아레나 관리자,Administrador da Arena,ผู้ดูแลสนามประลอง,Rank Rewards,競技場結算獎勵,Rank Rewards,Phần thưởng Xếp hạng,아레나 결산 보상,Recompensas de Ranque,รางวัลอันดับ,"Dear trainer: \n    Your performance in the ranked matches was amazing! As of 21:00, you achieved rank No. %d. Rewards have been sent to your mail, please check and claim it. \n    Happy gaming!",親愛的小夥伴:\n    您在競技場中的表現精彩絕倫，截止到今天21:00，您的名次是%d，結算獎勵已隨郵件發送，請及時查收。\n    祝您遊戲愉快!,"Dear trainer: \n    Your performance in the ranked matches was amazing! As of 21:00, you achieved rank No. %d. Rewards have been sent to your mail, please check and claim it. \n    Happy gaming!","Nhà huấn luyện thân mến: \n    Thành tích của bạn trong các trận đấu xếp hạng thật tuyệt vời! Tính đến 21:00, bạn đã đạt hạng %d. Phần thưởng đã được gửi vào thư của bạn, vui lòng kiểm tra và nhận. \n    Chúc bạn chơi game vui vẻ!","트레이너님: \n   아레나에서 멋진 활약을 펼치셨군요. 오늘 21:00까지 %d위를 달성하였으며, 결산 보상을 우편으로 지급합니다. 제때 수령해 주세요. \n   즐거운 게임 되시길 바랍니다!","Caro(a) Treinador(a): \n    Seu desempenho nas partidas ranqueadas foi incrível! Às 21:00, você alcançou o ranque de Nº %d. As recompensas foram enviadas para o seu correio, por favor, verifique e resgate. \n    Bom jogo!",ถึงเทรนเนอร์: \n    ผลงานของคุณในแมตช์จัดอันดับนั้นยอดเยี่ยมมาก! ณ เวลา 21:00 คุณได้รับอันดับที่ %d รางวัลถูกส่งไปยังจดหมายของคุณแล้ว โปรดตรวจสอบและกดรับ \n    ขอให้สนุกกับการเล่นเกม!,,
4,考古矿洞结算邮件,2,,Abandoned,廢棄,Abandoned,Abandoned,폐기,Abandonado,ถูกทิ้ง,The mine has run out of resources!,礦洞采幹了！,The mine has run out of resources!,Mỏ đã cạn kiệt tài nguyên!,광산 고갈!,A mina esgotou os recursos!,ทรัพยากรในเหมืองหมดแล้ว!,"Dear trainers:\n    Your mine has been looted empty! The %s production reward has sent via mail, please check.\n    Happy gaming!",親愛的小夥伴:\n    您的礦洞已經被采幹了，%s產出獎勵已隨郵件發送，請及時查收。\n    祝您遊戲愉快!,"Dear trainers:\n    Your mine has been looted empty! The %s production reward has sent via mail, please check.\n    Happy gaming!","Các nhà huấn luyện thân mến:\n    Mỏ của bạn đã bị cướp sạch! Phần thưởng sản xuất %s đã được gửi qua thư, vui lòng kiểm tra.\n    Chúc bạn chơi game vui vẻ!",트레이너님: \n   광물이 고갈되었습니다. %s 생산 보상을 우편으로 지급합니다. 제때 수령해 주세요. \n   즐거운 게임 되시길 바랍니다!,"Caros Treinadores:\n    Sua mina foi completamente saqueada! A recompensa de produção de %s foi enviada por correio, por favor, verifique.\n    Bom jogo!",ถึงเหล่าเทรนเนอร์:\n    เหมืองของคุณถูกปล้นจนหมดเกลี้ยง! รางวัลการผลิต %s ได้ถูกส่งไปทางจดหมายแล้ว โปรดตรวจสอบ\n    ขอให้สนุกกับการเล่นเกม!,,
5,考古矿洞被抢夺结算邮件,2,,Abandoned,廢棄,Abandoned,Abandoned,폐기,Abandonado,ถูกทิ้ง,Your mine has been looted!,礦洞被搶了！,Your mine has been looted!,Mỏ của bạn đã bị cướp!,광산 약탈!,Sua mina foi saqueada!,เหมืองของคุณถูกปล้น!,Dear trainers:\n    Your mine has been occupied by %s! The %s production reward has been sent via mail.\n    Better luck next time!,親愛的小夥伴:\n    您的礦洞已經被%s搶佔了，%s產出獎勵已隨郵件發送，請及時查收。\n    祝您遊戲愉快!,Dear trainers:\n    Your mine has been occupied by %s! The %s production reward has been sent via mail.\n    Better luck next time!,Các nhà huấn luyện thân mến:\n    Mỏ của bạn đã bị %s chiếm giữ! Phần thưởng sản xuất %s đã được gửi qua thư.\n    Chúc bạn may mắn lần sau!,트레이너님: \n   광물이 이미 %s 님에 의해 점령되었습니다. %s 생산 보상을 우편으로 지급합니다. 제때 수령해 주세요. \n   즐거운 게임 되시길 바랍니다!,Caros Treinadores:\n    Sua mina foi ocupada por %s! A recompensa de produção de %s foi enviada por correio.\n    Mais sorte da próxima vez!,ถึงเหล่าเทรนเนอร์:\n    เหมืองของคุณถูกยึดครองโดย %s! รางวัลการผลิต %s ได้ถูกส่งไปทางจดหมายแล้ว\n    ขอให้โชคดีในครั้งต่อไป!,,
6,无尽之塔结算奖励,2,,Endless Tower Guardian,無盡之塔守護者,Endless Tower Guardian,404404,무한의 탑 수호자,Guardião da Torre Infinita,ผู้พิทักษ์หอคอยไร้สิ้นสุด,Endless Tower Rewards,無盡之塔結算獎勵,Endless Tower Rewards,Phần thưởng Tháp Vô Tận,무한의 탑 결산 보상,Recompensas da Torre Infinita,รางวัลหอคอยไร้สิ้นสุด,Dear trainer:\n Yo'veu displayed an excellent performance in the ranked match and achieved rank %d in Endless Tower today. Please check and claim the rewards that have been sent via mail.\n Happy gaming!,親愛的小夥伴:\n    您的表現精彩絕倫，今天在無盡之塔的名次是%d，結算獎勵已隨郵件發送，請及時查收。\n    祝您遊戲愉快!,Dear trainer:\n Yo'veu displayed an excellent performance in the ranked match and achieved rank %d in Endless Tower today. Please check and claim the rewards that have been sent via mail.\n Happy gaming!,Nhà huấn luyện thân mến:\n Bạn đã thể hiện xuất sắc trong trận đấu xếp hạng và đạt hạng %d tại Tháp Vô Tận hôm nay. Vui lòng kiểm tra và nhận phần thưởng đã được gửi qua thư.\n Chúc bạn chơi game vui vẻ!,"트레이너님: \n   멋진 활약을 펼치셨군요. 오늘 무한의 탑 순위는 %d위이며, 결산 보상을 우편으로 지급합니다. 제때 수령해 주세요. \n   즐거운 게임 되시길 바랍니다!","Caro(a) Treinador(a):\n Você demonstrou um excelente desempenho na partida ranqueada e alcançou o ranque %d na Torre Infinita hoje. Por favor, verifique e resgate as recompensas que foram enviadas por correio.\n Bom jogo!",ถึงเทรนเนอร์:\n คุณได้แสดงผลงานอันยอดเยี่ยมในการแข่งจัดอันดับ และได้รับอันดับที่ %d ในหอคอยไร้สิ้นสุดวันนี้ โปรดตรวจสอบและกดรับรางวัลที่ถูกส่งไปทางจดหมาย\n ขอให้สนุกกับการเล่นเกม!,,
7,每日登陆奖励,2,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,Pequena Secretária,เลขาตัวน้อย,Daily login reward,每日登陸獎勵,Daily login reward,Phần thưởng đăng nhập hàng ngày,일일 로그인 보상,Recompensa de login diário,รางวัลล็อกอินรายวัน,Dear trainers:\n    Thank you for logging in today. Please claim the login rewards in your mail.\n    Happy gaming!,親愛的小夥伴:\n    感謝您今天的登陸，獎勵已隨郵件發送，請及時查收。\n    祝您遊戲愉快!,Dear trainers:\n    Thank you for logging in today. Please claim the login rewards in your mail.\n    Happy gaming!,Các nhà huấn luyện thân mến:\n    Cảm ơn bạn đã đăng nhập hôm nay. Vui lòng nhận phần thưởng đăng nhập trong thư của bạn.\n    Chúc bạn chơi game vui vẻ!,트레이너님: \n   오늘 로그인에 대한 감사 보상을 우편으로 지급합니다. 제때 수령해 주세요. \n   즐거운 게임 되시길 바랍니다!,"Caros Treinadores:\n    Obrigado por fazer login hoje. Por favor, resgate as recompensas de login em seu correio.\n    Bom jogo!",ถึงเหล่าเทรนเนอร์:\n    ขอบคุณที่ล็อกอินในวันนี้ โปรดรับรางวัลการล็อกอินในจดหมายของคุณ\n    ขอให้สนุกกับการเล่นเกม!,{rmb=300;gold=100000},
8,每日登陆奖励,2,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,Pequena Secretária,เลขาตัวน้อย,Daily login reward,每日登陸獎勵,Daily login reward,Phần thưởng đăng nhập hàng ngày,일일 로그인 보상,Recompensa de login diário,รางวัลล็อกอินรายวัน,Dear trainers:\n    Thank you for logging in today. Please claim the login rewards in your mail.\n    Happy gaming!,親愛的小夥伴:\n    感謝您今天的登陸，獎勵已隨郵件發送，請及時查收。\n    祝您遊戲愉快!,Dear trainers:\n    Thank you for logging in today. Please claim the login rewards in your mail.\n    Happy gaming!,Các nhà huấn luyện thân mến:\n    Cảm ơn bạn đã đăng nhập hôm nay. Vui lòng nhận phần thưởng đăng nhập trong thư của bạn.\n    Chúc bạn chơi game vui vẻ!,트레이너님: \n   오늘 로그인에 대한 감사 보상을 우편으로 지급합니다. 제때 수령해 주세요. \n   즐거운 게임 되시길 바랍니다!,"Caros Treinadores:\n    Obrigado por fazer login hoje. Por favor, resgate as recompensas de login em seu correio.\n    Bom jogo!",ถึงเหล่าเทรนเนอร์:\n    ขอบคุณที่ล็อกอินในวันนี้ โปรดรับรางวัลการล็อกอินในจดหมายของคุณ\n    ขอให้สนุกกับการเล่นเกม!,{rmb=300;gold=100000;vip=3},
