变量名,tip,tip_tw,tip_en,tip_vn,tip_kr,tip_pt,tip_th,monRes
默认值,,,,,,"""""","""""",
ID,tip,描述,描述,描述,描述,描述,描述,展示人物资源
1,小提示：主场景中似乎有一只害羞的谜拟Q会偶尔出现的样子,小提示：主場景中似乎有一隻害羞的謎擬Q會偶爾出現的樣子,Tip: A shy Mimikyu seems to appear occasionally in the main scene.,Mẹo: Một con Mimikyu nhút nhát dường như thỉnh thoảng xuất hiện trong cảnh chính.,알림: 메인 지역에는 부끄러운 따라큐가 가끔씩 나타납니다.,Dica: Um tímido Mimikyu parece aparecer ocasionalmente na cena principal.,เคล็ดลับ: มิมิคิวที่ขี้อายดูเหมือนจะปรากฏตัวเป็นครั้งคราวในฉากหลัก,
2,小提示：百变怪也想和大伙儿们一起玩，但是它似乎还不会变眼睛,小提示：百變怪也想和大夥兒們一起玩，但是它似乎還不會變眼睛,"Tip: Ditto also wants to play with everyone, but it can't seem to change its eyes yet","Mẹo: Ditto cũng muốn chơi với mọi người, nhưng dường như nó chưa thể thay đổi đôi mắt của mình.","""알림: 메타몽은 다른 친구들과 놀고 싶어하지만, 아직 눈까지 바꾸는 법은 모르는 듯합니다.""","Dica: Ditto também quer brincar com todos, mas parece que ainda não consegue mudar os olhos",เคล็ดลับ: Ditto ก็อยากเล่นกับทุกคนเหมือนกัน แต่ดูเหมือนมันยังเปลี่ยนสายตาไม่ได้,
3,小提示：个人形象加成的属性解锁后即生效了哦,小提示：個人形象加成的屬性解鎖後即生效了哦,Tip: Personal image bonus stats become effective immediately after unlocking,Mẹo: Bonus chỉ số hình ảnh cá nhân có hiệu lực ngay sau khi mở khóa.,알림: 개인 아바타 보너스의 속성은 개방 즉시 적용됩니다.,Dica: As estatísticas de bônus de imagem pessoal entram em vigor imediatamente após o desbloqueio,เคล็ดลับ: สถิติโบนัสภาพส่วนตัวจะมีผลทันทีหลังจากปลดล็อค,
4,小提示：解锁精灵的图鉴后可以使用该精灵作为头像,小提示：解鎖精靈的圖鑒後可以使用該精靈作為頭像,"Tip: After unlocking a Pokémon in the Pokédex, you may use its avatar as your profile picture.","Mẹo: Sau khi mở khóa một Pokémon trong Pokédex, bạn có thể sử dụng hình đại diện của nó làm ảnh đại diện của mình.",알림: 포켓몬 도감 개방 시 해당 포켓몬을 프로필로 사용할 수 있습니다.,"Dica: Depois de desbloquear um Pokémon no Pokédex, você pode usar seu avatar como sua foto de perfil.",เคล็ดลับ: หลังจากปลดล็อคโปเกมอนใน Pokédex แล้ว คุณสามารถใช้รูปโปรไฟล์ของโปเกมอนนั้นเป็นภาพโปรไฟล์ของคุณได้,
5,小提示：可以在设置中控制运行帧率,小提示：可以在設置中控制運行幀率,Tip: You can change the operating frame rate in the settings,Mẹo: Bạn có thể thay đổi tốc độ khung hình hoạt động trong cài đặt.,알림: 설정에서 프레임을 설정할 수 있습니다.,Dica: Você pode alterar a taxa de quadros operacional nas configurações,เคล็ดลับ: คุณสามารถเปลี่ยนอัตราเฟรมการทำงานได้ในการตั้งค่า,
6,小提示：限时称号到期后就无法使用了,小提示：限時稱號到期後就無法使用了,Tip: Time-limited titles cannot be used when has expired.,Mẹo: Các danh hiệu có giới hạn thời gian không thể được sử dụng khi đã hết hạn.,알림: 한정 호칭이 만료되면 사용할 수 없습니다.,Dica: Títulos com tempo limitado não podem ser usados quando expiram.,เคล็ดลับ: ชื่อที่มีระยะเวลาจำกัดจะไม่สามารถใช้ได้เมื่อหมดอายุแล้ว,
7,小提示：听说有人打完关卡后发现了一个神秘的商店,小提示：聽說有人打完關卡後發現了一個神秘的商店,Tip: I heard that someone found a Mystery Shop after clearing all the levels.,Mẹo: Tôi nghe nói rằng có người đã tìm thấy một Cửa hàng Bí ẩn sau khi vượt qua tất cả các cấp độ.,알림: 누군가 스테이지를 클리어한 후 신비한 상점을 발견했다고 합니다.,Dica: Ouvi dizer que alguém encontrou uma Loja Misteriosa depois de concluir todos os níveis.,เคล็ดลับ: ฉันได้ยินมาว่ามีคนพบ Mystery Shop หลังจากผ่านด่านทั้งหมดแล้ว,
8,小提示：长按体力条可以看到体力恢复情况,小提示：長按體力條可以看到體力恢復情況,Tip: Long press energy bar to check your energy recovery status,Mẹo: Nhấn giữ thanh năng lượng để kiểm tra trạng thái hồi phục năng lượng của bạn.,알림: 체력 바를 길게 터치하면 체력 회복 상황을 확인할 수 있습니다.,Dica: Pressione longamente a barra de energia para verificar seu status de recuperação de energia,เคล็ดลับ: กดแถบพลังงานค้างไว้เพื่อตรวจสอบสถานะการกู้คืนพลังงานของคุณ,
