变量名,name,name_tw,name_en,name_vn,name_kr,desc,desc_tw,desc_en,desc_vn,desc_kr,type,stackMax,expAdd,series,icon,res,startResScale,attr,size,touchSize,relSize,startPos,position,quality,currentNum,languages
默认值,"""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",102,10,5,0,"""""","""""",2,{},{width=1; height=1},<>,{width=1;height=1;off={offWidth=0;offHeight=0}},{x=0; y=0;x2=0;y2=0},5,0,FALSE,<cn;tw;en;kr>
ID,名字,名字,名字,名字,名字,描述文本,描述文本,描述文本,描述文本,描述文本,分类,最大拥有数量,经验增加,系列,图标,资源,初始资源缩放倍率,资源属性（1、flip 是否可翻转，2、初始位于左面 left，3、初始位于右面right 4、可交互interactivity5、可行走walk）,所占空间(格子为单位),点击响应范围,主要是用于墙上物品绘制选中范围,初始位置偏移量,位置，用于调整顺序,稀有度（1为稀有）,用于数量显示为当前/当前,语言区域
70001,湖蓝格子,湖藍格子,Lake Blue Plaid,Ô vuông xanh biển,푸른 칸,平日里最稀松平常的样式，充满了生活气息,平日里最稀松平常的样式，充满了生活气息,,,,101,1,5,101,config/item/furniture/icon_diban.png,city/town/furniture/floor70001.tmx,2,{minScale=0.4;maxNum=30;maxScale=0.9;k=0.5},{x=6;wallHeight=5;y=6;width=18;height=18},<>,{off={offHeight=0;offWidth=0};width=1;height=1},{x2=0;x=0;y=0;y2=0},5,0,FALSE,<cn;tw;en;kr>
70501,简约格子-蓝,,,,,以静谧而清新的蓝色为主调，棉麻的材料给地毯带来柔软的触感,,,,,102,10,5,102,config/item/furniture/icon_ditan.png,city/town/furniture/img_ditan.png,2,{flip=true},{width=5;height=4},<<1;121>;<200;220>;<434;101>;<241;2>>,{off={offHeight=0;offWidth=0};width=1;height=1},{y=0;x=-480},5,0,FALSE,<cn;tw;en;kr>
70502,简约格子-白,,,,,以简单的纯白色为主调，棉麻的材料给地毯带来柔软的触感,,,,,102,10,5,104,config/item/furniture/icon_ditan2.png,city/town/furniture/img_ditan2.png,2,{flip=true},{width=6;height=4},<<0;110>;<222;1>;<366;76>;<145;183>>,{off={offHeight=0;offWidth=0};width=1;height=1},{y=16;x=-447},5,0,FALSE,<cn;tw;en;kr>
70503,精灵球地毯,,,,,是一张圆形地毯，样式和训练家们用的精灵球一模一样,,,,,102,10,5,0,config/item/furniture/icon_ditan1.png,city/town/furniture/img_ditan1.png,2,{flip=true},{width=4;height=4},<<118;112>;<4;73>;<43;14>;<189;15>;<214;78>>,{off={offHeight=0;offWidth=0};width=1;height=1},{y=48;x=-225},5,0,FALSE,<cn;tw;en;kr>
71001,湖蓝墙纸,湖藍牆紙,,Giấy dán tường xanh biển,푸른 벽지,平日里最稀松平常的样式，充满了生活气息,平日里最稀松平常的样式，充满了生活气息,,,,201,1,5,102,config/item/furniture/icon_qiangzhi.png,city/town/furniture/wall71001.tmx,2,{},{width=12;height=5},<>,{off={offHeight=0;offWidth=0};width=1;height=1},{x2=0;x=0;y=0;y2=0},5,0,FALSE,<cn;tw;en;kr>
71501,碗碟放置柜,,,,,采用壁挂的方式，更方便拿取，也节省了空间,,,,,202,10,5,108,config/item/furniture/icon_chugui2.png,city/town/furniture/img_chugui2.png,2,{right=true;flip=true},{width=4;height=2},<<5;68>;<0;114>;<42;128>;<158;91>;<182;51>;<164;4>>,{off={offHeight=0;offWidth=0};width=1;height=1},{y=0;x=-385},5,0,FALSE,<cn;tw;en;kr>
71502,杂物壁挂柜,,,,,小小的柜子，可是能容纳不少东西的,,,,,202,10,5,108,config/item/furniture/icon_chugui3.png,city/town/furniture/img_chugui3.png,2,{left=true;flip=true},{width=2;height=2},<<0;57>;<3;10>;<65;9>;<97;28>;<96;73>;<66;86>>,{off={offHeight=0;offWidth=0};width=1;height=1},{y=0;x=0},5,0,FALSE,<cn;tw;en;kr>
72001,阳光窗台,,,,,皮卡丘表示很喜欢站在这里晒太阳,,,,,203,10,5,107,config/item/furniture/icon_chuanghu1.png,city/town/furniture/img_chuanghu1.png,2,{right=true;flip=true},{width=3;height=5},<<0;50>;<108;7>;<114;178>;<2;232>>,{off={offHeight=0;offWidth=0};width=1;height=1},{y=12;x=-240},5,0,FALSE,<cn;tw;en;kr>
