变量名,_beizhu,triggerTime,lastTime,needAutoJump,canSkip,isFirstGate,isOver,storyType,guideArgs,showType,choices,gotoStep,force,useRoleFigure,unitId,offPos,talkSelect,talkContent,talkContent_tw,talkContent_en,talkContent_vn,talkContent_kr,talkContent_pt,talkContent_th,topTalk,topTalk_tw,topTalk_en,topTalk_vn,topTalk_kr,topTalk_pt,topTalk_th,topTalkPos,topPosX,topPosY,playmp4,headRes,headPos,roleName,roleName_tw,roleName_en,roleName_vn,roleName_kr,roleName_pt,roleName_th,bgRes,tagName,animate,animateAngle,animatePos,anyPosCancel,lightSize
默认值,,0,0,0,FALSE,FALSE,,0,,2,<>,<>,1,,,,<>,"""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",,,,0,0,,,,"""""","""""","""""","""""","""""",,,,<>,,0,,FALSE,
ID,备注,触发时间,持续时间,是否自动跳过,是否显示跳过按钮;显示到下一个FALSE为止,是否首次关卡怪,结束标示(自动判定; 废弃),剧情类型0:普通1:主动技能引导2:点击引导3:小技能引导4:连击点击引导5:连击1引导6:连击2引导7:友军支援8:不再有普攻9:只是弹框对话10:选择敌方引导11:敌方某单位逃跑,引导参数（未使用）,表现样式（1、引导员，2剧情对话， 3、top角色说话）,选项组(仅对showType=1和2时生效),跳转剧情,角色位置在 1左 2右（通用设置）,使用角色形象配置<id;字段>0为自身训练家形象名字其他读取形象表 字段不填则读res,unitID,对话角色额外偏移位置,选项字段<<内容>;...>,聊天内容（富文本配置）（通用设置）,聊天内容（富文本配置）（通用设置）,聊天内容（富文本配置）（通用设置）,聊天内容（富文本配置）（通用设置）_越南,聊天内容（富文本配置）（通用设置）_韩,聊天内容（富文本配置）（通用设置）_韩,聊天内容（富文本配置）（通用设置）_韩,头顶对话,头顶对话,头顶对话,头顶对话_越南,头顶对话_韩,头顶对话_韩,头顶对话_韩,头顶对话坐标,头顶对话框微调x坐标,头顶对话框微调y坐标,播放视频,头像资源（样式1，特殊用于样式2）,头像额外偏移位置，初始为工程位置（样式1）,角色名称（样式1，特殊用于样式2）,角色名称（样式1，特殊用于样式2）,角色名称（样式1，特殊用于样式2）,角色名称（样式1，特殊用于样式2）_越南,角色名称（样式1，特殊用于样式2）_韩,角色名称（样式1，特殊用于样式2）_韩,角色名称（样式1，特殊用于样式2）_韩,显示指定背景图（样式2）,要点击的控件名称（样式1）,动画文件（样式1）,动画的角度（样式1）,动画额外偏移位置（样式1）,任意位置取消（样式1）,明亮的地方（样式1）
101,,0,2000,0,FALSE,FALSE,,0,,2,<>,<>,1,,,,<>,场场都是激战的联盟大赛，终于要迎接高潮迭起的最后一战，我们现在立刻欢迎，终于晋级到荣耀决战的两名训练家！,場場都是激戰的聯盟大賽，終於要迎接高潮迭起的最後一戰，我們現在立刻歡迎，終於晉級到榮耀決戰的兩名訓練家！,"The battles of the League Conference are fierce and exciting, and we are finally about to enter the final battle. Let's welcome the two trainers who fought all the way to a glorious battle in the finals!","Các trận đấu của Đại hội Liên Minh rất khốc liệt và thú vị, cuối cùng chúng ta cũng sắp bước vào trận chiến cuối cùng. Hãy chào đón hai huấn luyện viên đã chiến đấu hết mình để có được một trận đấu vinh quang trong trận chung kết!","경기마다 치열한 연맹 대회가, 드디어 하이라이트인 최후의 일전만이 남았습니다. 명예의 결승전에 오르게 된 트레이너 두 분을 힘찬 박수로 맞이해 주세요!","As batalhas da Conferência da Liga são ferozes e emocionantes, e finalmente estamos prestes a entrar na batalha final. Vamos dar as boas-vindas aos dois treinadores que lutaram até o fim para uma batalha gloriosa na final!",การต่อสู้ของการประชุมลีกนั้นดุเดือดและน่าตื่นเต้น และในที่สุดเราก็กำลังจะเข้าสู่การต่อสู้ครั้งสุดท้าย ขอต้อนรับเทรนเนอร์ทั้งสองที่ต่อสู้มาตลอดทางสู่การต่อสู้ที่รุ่งโรจน์ในรอบชิงชนะเลิศ!,,,,,,,,,0,0,,,,比赛主持人,比賽主持人,Game Host,Game Host,리그 사회자,Game Host,Game Host,,<>,,0,,FALSE,
111,,0,0,0,FALSE,FALSE,,0,,3,<>,<>,1,,,,<>,,,,,,,3,,,,,,,,,0,0,,,,,,,,,,,,<>,,0,,FALSE,
112,,1500,2000,0,FALSE,FALSE,,0,,2,<>,<>,1,<1>,,,<>,终于来到这一刻了。,終於來到這一刻了。,I've finally come to this moment.,Cuối cùng mình cũng đã đến được thời điểm này.,드디어 이날이 왔네.,Finalmente cheguei a este momento.,ในที่สุดฉันก็มาถึงช่วงเวลานี้แล้ว,,,,,,,,,0,0,,,,,,,,,,,,<>,,0,,FALSE,
113,,3500,2000,0,FALSE,FALSE,,0,,2,<>,<>,1,<1>,,,<>,艾岚你很强，就让我全力以赴吧！,艾嵐你很強，就讓我全力以赴吧！,"Alain you're strong, I shall give my all!","Alain, cậu rất mạnh, mình sẽ dốc toàn lực!","알랭, 너인만큼, 전력으로 나서주마!","Alain, você é forte, eu darei o meu melhor!",อแลง นายแข็งแกร่งมาก ฉันจะสู้สุดความสามารถ!,,,,,,,,,0,0,,,,,,,,,,,,<>,,0,,FALSE,
114,,5500,2000,0,FALSE,FALSE,,0,,2,<>,<>,2,<31>,,,<>,真是太令人期待了，可以在这里和你对战。,真是太令人期待了，可以在這裡和你對戰。,I'm looking forward to fight against you here.,Mình rất mong được đấu với cậu ở đây.,"이곳에서 너랑 배틀을 할 수 있다니, 정말 기대되는걸.",Estou ansioso para lutar contra você aqui.,ฉันรอคอยที่จะได้สู้กับนายที่นี่,,,,,,,,,0,0,,,,,,,,,,,,<>,,0,,FALSE,
115,,7500,2000,0,FALSE,FALSE,,0,,2,<>,<>,2,<31>,,,<>,但是这场战斗，我是不会让步的！,但是這場戰鬥，我是不會讓步的！,"But for this battle, I'll not go easy on you!","Nhưng trong trận đấu này, mình sẽ không nương tay đâu!","그래도 이번 배틀은, 절대 봐주지 않을 거야!","Mas nesta batalha, não vou pegar leve com você!",แต่สำหรับการต่อสู้ครั้งนี้ ฉันจะไม่ออมมือให้แน่!,,,,,,,,,0,0,,,,,,,,,,,,<>,,0,,FALSE,
116,,9500,2000,0,FALSE,FALSE,,0,,2,<>,<>,1,<1>,,,<>,来吧！,來吧！,C'mon!,Ra nào!,와라!,Vamos lá!,มาเลย!,,,,,,,,,0,0,,,,,,,,,,,,<>,,0,,FALSE,
121,,0,2000,0,FALSE,FALSE,,0,,2,<>,<>,1,<1>,,,<>,炎帝，末日炎爆，让火焰燃烧全场！,炎帝，末日炎爆，讓火焰燃燒全場！,"Entei, Doomsday Blast! Let the flames burn!","Entei, Đòn Hủy Diệt Ngày Tận Thế! Hãy để ngọn lửa bùng cháy!","앤테이, 둠 플레임으로 경기장을 불태워 버려!","Entei, Explosão do Juízo Final! Deixe as chamas queimarem!","เอนเต้, ระเบิดวันสิ้นโลก! ให้เปลวเพลิงแผดเผา!",,,,,,,,,0,0,,,,,,,,,,,,<>,,0,,FALSE,
