变量名,huodongID,numText,name,name_tw,name_en,name_vn,name_kr,name_pt,name_th,desc,desc_tw,desc_en,desc_vn,desc_kr,desc_pt,desc_th,icon,iconSpecial,frameType,type,times,position,frontWay,preID,duration,cd,cost,target1,params1,target2,params2,target3,params3,spTarget,spParams,extraAward,extraTime,award
默认值,0,"""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",1,1,{},<>,0,1,0,{},0,<>,0,<>,0,<>,0,<>,{},0,{}
ID,版本ID,序号（界面显示用）,描述,描述,描述,描述,描述,描述,描述,描述,描述,描述,描述,描述,描述,描述,任务点样式,特殊委托标识,弹框样式,任务类型(1-主干;2-分支;3宝箱),可完成次数,位置,前置路点,前置派遣id,时长(分钟),冷却时间,消耗(行动点),基础要求1(1-委托精灵x个;2-x元素y个;3-指定markID卡牌领队;4-性别为x精灵y个;5-身高x及以上的精灵y个;6-身高x及以下的精灵y个;7-体重x及以上的精灵y个;8-体重x及以下的精灵y个;9-好感度x及以上的精灵y个;10-稀有度x以上的精灵y个;11-元素满足多个),基础参数1(target;count),基础要求2,基础参数2,基础要求3,基础参数3,特殊要求,特殊参数,额外奖励类型,额外缩短时间,委托奖励
1,101056,1,新的探险,新的探險,New Adventure,Cuộc phiêu lưu mới,새로운 탐험,nova aventura,การผจญภัยครั้งใหม่,小智和精灵们发现了一片新的区域，这里景色各异美不胜收，他们决定先从四周展开探索,小智和精靈們發現了一片新的區域，這裏景色各異美不勝收，他們決定先從四周展開探索,"Ash and his Pokémon discovered a new area with beautiful and varied scenery, they decided to start exploring from the surroundings.","Ash và các Pokémon đã phát hiện ra một khu vực mới, với phong cảnh đa dạng và tuyệt đẹp. Họ quyết định bắt đầu khám phá từ khu vực xung quanh.","지우와 포켓몬들은 각양각색의 아름다운 경치를 자랑하는 새로운 지역을 발견하고, 주변부터 탐사를 시작하기로 결정했다.",ash e os pokemons descobriram uma nova área com um cenário diferente e bonito. Eles decidiram explorar de todos os lados.,แอชและเหล่าโปเกม่อนได้ค้นพบพื้นที่ใหม่ที่มีทิวทัศน์ที่แตกต่างและสวยงาม พวกเขาจึงตัดสินใจออกสำรวจจากทุกทิศทาง,activity/dispatch/51send_zx1.png,,activity/dispatch/box2_51send.png,1,1,{x=568;y=506},<<568;506>>,,15,,{8118=2},1,<4>,,,,,,,,,{gold=150000;500=1}
2,101056,2,大扫除,大掃除,Big Cleanup,Dọn dẹp lớn,대청소,limpar,ทำความสะอาด,前面有一栋屋子，进门才发现屋内尘头大起，杂物凌乱，若有精灵们的帮助定能很快清扫干净,有一棟很適合小憩的屋子，進門才發現屋內塵頭大起，雜物淩亂，這就需要精靈們幫忙啦,"There is a house in front, and upon entering, they found the house was dusty and cluttered. With the help of the Pokémon, it could be cleaned up quickly.","Phía trước có một ngôi nhà, khi bước vào mới phát hiện trong nhà bụi bặm, đồ đạc lộn xộn. Nếu có sự giúp đỡ của các Pokémon, chắc chắn sẽ dọn dẹp sạch sẽ rất nhanh.","앞에 집 한 채가 있는데, 문을 열고 들어가니 집안은 먼지가 자욱하고 잡동사니로 어지러웠다. 포켓몬들의 도움이 있다면 금방 깨끗하게 치울 수 있을 것이다.","Há uma casa na minha frente. Quando entrei na casa, percebi que ela estava empoeirada e bagunçada. Se eu tivesse a ajuda dos pokémons, conseguiria limpá-la rapidamente.",มีบ้านหลังหนึ่งอยู่ตรงหน้าฉัน เมื่อฉันเข้าไปในบ้านก็พบว่าบ้านเต็มไปด้วยฝุ่นและสกปรก หากฉันได้ช่วยโปเกม่อน ฉันคงสามารถทำความสะอาดได้อย่างรวดเร็ว,activity/dispatch/51send_zx1.png,,activity/dispatch/box2_51send.png,1,1,{x=720;y=770},<<568;506>;<446;582>;<484;694>;<596;740>;<720;770>>,1,15,,{8118=2},11,<3>,,,,,4,<0;2;2>,{rmb=50},,{gold=150000;20701=10}
3,101056,3,为爱发电,為愛發電,Power for Love,Năng lượng cho tình yêu,사랑을 위한 힘,poder do amor,พลังแห่งความรัก,这里的研究所的电路损坏了，导致机器无法正常运行，需要小智派出信赖的伙伴来帮忙,這裏的研究所的電路損壞了，導致機器無法正常運行，需要小智派出信賴的夥伴來幫忙,"The circuit of the research institute here is damaged, causing the machines to not operate normally. Ash needs to send his trusted partners to help.","Mạch điện của viện nghiên cứu ở đây đã bị hỏng, khiến máy móc không thể hoạt động bình thường. Ash cần cử những người bạn đáng tin cậy đến giúp đỡ.",이곳 연구소의 회로가 손상되어 기계가 정상적으로 작동하지 않는다. 지우는 믿음직한 파트너를 보내 도와야 한다.,"O circuito do instituto de pesquisa aqui está danificado, fazendo com que a máquina não opere normalmente. Ash precisa enviar um parceiro de confiança para ajudar.",วงจรของสถาบันวิจัยแห่งนี้ชำรุด ทำให้เครื่องไม่ทำงานตามปกติ แอชจำเป็นต้องส่งพันธมิตรที่เชื่อถือได้ไปช่วยเหลือ,activity/dispatch/51send_zx1.png,,activity/dispatch/box2_51send.png,1,1,{x=1058;y=628},<<720;770>;<804;796>;<866;812>;<1058;628>>,2,30,,{8118=2},2,<5;1>,9,<10;2>,10,<3;1>,,,,,{rmb=50;930=50}
4,101056,4,神秘的香味,神秘的香味,Mysterious Scent,Hương thơm bí ẩn,신비로운 향기,cheiro misterioso,กลิ่นลึกลับ,小智一行准备继续赶路，突然一阵清冽的果香迎风飘来，令人垂涎，于是大家决定去前往探查,小智一行準備繼續趕路，突然一陣清冽的果香迎風飄來，令人垂涎，於是大家決定去前往探查,"Ash and his party were about to continue on their way when a refreshing fruity fragrance wafted over, making their mouths water, so they decided to go and investigate.","Ash và nhóm bạn chuẩn bị tiếp tục lên đường thì một mùi hương trái cây thanh mát thoảng qua, khiến họ thèm thuồng. Vì vậy, mọi người quyết định đi điều tra.","지우 일행이 계속 길을 가려던 참에, 갑자기 상쾌한 과일 향기가 바람을 타고 날아와 군침이 돌았다. 그래서 모두들 탐사를 가기로 결정했다.","Ash e seu grupo estavam prestes a continuar sua jornada quando, de repente, um aroma frutado refrescante flutuou no vento, fazendo-os salivar. Então, eles decidiram ir explorar.",แอชและคณะของเขากำลังจะเดินทางต่อ แต่ทันใดนั้นก็มีกลิ่นผลไม้สดชื่นลอยมาตามลม ทำให้พวกเขาน้ำลายไหล พวกเขาจึงตัดสินใจออกสำรวจ,activity/dispatch/51send_zx1.png,,activity/dispatch/box2_51send.png,1,1,{x=1478;y=746},<<1058;628>;<1130;622>;<1194;644>;<1478;746>>,3,120,,{8118=4},2,<1;1>,10,<2;2>,,,,,,,{gold=150000;452=50}
5,101056,5,继续向前Ⅰ,繼續向前Ⅰ,Keep Moving Forward I,Tiếp tục tiến lên I,계속 전진 I,Continue avançandoⅠ,ก้าวต่อไปอย่างต่อเนื่องⅠ,小智和精灵们正在道路上行进，精灵们听从小智的调遣组成多支小队，确保探索时大家的安全,小智和精靈們正在道路上行進，精靈們聽從小智的調遣組成多支小隊，確保探索時大家的安全,"Ash and his Pokémon are moving on the road, and the Pokémon are following Ash's command to form multiple small teams to ensure everyone's safety during exploration.","Ash và các Pokémon đang di chuyển trên đường, các Pokémon nghe theo lệnh của Ash chia thành nhiều đội nhỏ để đảm bảo an toàn cho mọi người trong quá trình khám phá.","지우와 포켓몬들은 길을 가고 있으며, 포켓몬들은 지우의 지시에 따라 여러 소대로 나뉘어 탐사 중 모두의 안전을 확보한다.",Ash e os pokemons estão viajando na estrada. Os pokemons seguem o comando de Ash para formar várias equipes para garantir a segurança de todos durante a exploração.,แอชและเหล่าโปเกม่อนกำลังออกเดินทาง โปเกม่อนทำตามคำสั่งของแอชเพื่อจัดทีมต่างๆ เพื่อให้แน่ใจว่าทุกคนจะปลอดภัยระหว่างการสำรวจ,activity/dispatch/51send_zx1.png,,activity/dispatch/box2_51send.png,1,1,{x=1750;y=950},<<1478;746>;<1544;796>;<1590;842>;<1626;882>;<1676;926>;<1750;950>>,4,180,,{8118=5},2,<6;1>,9,<20;1>,,,,,,,{gold=150000;16=10}
6,101056,6,继续向前Ⅱ,繼續向前Ⅱ,Keep Moving Forward II,Tiếp tục tiến lên II,계속 전진 II,Continue avançando Ⅱ,เดินหน้าต่อไป Ⅱ,小智和精灵们正在道路上行进，精灵们听从小智的调遣组成多支小队，确保探索时大家的安全,小智和精靈們正在道路上行進，精靈們聽從小智的調遣組成多支小隊，確保探索時大家的安全,"Ash and his Pokémon are moving on the road, and the Pokémon are following Ash's command to form multiple small teams to ensure everyone's safety during exploration.","Ash và các Pokémon đang di chuyển trên đường, các Pokémon nghe theo lệnh của Ash chia thành nhiều đội nhỏ để đảm bảo an toàn cho mọi người trong quá trình khám phá.","지우와 포켓몬들은 길을 가고 있으며, 포켓몬들은 지우의 지시에 따라 여러 소대로 나뉘어 탐사 중 모두의 안전을 확보한다.",Ash e os pokemons estão viajando na estrada. Os pokemons seguem o comando de Ash para formar várias equipes para garantir a segurança de todos durante a exploração.,แอชและเหล่าโปเกม่อนกำลังออกเดินทาง โปเกม่อนทำตามคำสั่งของแอชเพื่อจัดทีมต่างๆ เพื่อให้แน่ใจว่าทุกคนจะปลอดภัยระหว่างการสำรวจ,activity/dispatch/51send_zx1.png,,activity/dispatch/box2_51send.png,1,1,{x=2060;y=970},<<1750;950>;<1840;964>;<1912;966>;<1984;966>;<2060;970>>,5,360,,{8118=5},2,<2;1>,2,<16;1>,5,<1.5;2>,,,,,{rmb=50;502=5}
7,101056,7,野餐,野餐,Picnic,Dã ngoại,피크닉,piquenique,ปิกนิก,这片小树林地方不大，树上的野果倒是长得娇艳欲滴，小智和精灵们打算在这里稍作休息,這片小樹林地方不大，樹上的野果倒是長得嬌艷欲滴，小智和精靈們打算在這裏稍作休息,"This small grove is not large, but the wild fruits on the trees are juicy and delicious. Ash and his Pokémon plan to take a short rest here.","Khu rừng nhỏ này không lớn, nhưng trái cây dại trên cây lại mọng nước và ngon lành. Ash và các Pokémon quyết định nghỉ ngơi một chút ở đây.","이 작은 숲은 넓지 않지만, 나무에 달린 야생 과일은 탐스럽게 자라 있다. 지우와 포켓몬들은 이곳에서 잠시 쉬기로 했다.","Esta pequena floresta não é muito grande, mas as frutas selvagens nas árvores são muito bonitas e suculentas. Ash e os pokemons planejam descansar aqui.",ป่าเล็กๆ แห่งนี้ไม่ใหญ่มากนัก แต่ผลไม้ป่าบนต้นไม้นั้นสวยงามและชุ่มฉ่ำมาก แอชและเหล่าโปเกม่อนวางแผนที่จะมาพักผ่อนที่นี่,activity/dispatch/51send_zx1.png,,activity/dispatch/box2_51send.png,1,1,{x=2392;y=858},<<2060;970>;<2154;960>;<2328;900>;<2392;858>>,6,180,,{8118=5},3,<91>,1,<4>,10,<3;2>,9,<65;1>,{502=2},,{gold=150000;20701=10}
8,101056,8,遗落的遗迹？,遺落的遺跡？,Lost Ruins?,Di tích bị bỏ quên?,잃어버린 유적?,Ruínas abandonadas?,ซากปรักหักพังที่ถูกทิ้งร้าง?,眼前一堆刻着精妙纹路的石柱堵了去路，小智打算小心的搬开石柱，万一这是什么遗迹古物呢,眼前一堆刻著精妙紋路的石柱堵了去路，小智打算小心的搬開石柱，萬一這是什麼遺跡古物呢,"A pile of stone pillars carved with exquisite patterns blocked the way. Ash plans to move the stone pillars carefully, in case they are some kind of ruins or ancient artifacts.","Một đống cột đá được khắc hoa văn tinh xảo chặn đường. Ash dự định cẩn thận di chuyển các cột đá, phòng trường hợp đây là di tích cổ vật.",정교한 무늬가 새겨진 돌기둥 더미가 길을 막고 있다. 지우는 이것이 유적이나 고대 유물일지도 모르니 조심스럽게 돌기둥을 옮기기로 했다.,"Uma pilha de pilares de pedra com padrões intrincados na frente dele bloqueava o caminho. Ash planejou mover cuidadosamente os pilares de pedra para longe, caso fossem algum tipo de relíquia ou artefatos antigos.",กองเสาหินที่มีลวดลายซับซ้อนขวางทางเขาอยู่ แอชวางแผนจะย้ายเสาหินออกไปอย่างระมัดระวัง เผื่อว่าเสาหินเหล่านั้นจะเป็นโบราณวัตถุหรือโบราณวัตถุบางชนิด,activity/dispatch/51send_zx1.png,,activity/dispatch/box2_51send.png,1,1,{x=2030;y=480},<<2392;858>;<2460;748>;<2374;626>;<2206;520>;<2128;496>;<2030;480>>,7,360,,{8118=10},2,<13;1>,5,<1.5;2>,9,<30;1>,,,,,{gold=150000;5000=50}
