变量名,name,name_tw,name_en,name_vn,name_kr,name_pt,name_th,needLv,extraProbability,rare,scene,extraRate,itemId,lowerRandom,lowerWait,cost
默认值,"""""","""""","""""","""""","""""","""""","""""",0,0,0,<>,{},0,0,0,{}
ID,名字,名字,名字,名字,名字,名字,名字,需要钓鱼等级,自动钓鱼成功率倍数（同类增益互相相加）,鱼饵稀有度,适用场景,此鱼饵权值加成，{鱼id=rate；鱼id=rate…..}使用此鱼饵时，对应鱼权值*rate,关联物品表id,降低鱼行动范围,降低等待时间,购买消耗(不填代表不可购买)
1,红色蚯蚓,紅色蚯蚓,Red earthworm,Giun Đất Đỏ,빨간색 지렁이,Minhoca Vermelha,ไส้เดือนแดง,0,0,1,<1>,{1=1;2=1;3=1;4=1;5=1;6=1;7=1;8=1;9=1;10=1;11=1;203=1;105=1;201=1;106=1;1101=1;1111=1;1112=1;1102=1;107=1;101=1;103=1;2002=1;2004=1;2001=1;206=1;1202=1;2003=1;102=1;204=1;1201=1;205=1;104=1;202=1},7100,0,0,{gold=1000}
2,美味泥鳅,美味泥鰍,Delicious loach,Chạch Thơm Ngon,맛있는 미꾸라지,Locha Deliciosa,ปลาหมูรสเลิศ,2,0,2,<1;2>,{1=1;2=1;3=1;4=1;5=1;6=1;7=1;8=1;9=1;10=1;11=1;203=1.2;105=1.2;201=1.2;106=1.2;1101=1.2;1111=1.2;1112=1.2;1102=1.2;107=1.2;101=1.2;103=1.2;2002=1.2;2004=1.2;2001=1.2;206=1.2;1202=1.2;2003=1.2;102=1.2;204=1.2;1201=1.2;205=1.2;104=1.2;202=1.2},7101,0.05,0.05,{gold=2000}
3,角金鱼鱼饵,角金魚魚餌,Goldeen bait,Mồi Câu Goldeen,콘치 미끼,Isca de Goldeen,เหยื่อโกลดีน,6,0,3,<1;2>,{1=1;2=1;3=1;4=1;5=1;6=1;7=1;8=1;9=1;10=1;11=1;203=1.4;105=1.4;201=1.4;106=1.4;1101=1.4;1111=1.4;1112=1.4;1102=1.4;107=1.4;101=1.4;103=1.4;2002=1.4;2004=1.4;2001=1.4;206=1.4;1202=1.4;2003=1.4;102=1.4;204=1.4;1201=1.4;205=1.4;104=1.4;202=1.4},7102,0.1,0.1,{gold=3000}
4,墨海马鱼饵,墨海馬魚餌,Horsea bait,Mồi Câu Horsea,쏘드라 미끼,Isca de Horsea,เหยื่อฮอร์ซี,10,0,4,<1;2;3>,{1=1;2=1;3=1;4=1;5=1;6=1;7=1;8=1;9=1;10=1;11=1;203=1.6;105=1.6;201=1.6;106=1.6;1101=1.6;1111=1.6;1112=1.6;1102=1.6;107=1.6;101=1.6;103=1.6;2002=1.6;2004=1.6;2001=1.6;206=1.6;1202=1.6;2003=1.6;102=1.6;204=1.6;1201=1.6;205=1.6;104=1.6;202=1.6},7103,0.15,0.15,{gold=5000}
5,迷你龙鱼饵,迷你龍魚餌,Dratini bait,Mồi Câu Dratini,미뇽 미끼,Isca de Dratini,เหยื่อดราตินี่,15,0,5,<1;2;3>,{1=1;2=1;3=1;4=1;5=1;6=1;7=1;8=1;9=1;10=1;11=1;203=1.8;105=1.8;201=1.8;106=1.8;1101=1.8;1111=1.8;1112=1.8;1102=1.8;107=1.8;101=1.8;103=1.8;2002=1.8;2004=1.8;2001=1.8;206=1.8;1202=1.8;2003=1.8;102=1.8;204=1.8;1201=1.8;205=1.8;104=1.8;202=1.8},7104,0.2,0.2,{gold=10000}
6,发光的鱼饵,發光的魚餌,Luminous fishing lure,Mồi Câu Phát Quang,반짝이는 미끼,Isca de Pesca Luminosa,เหยื่อตกปลาเรืองแสง,0,0,5,<1;2;3>,{1=1;2=1;3=1;4=1;5=1;6=1;7=1;8=1;9=1;10=1;11=1;203=2.5;105=2.5;201=2.5;106=2.5;1101=2.5;1111=2.5;1112=2.5;1102=2.5;107=2.5;101=2.5;103=2.5;2002=2.5;2004=2.5;2001=2.5;206=2.5;1202=2.5;2003=2.5;102=2.5;204=2.5;1201=2.5;205=2.5;104=2.5;202=2.5},7105,0.3,0.3,{rmb=5}
7,大赛专用初级鱼饵,大賽專用初級魚餌,Competition primary bait,Mồi Câu Thi Đấu Sơ Cấp,대회 전용 초급 미끼.,Isca Primária de Competição,เหยื่อการแข่งขันขั้นต้น,0,0,4,<1;2;3;999>,{1=1;2=1;3=1;4=1;5=1;6=1;7=1;8=1;9=1;10=1;11=1;203=1.4;105=1.4;201=1.4;106=1.4;1101=1.4;1111=1.4;1112=1.4;1102=1.4;107=1.4;101=1.4;103=1.4;2002=1.4;2004=1.4;2001=1.4;206=1.4;1202=1.4;2003=1.4;102=1.4;204=1.4;1201=1.4;205=1.4;104=1.4;202=1.4},7111,0.1,0.1,{gold=20000}
8,大赛专用高级鱼饵,大賽專用高級魚餌,Competition advance bait,Mồi Câu Thi Đấu Cao Cấp,대회 전용 고급 미끼.,Isca Avançada de Competição,เหยื่อการแข่งขันขั้นสูง,0,0,5,<1;2;3;999>,{1=1;2=1;3=1;4=1;5=1;6=1;7=1;8=1;9=1;10=1;11=1;203=1.8;105=1.8;201=1.8;106=1.8;1101=1.8;1111=1.8;1112=1.8;1102=1.8;9999=1.5;107=1.8;101=1.8;103=1.8;2002=1.8;2004=1.8;2001=1.8;102=1.8;1201=1.8;2003=1.8;206=1.8;204=1.8;1202=1.8;205=1.8;104=1.8;202=1.8},7112,0.2,0.2,{}
