变量名,typeSeqID,weight,group,desc,desc_tw,desc_en,desc_vn,desc_kr,desc_pt,desc_th,choice1,choice1_tw,choice1_en,choice1_vn,choice1_kr,choice1_pt,choice1_th,choice2,choice2_tw,choice2_en,choice2_vn,choice2_kr,choice2_pt,choice2_th,choice3,choice3_tw,choice3_en,choice3_vn,choice3_kr,choice3_pt,choice3_th,choice4,choice4_tw,choice4_en,choice4_vn,choice4_kr,choice4_pt,choice4_th,answer,imgID
默认值,,0,0,"""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",1,
ID,问题类型索引id,同组内随机权重,组,问题描述,问题描述,问题描述,问题描述,问题描述,问题描述,问题描述,选项1,选项2,选项3,选项4,选项5,选项5,选项5,选项2,选项3,选项4,选项5,选项6,选项6,选项6,选项3,选项4,选项5,选项6,选项7,选项7,选项7,选项4,选项5,选项6,选项7,选项8,选项8,选项8,答案,资源
1,1,50,101,动画中小智第一只获得的精灵是什么？,動畫中小智第一只獲得的精靈是什麽？,What was the first Pokémon that Ash obtained in the animation?,,,,,皮卡丘,皮卡丘,Pikachu,Pikachu,Pikachu,Pikachu,Pikachu,小火龙,小火龍,Charmander,Charmander,Charmander,Charmander,Charmander,杰尼龟,傑尼龜,Squirtle,Squirtle,Squirtle,Squirtle,Squirtle,妙蛙种子,妙蛙種子,Bulbasaur,Bulbasaur,Bulbasaur,Bulbasaur,Bulbasaur,1,
2,1,50,101,动画中小智的母亲叫什么名字？,動畫中小智的母親叫什麽名字？,What is the name of Ash's mother in the animation?,,,,,花子,花子,Delia,Delia,Delia,Delia,Delia,美津子,美津子,Caroline,Caroline,Caroline,Caroline,Caroline,彩子,彩子,Johanna,Johanna,Johanna,Johanna,Johanna,露莎米奈,露莎米奈,Lusamine,Lusamine,Lusamine,Lusamine,Lusamine,1,
3,1,50,101,动画中以下哪位女生不会喜欢小智？,動畫中以下哪位女生不會喜歡小智？,Which of the following girls in the animation would not like Ash?,,,,,武藏,武藏,Jessie,Jessie,Jessie,Jessie,Jessie,小霞,小霞,Misty,Misty,Misty,Misty,Misty,小萌,小萌,Macy,Macy,Macy,Macy,Macy,莎莉娜,莎莉娜,Serena,Serena,Serena,Serena,Serena,1,
4,1,50,101,动画中小刚曾和父亲担任过相同的道馆馆主，这个道馆的名字是？,動畫中小剛曾和父親擔任過相同的道館館主，這個道館的名字是？,"In the animation, Brock and his father served as the same Leader of the Gym. What is the name of this Gym?",,,,,深灰道馆,深灰道館,Pewter Gym,Pewter Gym,Pewter Gym,Pewter Gym,Pewter Gym,华蓝道馆,華藍道館,Cerulean Gym,Cerulean Gym,Cerulean Gym,Cerulean Gym,Cerulean Gym,常青道馆,常青道館,Viridian Gym,Viridian Gym,Viridian Gym,Viridian Gym,Viridian Gym,枯叶道馆,枯葉道館,Vermilion Gym,Vermilion Gym,Vermilion Gym,Vermilion Gym,Vermilion Gym,1,
5,1,50,101,动画中火箭队口中的“小鬼头”大多时候指的谁？,動畫中火箭隊口中的“小鬼頭”大多時候指的誰？,Who is the “twerp" by the Team Rocket in the animation most of the time?,,,,,小智,小智,Ash,Ash,Ash,Ash,Ash,小刚,小剛,Brock,Brock,Brock,Brock,Brock,小霞,小霞,Misty,Misty,Misty,Misty,Misty,皮卡丘,皮卡丘,Pikachu,Pikachu,Pikachu,Pikachu,Pikachu,1,
6,1,50,102,动画中武藏在城都地区得到的第一只精灵是哪只精灵？,動畫中武藏在城都地區得到的第一只精靈是哪只精靈？,"In the anime, which was the first Pokémon that Jessie got in the Johto area?",,,,,果然翁,果然翁,Wobbuffet,Wobbuffet,Wobbuffet,Wobbuffet,Wobbuffet,大舌头,大舌頭,Lickitung,Lickitung,Lickitung,Lickitung,Lickitung,宝石海星,寶石海星,Starmie,Starmie,Starmie,Starmie,Starmie,喵喵,喵喵,Meowth,Meowth,Meowth,Meowth,Meowth,1,
7,1,50,102,动画中，以下关于武藏说法错误的是哪一项？,動畫中，以下關於武藏說法錯誤的是哪一項？,"In the animation, which of the following statements about Jessie is wrong?",,,,,自幼养尊处优,自幼養尊處優,Pampered since childhood,Pampered since childhood,Pampered since childhood,Pampered since childhood,Pampered since childhood,出生于火箭队世家,出生於火箭隊世家,Born in a Team Rocket family,Born in a Team Rocket family,Born in a Team Rocket family,Born in a Team Rocket family,Born in a Team Rocket family,曾希望成为一名精灵护士,曾希望成為一名精靈護士,She wanted to be an Pokémon nurse,She wanted to be an Pokémon nurse,She wanted to be an Pokémon nurse,She wanted to be an Pokémon nurse,She wanted to be an Pokémon nurse,曾做过电视台主播,曾做過電視臺主播,Used to be a TV anchor,Used to be a TV anchor,Used to be a TV anchor,Used to be a TV anchor,Used to be a TV anchor,1,
8,1,50,102,动画中，以下关于火箭队说法错误的是哪一项？,動畫中，以下關於火箭隊說法錯誤的是哪一項？,"In the animation, which one of the following statements about the Team Rocket is wrong?",,,,,火箭队最初是由坂木创立的,火箭隊最初是由阪木創立的,Team Rocket were originally founded by Giovanni,Team Rocket were originally founded by Giovanni,Team Rocket were originally founded by Giovanni,Team Rocket were originally founded by Giovanni,Team Rocket were originally founded by Giovanni,一家股票上市公司,一家股票上市公司,A stock company,A stock company,A stock company,A stock company,A stock company,大型跨国、跨地区的公司,大型跨國、跨地區的公司,Large multinational and multi-regional company,Large multinational and multi-regional company,Large multinational and multi-regional company,Large multinational and multi-regional company,Large multinational and multi-regional company,为每一位队员提供完善的福利待遇,為每一位隊員提供完善的福利待遇,Provide complete benefits for each team member,Provide complete benefits for each team member,Provide complete benefits for each team member,Provide complete benefits for each team member,Provide complete benefits for each team member,1,
