变量名,name,name_tw,name_en,name_vn,name_kr,name_pt,name_th,attrMap,res
默认值,"""""","""""","""""","""""","""""","""""","""""",{},""""""
ID,性格名字,性格名字,性格名字,性格名字,性格名字_韩,性格名字_韩,性格名字_韩,属性加成,资源
1,浮躁,浮躁,Quirky,Kỳ quặc,방정맞음,Excêntrico,แปลกประหลาด,{},
2,勤奋,勤奮,Hardy,Cứng cỏi,근면함,Resistente,แข็งแกร่ง,{},
3,害羞,害羞,Bashful,Rụt rè,수줍어함,Tímido,ขี้อาย,{},
4,坦率,坦率,Docile,Dễ bảo,솔직함,Dócil,เชื่อง,{},
5,认真,認真,Serious,Nghiêm túc,진지함,Sério,จริงจัง,{},
6,胆小,膽小,Timid,Nhút nhát,겁이 많음,Tímido,ขี้กลัว,{7=90%;13=110%},
7,急躁,急躁,Hasty,Nóng nảy,조급함,Impulsivo,ใจร้อน,{13=110%;9=90%},
8,爽朗,爽朗,Jolly,Vui vẻ,유쾌함,Alegre,ร่าเริง,{8=90%;13=110%},
9,天真,天真,Naive,Ngây thơ,천진난만함,Ingênuo,ไร้เดียงสา,{13=110%;10=90%},
10,怕寂寞,怕寂寞,Lonely,Cô đơn,외로워함,Solitário,โดดเดี่ยว,{7=110%;9=90%},
11,勇敢,勇敢,Brave,Dũng cảm,용감함,Corajoso,กล้าหาญ,{7=110%;13=90%},
12,固执,固執,Adamant,Kiên định,고집이 강함,Firme,แน่วแน่,{7=110%;8=90%},
13,顽皮,頑皮,Naughty,Nghịch ngợm,장난이 심함,Travesso,ซุกซน,{7=110%;10=90%},
14,大胆,大膽,Bold,Táo bạo,대담함,Ousado,กล้าได้กล้าเสีย,{7=90%;9=110%},
15,悠闲,悠閒,Relaxed,Thoải mái,여유로움,Relaxado,ผ่อนคลาย,{13=90%;9=110%},
16,淘气,淘氣,Impish,Tinh quái,말썽쟁이,Pícaro,เจ้าเล่ห์,{8=90%;9=110%},
17,乐天,樂天,Lax,Bất cẩn,낙천적,Desleixado,ไม่สนใจ,{10=90%;9=110%},
18,内敛,內斂,Modest,Khiêm tốn,내성적,Modesto,ถ่อมตัว,{7=90%;8=110%},
19,慢吞吞,慢吞吞,Mild,Ôn hòa,느림,Suave,ใจดี,{8=110%;9=90%},
20,冷静,冷靜,Quiet,Yên lặng,냉정함,Quieto,เงียบขรึม,{8=110%;13=90%},
21,马虎,馬虎,Rash,Liều lĩnh,건성건성함,Impulsivo,ใจร้อน,{8=110%;10=90%},
22,温和,溫和,Calm,Bình tĩnh,온화함,Calmo,ใจเย็น,{7=90%;10=110%},
23,温顺,溫順,Gentle,Dịu dàng,온순함,Gentil,อ่อนโยน,{10=110%;9=90%},
24,自大,自大,Sassy,Xấc xược,자만함,Atrevido,หยิ่งผยอง,{13=90%;10=110%},
25,慎重,慎重,Careful,Cẩn thận,신중함,Cuidadoso,ระมัดระวัง,{8=90%;10=110%},
