变量名,name,name_tw,name_en,name_vn,name_kr,name_pt,name_th,icon,quality,exclusiveCards,itemsShow,languages,stackShow,strengthMax,strengthSeqID,advanceMax,advanceSeqID,advanceLvLimit,universalItems,attrTypes,attrNumRates,viceAttrRate,strengthAttrSeq,advanceAttrSeq,effect1,effect1LevelAdvSeq,effect2,effect2LevelAdvSeq,rebirthRMB,heldItemExp,fragID,produceGate1,produceGate2,produceGate3,produceDesc,produceDesc_tw,produceDesc_en,produceDesc_vn,produceDesc_kr,produceDesc_pt,produceDesc_th,effect
默认值,"""""","""""","""""","""""","""""","""""","""""","""""",3,<>,TRUE,<cn;tw;en;vn;th;kr;pt>,199,20,1,7,1,<>,<>,<1;13;7;9;8;10>,,0.5,1,1,0,<>,0,<>,10,0,0,"""""","""""","""""",可通过特殊运营活动获得,可透過特殊營運活動獲得,Obtainable through special events,Có thể nhận qua sự kiện đặc biệt,특별 운영 이벤트를 통해 획득 가능,Obtido através de eventos especiais,สามารถรับได้จากกิจกรรมพิเศษ,{drawcard=false;gain=false}
ID,名称,名称,名称,名称,名称,名称,名称,图标,品质,专属卡牌<markID;>,控制道具是否显示,语言区域,显示每组的堆叠上限,最大强化等级,强化序列ID,最大进阶突破上限,进阶突破序列ID,突破强化等级限制,进阶万能道具,基础属性类型,基础属性整体修正,副携带属性比例,强化加成序列ID,突破加成序列ID,携带效果1,携带效果1等级突破序列,携带效果2,携带效果2等级突破序列,重生消耗钻石,携带道具增加经验,碎片ID（对应合成的碎片）,产地(数字表示关卡;tower;shilian;pvp;yuanzheng;kaogu;jinbi;lianjin),产地(数字表示关卡;tower;shilian;pvp;yuanzheng;kaogu;jinbi),产地(数字表示关卡;tower;shilian;pvp;yuanzheng;kaogu;jinbi),前三个都没就读描述,前三个都没就读描述,前三个都没就读描述,前三个都没就读描述,前三个都没就读描述,前三个都没就读描述,前三个都没就读描述,分别表示在抽卡，恭喜获得
30101,白金宝珠,白金寶珠,Lustrous Orb,Bạch Kim Châu,백금옥,Lustrous Orb,ลูกแก้วแพลตตินั่ม,config/item/xddj/icon_bjbz.png,2,<>,TRUE,,199,80,2,7,1,<3;6;9;12;15;18;21;24;27;30;40;50;60;70;80>,<2151>,<1;13;7;9;8;10>,<1.1;0.9;1;1;1;1>,0.5,2,2,1,<0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15>,0,<>,2,90,0,,,,可通过饰品抽卡获得,可透過飾品抽獎獲得,Obtainable through accessory draw,Có thể nhận qua rút phụ kiện,장신구 뽑기를 통해 획득 가능,Obtido através do sorteio de acessórios,สามารถรับได้จากการสุ่มเครื่องประดับ,{drawcard=false;gain=false}
30102,可疑补丁,可疑修正檔,Dubious Disc,Đĩa Nghi Ngờ,괴상한패치,Dubious Disc,แผ่นดิสก์น่าสงสัย,config/item/xddj/icon_kybd.png,2,<>,TRUE,,199,80,2,7,2,<3;6;9;12;15;18;21;24;27;30;40;50;60;70;80>,<2151>,<1;13;7;9;8;10>,<1;0.9;1.1;1;1;1>,0.5,2,2,3,<0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15>,0,<>,2,90,0,,,,可通过饰品抽卡获得,可透過飾品抽獎獲得,Obtainable through accessory draw,Có thể nhận qua rút phụ kiện,장신구 뽑기를 통해 획득 가능,Obtido através do sorteio de acessórios,สามารถรับได้จากการสุ่มเครื่องประดับ,{drawcard=false;gain=false}
30103,美丽鳞片,美麗鱗片,Prism Scale,Vảy Đẹp,고운비늘,Prism Scale,เกล็ดงาม,config/item/xddj/icon_mllp.png,2,<>,TRUE,,199,80,2,7,3,<3;6;9;12;15;18;21;24;27;30;40;50;60;70;80>,<2151>,<1;13;7;9;8;10>,<1;0.9;1;1;1;1.1>,0.5,2,2,5,<0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15>,0,<>,2,90,0,,,,可通过饰品抽卡获得,可透過飾品抽獎獲得,Obtainable through accessory draw,Có thể nhận qua rút phụ kiện,장신구 뽑기를 통해 획득 가능,Obtido através do sorteio de acessórios,สามารถรับได้จากการสุ่มเครื่องประดับ,{drawcard=false;gain=false}
30104,泡沫奶油,泡沫奶油,Whipped Dream,Kem Bọt,휘핑팝,Whipped Dream,วิปครีม,config/item/xddj/icon_pfny.png,2,<>,TRUE,,199,80,2,7,4,<3;6;9;12;15;18;21;24;27;30;40;50;60;70;80>,<2151>,<1;13;7;9;8;10>,<1;0.9;1;1;1.1;1>,0.5,2,2,7,<0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15>,0,<>,2,90,0,,,,可通过饰品抽卡获得,可透過飾品抽獎獲得,Obtainable through accessory draw,Có thể nhận qua rút phụ kiện,장신구 뽑기를 통해 획득 가능,Obtido através do sorteio de acessórios,สามารถรับได้จากการสุ่มเครื่องประดับ,{drawcard=false;gain=false}
30105,力量护腕,力量護腕,Power Bracer,Vòng Tay Sức Mạnh,파워리스트,Power Bracer,พาวเวอร์เบรเซอร์,config/item/xddj/icon_llhw.png,2,<>,TRUE,,199,80,2,7,5,<3;6;9;12;15;18;21;24;27;30;40;50;60;70;80>,<2151>,<1;13;7;9;8;10>,<1;0.9;1;1.1;1;1>,0.5,2,2,9,<0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15>,0,<>,2,90,0,,,,可通过饰品抽卡获得,可透過飾品抽獎獲得,Obtainable through accessory draw,Có thể nhận qua rút phụ kiện,장신구 뽑기를 통해 획득 가능,Obtido através do sorteio de acessórios,สามารถรับได้จากการสุ่มเครื่องประดับ,{drawcard=false;gain=false}
30106,灵界之布,靈界之布,Reaper Cloth,Vải Linh Giới,영계의천,Reaper Cloth,ผ้ายมทูต,config/item/xddj/icon_ljzb.png,2,<>,TRUE,,199,80,2,7,6,<3;6;9;12;15;18;21;24;27;30;40;50;60;70;80>,<2151>,<1;13;7;9;8;10>,<1;1;1;1;1;1>,0.5,2,2,11,<0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15>,0,<>,2,90,0,,,,可通过饰品抽卡获得,可透過飾品抽獎獲得,Obtainable through accessory draw,Có thể nhận qua rút phụ kiện,장신구 뽑기를 통해 획득 가능,Obtido através do sorteio de acessórios,สามารถรับได้จากการสุ่มเครื่องประดับ,{drawcard=false;gain=false}
30201,讲究头带,講究頭帶,Choice Band,Băng Đô Lựa Chọn,구애머리띠,Choice Band,ผ้าคาดหัวเลือกสรร,config/item/xddj/icon_jjtj.png,3,<>,TRUE,,199,80,3,7,7,<3;6;9;12;15;18;21;24;27;30;40;50;60;70;80>,<2151>,<1;13;7;9;8;10>,<1.05;0.9;1;1.05;1;1>,0.5,3,3,15,<0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15>,0,<>,5,150,0,,,,可通过饰品抽卡获得,可透過飾品抽獎獲得,Obtainable through accessory draw,Có thể nhận qua rút phụ kiện,장신구 뽑기를 통해 획득 가능,Obtido através do sorteio de acessórios,สามารถรับได้จากการสุ่มเครื่องประดับ,{drawcard=false;gain=false}
30202,混元之石,混元之石,Everstone,Đá Bất Biến,변함없는돌,Everstone,หินไม่เปลี่ยนแปลง,config/item/xddj/icon_hyzs.png,3,<>,TRUE,,199,80,3,7,8,<3;6;9;12;15;18;21;24;27;30;40;50;60;70;80>,<2151>,<1;13;7;9;8;10>,<1.05;0.9;1;1;1;1.05>,0.5,3,3,17,<0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15>,0,<>,5,150,0,,,,可通过饰品抽卡获得,可透過飾品抽獎獲得,Obtainable through accessory draw,Có thể nhận qua rút phụ kiện,장신구 뽑기를 통해 획득 가능,Obtido através do sorteio de acessórios,สามารถรับได้จากการสุ่มเครื่องประดับ,{drawcard=false;gain=false}
30203,饱腹熏香,飽腹薰香,Full Incense,Nhang No Bụng,만복향로,Full Incense,เครื่องหอมอิ่มท้อง,config/item/xddj/icon_bfxx.png,3,<>,TRUE,,199,80,3,7,9,<3;6;9;12;15;18;21;24;27;30;40;50;60;70;80>,<2151>,<1;13;7;9;8;10>,<1;0.9;1;1.05;1;1.05>,0.5,3,3,19,<0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15>,0,<>,5,150,0,,,,可通过饰品抽卡获得,可透過飾品抽獎獲得,Obtainable through accessory draw,Có thể nhận qua rút phụ kiện,장신구 뽑기를 통해 획득 가능,Obtido através do sorteio de acessórios,สามารถรับได้จากการสุ่มเครื่องประดับ,{drawcard=false;gain=false}
30204,气势被带,氣勢披帶,Focus Sash,Dải Lụa Khí Phách,기합의띠,Focus Sash,แถบรัดมุ่งมั่น,config/item/xddj/icon_qspd.png,3,<>,TRUE,,199,80,3,7,10,<3;6;9;12;15;18;21;24;27;30;40;50;60;70;80>,<2151>,<1;13;7;9;8;10>,<1;0.9;1.1;1;1;1>,0.5,3,3,21,<0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15>,0,<>,5,150,0,,,,可通过饰品抽卡获得,可透過飾品抽獎獲得,Obtainable through accessory draw,Có thể nhận qua rút phụ kiện,장신구 뽑기를 통해 획득 가능,Obtido através do sorteio de acessórios,สามารถรับได้จากการสุ่มเครื่องประดับ,{drawcard=false;gain=false}
30205,球根,球根,Cell Battery,Bóng Đèn,풍선,Cell Battery,หัวพืช,config/item/xddj/icon_qg.png,3,<>,TRUE,,199,80,3,7,11,<3;6;9;12;15;18;21;24;27;30;40;50;60;70;80>,<2151>,<1;13;7;9;8;10>,<1;0.9;1;1;1.1;1>,0.5,3,3,23,<0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15>,0,<>,5,150,0,,,,可通过饰品抽卡获得,可透過飾品抽獎獲得,Obtainable through accessory draw,Có thể nhận qua rút phụ kiện,장신구 뽑기를 통해 획득 가능,Obtido através do sorteio de acessórios,สามารถรับได้จากการสุ่มเครื่องประดับ,{drawcard=false;gain=false}
30206,讲究眼镜,講究眼鏡,Choice Specs,Kính Lựa Chọn,구애안경,Choice Specs,แว่นตาเลือกสรร,config/item/xddj/icon_jjyj.png,3,<>,TRUE,,199,80,3,7,12,<3;6;9;12;15;18;21;24;27;30;40;50;60;70;80>,<2151>,<1;13;7;9;8;10>,<1.05;0.9;1.05;1;1;1>,0.5,3,3,25,<0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15>,0,<>,5,150,0,,,,可通过饰品抽卡获得,可透過飾品抽獎獲得,Obtainable through accessory draw,Có thể nhận qua rút phụ kiện,장신구 뽑기를 통해 획득 가능,Obtido através do sorteio de acessórios,สามารถรับได้จากการสุ่มเครื่องประดับ,{drawcard=false;gain=false}
30207,白玉宝珠,白玉寶珠,Lustrous Orb,Bạch Ngọc Châu,백옥,Lustrous Orb,ลูกแก้วขาว,config/item/xddj/icon_bybz.png,3,<>,TRUE,,199,80,3,7,13,<3;6;9;12;15;18;21;24;27;30;40;50;60;70;80>,<2151>,<1;13;7;9;8;10>,<1.05;0.9;1;1;1.05;1>,0.5,3,3,27,<0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15>,0,<>,5,150,0,,,,可通过饰品抽卡获得,可透過飾品抽獎獲得,Obtainable through accessory draw,Có thể nhận qua rút phụ kiện,장신구 뽑기를 통해 획득 가능,Obtido através do sorteio de acessórios,สามารถรับได้จากการสุ่มเครื่องประดับ,{drawcard=false;gain=false}
30208,先制之爪,先制之爪,Quick Claw,Vuốt Nhanh,선제의발톱,Quick Claw,กรงเล็บแหลมคม,config/item/xddj/icon_xzzz.png,3,<>,TRUE,,199,80,3,7,14,<3;6;9;12;15;18;21;24;27;30;40;50;60;70;80>,<2151>,<1;13;7;9;8;10>,<1;1;1;1;1;1>,0.5,3,3,29,<0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15>,0,<>,5,150,0,,,,可通过饰品抽卡获得,可透過飾品抽獎獲得,Obtainable through accessory draw,Có thể nhận qua rút phụ kiện,장신구 뽑기를 통해 획득 가능,Obtido através do sorteio de acessórios,สามารถรับได้จากการสุ่มเครื่องประดับ,{drawcard=false;gain=false}
30209,焦点镜,焦點鏡,Scope Lens,Kính Ngắm,초점렌즈,Scope Lens,เลนส์ซูม,config/item/xddj/icon_jdj.png,3,<>,TRUE,,199,80,3,7,15,<3;6;9;12;15;18;21;24;27;30;40;50;60;70;80>,<2151>,<1;13;7;9;8;10>,<1;1;1;1;1;1>,0.5,3,3,31,<0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15>,0,<>,5,150,0,,,,可通过饰品抽卡获得,可透過飾品抽獎獲得,Obtainable through accessory draw,Có thể nhận qua rút phụ kiện,장신구 뽑기를 통해 획득 가능,Obtido através do sorteio de acessórios,สามารถรับได้จากการสุ่มเครื่องประดับ,{drawcard=false;gain=false}
30301,吃剩的苹果,吃剩的蘋果,Leftovers,Táo Ăn Dở,먹다남은음식,Leftovers,ของเหลือ,config/item/xddj/icon_csddx.png,4,<>,TRUE,,199,80,4,7,16,<3;6;9;12;15;18;21;24;27;30;40;50;60;70;80>,<2152>,<1;13;7;9;8;10>,<1.1;0.9;1;1;1;1>,0.5,4,4,33,<0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15>,34,<0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15>,8,280,28001,,,,可通过饰品抽卡获得,可透過飾品抽獎獲得,Obtainable through accessory draw,Có thể nhận qua rút phụ kiện,장신구 뽑기를 통해 획득 가능,Obtido através do sorteio de acessórios,สามารถรับได้จากการสุ่มเครื่องประดับ,{drawcard=zi_effect_loop;gain=zi_effect_loop}
30302,熔岩增幅器,熔岩增幅器,Magmarizer,Dung Nham Tăng Cường,마그마부스터,Magmarizer,แม็กม่าบูสเตอร์,config/item/xddj/icon_ryzfq.png,4,<>,TRUE,,199,80,4,7,17,<3;6;9;12;15;18;21;24;27;30;40;50;60;70;80>,<2152>,<1;13;7;9;8;10>,<1;1;1;1;1;1>,0.5,4,4,35,<0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15>,36,<0;1;2;3;4;5;6;7;8;10>,8,280,28002,,,,可通过饰品抽卡获得,可透過飾品抽獎獲得,Obtainable through accessory draw,Có thể nhận qua rút phụ kiện,장신구 뽑기를 통해 획득 가능,Obtido através do sorteio de acessórios,สามารถรับได้จากการสุ่มเครื่องประดับ,{drawcard=zi_effect_loop;gain=zi_effect_loop}
