变量名,weatherType,name,name_tw,name_en,name_vn,name_kr,name_pt,name_th,iconRes,describe,describe_tw,describe_en,describe_vn,describe_kr,describe_pt,describe_th,effectRes,lifeRound,overlay,targetArgs,regEffect,buffId,buffValueGroup
默认值,,,,,,,,,,,,,,,,,,,,,,,
ID,天气类型(对应不同的天气类型,天气名字,天气名字,天气名字,天气名字_越南,天气名字_韩,天气名字_韩,天气名字_韩,天气icon资源路径,天气介绍,天气介绍,天气介绍,天气介绍_越南,天气介绍_韩,天气介绍_韩,天气介绍_韩,天气特效资源路径,初始持续回合,覆盖层级(1-99数值小的覆盖数值大的，同一优先级的后触发的天气覆盖之前存在的天气),效果目标参会数（预留）,固定效果效果组（预留）<{百分比值要加 百分号};{固定值直接填}>,天气buffID组<<>;<>>,天气组buff效果参数组每一组必须有三个参数<<{};{}>;<{}>> {buffProb=1;buffLifeRound=4;buffValue=-target:hpMax()*0.2}
1,1,雨天,雨天,Rain,Trời mưa,비,Chuva,ฝนตก,battle/weather_icon/icon_yutian.png,水系精灵速度提升；火系精灵伤害降低\n每个大回合结束时驱散全体精灵一部分负面效果,水屬性寶可夢速度提升；火屬性寶可夢傷害降低\n每個大回合結束時驅散全體寶可夢一部分負面效果,"Water-type Pokémon's Speed is increased; Fire-type Pokémon's damage is reduced\nAt the end of each major round, a portion of negative effects are dispelled from all Pokémon.","Tốc độ của Pokémon hệ Nước tăng; sát thương của Pokémon hệ Lửa giảm\nVào cuối mỗi vòng đấu lớn, một phần hiệu ứng tiêu cực sẽ được giải trừ khỏi tất cả Pokémon.",물타입 포켓몬 속도 증가; 불꽃타입 포켓몬 대미지 감소\n각 큰 턴이 끝날 때 모든 포켓몬의 일부 부정적인 효과를 제거합니다.,"A Velocidade de Pokémon do tipo Água aumenta; o dano de Pokémon do tipo Fogo diminui\nNo final de cada rodada principal, uma parte dos efeitos negativos é removida de todos os Pokémon.",ความเร็วของโปเกมอนประเภทน้ำเพิ่มขึ้น; ความเสียหายของโปเกมอนประเภทไฟลดลง\nเมื่อสิ้นสุดแต่ละรอบใหญ่ จะลบล้างเอฟเฟกต์เชิงลบบางส่วนออกจากโปเกมอนทั้งหมด,weather/xiayu.skel,4,99,,<{skillPower=10%};{skillPower=-10%}>,,
2,2,雷雨,雷雨,Thunderstorm,Mưa sấm sét,뇌우,Tempestade de raios,พายุฝนฟ้าคะนอง,battle/weather_icon/icon_leiyu.png,电系技能伤害提升\n每个大回合结束时降下落雷砸向场上随机一个目标，造成大量伤害（电系精灵有几率吸收该伤害），非电系精灵有几率被【麻痹】,電屬性招式傷害提升\n每個大回合結束時降下落雷砸向場上隨機一個目標，造成大量傷害（電屬性寶可夢有機率吸收該傷害），非電屬性寶可夢有機率被【麻痺】,"Electric-type move damage is increased\nAt the end of each major round, a lightning bolt strikes a random target on the field, dealing massive damage (Electric-type Pokémon have a chance to absorb this damage), non-Electric-type Pokémon have a chance to be [Paralyzed].","Sát thương của các chiêu thức hệ Điện tăng\nVào cuối mỗi vòng đấu lớn, một tia sét sẽ đánh xuống một mục tiêu ngẫu nhiên trên sân, gây sát thương lớn (Pokémon hệ Điện có cơ hội hấp thụ sát thương này), Pokémon không phải hệ Điện có cơ hội bị [Tê liệt].",전기타입 기술 대미지 증가\n각 큰 턴이 끝날 때 필드 위의 무작위 대상에게 낙뢰가 떨어져 큰 대미지를 줍니다 (전기타입 포켓몬은 이 대미지를 흡수할 확률이 있음). 전기타입이 아닌 포켓몬은 [마비]에 걸릴 확률이 있습니다.,"O dano de movimentos do tipo Elétrico aumenta\nNo final de cada rodada principal, um raio atinge um alvo aleatório no campo, causando dano massivo (Pokémon do tipo Elétrico têm chance de absorver este dano), Pokémon que não são do tipo Elétrico têm chance de ficarem [Paralisados].",ความเสียหายของท่าประเภทไฟฟ้าเพิ่มขึ้น\nเมื่อสิ้นสุดแต่ละรอบใหญ่ จะมีสายฟ้าฟาดลงมาที่เป้าหมายแบบสุ่มในสนาม สร้างความเสียหายจำนวนมาก (โปเกมอนประเภทไฟฟ้ามีโอกาสดูดซับความเสียหายนี้) โปเกมอนที่ไม่ใช่ประเภทไฟฟ้ามีโอกาสติดสถานะ [อัมพาต],weather/leiyu.skel,4,99,,<{skillPower=10%};{skillPower=-10%}>,,
3,3,雪天,雪天,Snow,Trời tuyết,눈,Neve,หิมะตก,battle/weather_icon/icon_xuetian.png,冰系精灵双防提升\n所有非冰系精灵每个大回合结束时受到一定冰元素伤害，并有几率被【冰冻】,冰屬性寶可夢雙防提升\n所有非冰屬性寶可夢每個大回合結束時受到一定冰元素傷害，並有機率被【冰凍】,"Ice-type Pokémon's P.DEF and SP.DEF are increased\nAt the end of each major round, all non-Ice-type Pokémon take a certain amount of Ice elemental damage and have a chance to be [Frozen].","Phòng thủ Vật lý và Đặc biệt của Pokémon hệ Băng tăng\nVào cuối mỗi vòng đấu lớn, tất cả Pokémon không phải hệ Băng sẽ nhận một lượng sát thương nguyên tố Băng nhất định và có cơ hội bị [Đóng băng].","얼음타입 포켓몬 방어 및 특수방어 증가\n모든 얼음타입이 아닌 포켓몬은 각 큰 턴이 끝날 때 일정량의 얼음 속성 대미지를 받으며, [얼음] 상태에 걸릴 확률이 있습니다.","A DEF.F e a DEF.E de Pokémon do tipo Gelo aumentam\nNo final de cada rodada principal, todos os Pokémon que não são do tipo Gelo recebem uma certa quantidade de dano elemental de Gelo e têm chance de serem [Congelados].",พลังป้องกันและพลังป้องกันพิเศษของโปเกมอนประเภทน้ำแข็งเพิ่มขึ้น\nเมื่อสิ้นสุดแต่ละรอบใหญ่ โปเกมอนที่ไม่ใช่ประเภทน้ำแข็งทั้งหมดจะได้รับความเสียหายธาตุน้ำแข็งจำนวนหนึ่ง และมีโอกาสติดสถานะ [แช่แข็ง],weather/xuehua.skel,4,99,,,<<990001>>,<<{buffProb=1;buffValue=-target:hpMax()*0.1;buffLifeRound=4}>>
4,4,沙暴,沙暴,Sandstorm,Bão cát,모래바람,Tempestade de areia,พายุทราย,battle/weather_icon/icon_shabao.png,岩石系精灵物防提升\n所有非地面和岩石精灵每个大回合结束时有几率被【致盲】,岩石屬性寶可夢物防提升\n所有非地面和岩石屬性寶可夢每個大回合結束時有機率被【致盲】,"Rock-type Pokémon's P.DEF is increased\nAt the end of each major round, all non-Ground and non-Rock-type Pokémon have a chance to be [Blinded].","Phòng thủ Vật lý của Pokémon hệ Đá tăng\nVào cuối mỗi vòng đấu lớn, tất cả Pokémon không phải hệ Đất và Đá có cơ hội bị [Mù].",바위타입 포켓몬 방어 증가\n모든 땅 및 바위타입이 아닌 포켓몬은 각 큰 턴이 끝날 때 [실명]에 걸릴 확률이 있습니다.,"A DEF.F de Pokémon do tipo Pedra aumenta\nNo final de cada rodada principal, todos os Pokémon que não são do tipo Terrestre ou Pedra têm chance de ficarem [Cegos].",พลังป้องกันของโปเกมอนประเภทหินเพิ่มขึ้น\nเมื่อสิ้นสุดแต่ละรอบใหญ่ โปเกมอนที่ไม่ใช่ประเภทดินและหินทั้งหมดมีโอกาสติดสถานะ [ตาบอด],weather/shachen.skel,4,99,,,<<990002>;<990003>>,<<{buffProb=1;buffValue=-target:hpMax()*0.15;buffLifeRound=4}>;<{buffProb=1;buffValue=target:specialDefence()*0.45;buffLifeRound=4}>>
5,5,乱流,亂流,Strong Winds,Gió mạnh,난기류,Ventos Fortes,สภาพอากาศแปรปรวน,battle/weather_icon/icon_luanliu.png,飞行系精灵速度提升\n每个大回合结束每个精灵有几率被【吹飞】，非飞行系精灵落地时会损失一定生命值,飛行屬性寶可夢速度提升\n每個大回合結束時每個寶可夢有機率被【吹飛】，非飛行屬性寶可夢落地時會損失一定生命值,"Flying-type Pokémon's Speed is increased\nAt the end of each major round, each Pokémon has a chance to be [Blown Away]. Non-Flying-type Pokémon will lose a certain amount of HP upon landing.","Tốc độ của Pokémon hệ Bay tăng\nVào cuối mỗi vòng đấu lớn, mỗi Pokémon có cơ hội bị [Thổi bay]. Pokémon không phải hệ Bay sẽ mất một lượng Máu nhất định khi tiếp đất.",비행타입 포켓몬 속도 증가\n각 큰 턴이 끝날 때 각 포켓몬은 [날려버리기]에 당할 확률이 있습니다. 비행타입이 아닌 포켓몬은 착지 시 일정량의 체력을 잃습니다.,"A Velocidade de Pokémon do tipo Voador aumenta\nNo final de cada rodada principal, cada Pokémon tem a chance de ser [Arremessado para Longe]. Pokémon que não são do tipo Voador perdem uma certa quantidade de HP ao aterrissar.",ความเร็วของโปเกมอนประเภทบินเพิ่มขึ้น\nเมื่อสิ้นสุดแต่ละรอบใหญ่ โปเกมอนแต่ละตัวมีโอกาสถูก [พัดปลิว] โปเกมอนที่ไม่ใช่ประเภทบินจะสูญเสียพลังชีวิตจำนวนหนึ่งเมื่อตกลงมา,weather/luanliu.skel,10,99,,<{skillPower=10%};{skillPower=-10%}>,,
6,6,大日照,大日照,Harsh Sunlight,Nắng gắt,강한 햇살,Luz Solar Intensa,สภาพแดดจัดจ้า,battle/weather_icon/icon_darizhao.png,火系精灵伤害提升；水系精灵伤害降低\n全体获得【太阳之力】（每回合损失一定生命，伤害提升，可叠加）,火屬性寶可夢傷害提升；水屬性寶可夢傷害降低\n全體獲得【太陽之力】（每回合損失一定生命，傷害提升，可疊加）,"Fire-type Pokémon's damage is increased; Water-type Pokémon's damage is reduced\nAll Pokémon gain [Solar Power] (lose a certain amount of HP each turn, damage is increased, stackable).","Sát thương của Pokémon hệ Lửa tăng; sát thương của Pokémon hệ Nước giảm\nTất cả nhận được [Năng lượng Mặt trời] (mất một lượng Máu nhất định mỗi lượt, sát thương tăng, có thể cộng dồn).","불꽃타입 포켓몬 대미지 증가; 물타입 포켓몬 대미지 감소\n모두가 [선파워] 효과를 얻습니다 (매 턴 일정량의 체력을 잃고, 대미지가 증가하며, 중첩 가능).","O dano de Pokémon do tipo Fogo aumenta; o dano de Pokémon do tipo Água diminui\nTodos ganham [Poder Solar] (perdem uma certa quantidade de HP a cada turno, o dano aumenta, acumulável).","ความเสียหายของโปเกมอนประเภทไฟเพิ่มขึ้น; ความเสียหายของโปเกมอนประเภทน้ำลดลง\nทั้งหมดได้รับ [พลังสุริยะ] (เสียพลังชีวิตจำนวนหนึ่งในแต่ละเทิร์น, ความเสียหายเพิ่มขึ้น, สามารถซ้อนทับได้)",weather/darizhao.skel,10,99,,<{skillPower=10%};{skillPower=-10%}>,,
7,7,浓雾,濃霧,Heavy Fog,Sương mù dày đặc,짙은 안개,Neblina Densa,หมอกหนา,battle/weather_icon/icon_duoyun.png,全体降低大量命中率,全體降低大量命中率,Greatly reduces the Accuracy of all Pokémon.,Giảm mạnh tỷ lệ Chính xác của tất cả Pokémon.,모두의 명중률 대폭 감소.,Reduz drasticamente a Precisão de todos os Pokémon.,ลดความแม่นยำของทั้งหมดลงอย่างมาก,weather/nongwu.skel,10,99,,,<<990001>>,<<{buffProb=1;buffValue=-target:hpMax()*0.1;buffLifeRound=10}>>
8,8,黑夜,黑夜,Night,Đêm tối,밤,Noite,กลางคืน,battle/weather_icon/icon_yewan.png,非幽灵、恶系精灵伤害降低；\n幽灵系精灵免疫特攻伤害；\n恶系精灵必杀抗性大幅提升,非幽靈、惡屬性寶可夢傷害降低；\n幽靈屬性寶可夢免疫特攻傷害；\n惡屬性寶可夢必殺抗性大幅提升,Damage from non-Ghost and non-Dark-type Pokémon is reduced;\nGhost-type Pokémon are immune to Special Attack damage;\nDark-type Pokémon's Critical Hit resistance is greatly increased.,Sát thương từ Pokémon không phải hệ Ma và Bóng tối giảm;\nPokémon hệ Ma miễn nhiễm với sát thương Tấn công Đặc biệt;\nKhả năng kháng Chí mạng của Pokémon hệ Bóng tối tăng mạnh.,고스트 및 악타입이 아닌 포켓몬의 대미지 감소;\n고스트타입 포켓몬은 특수공격 대미지에 면역;\n악타입 포켓몬의 치명타 저항력 대폭 증가.,O dano de Pokémon que não são do tipo Fantasma e Sombrio é reduzido;\nPokémon do tipo Fantasma são imunes a dano de Ataque Especial;\nA resistência a Acerto Crítico de Pokémon do tipo Sombrio aumenta drasticamente.,ความเสียหายจากโปเกมอนที่ไม่ใช่ประเภทผีและประเภทความมืดลดลง;\nโปเกมอนประเภทผีจะไม่มีผลต่อความเสียหายจากการโจมตีพิเศษ;\nความต้านทานคริติคอลของโปเกมอนประเภทความมืดเพิ่มขึ้นอย่างมาก,weather/yewan.skel,10,99,,,<<990002>;<990003>>,<<{buffProb=1;buffValue=-target:hpMax()*0.15;buffLifeRound=10}>;<{buffProb=1;buffValue=target:specialDefence()*0.45;buffLifeRound=10}>>
