变量名,name,name_tw,name_en,name_vn,name_kr,name_pt,name_th,desc,desc_tw,desc_en,desc_vn,desc_th,cards,equipID,skinID,attrMap
默认值,,"""""","""""","""""","""""","""""","""""",,"""""","""""","""""","""""",<>,,,{}
签到id,名称,名稱,名称,名称,名称_韩,名称_韩,名称_韩,描述,描述,描述,描述,描述,关联卡牌id修正(这里程序用的是卡牌id，如果初始形态被删除，需要修改这里的id，需要程序优化),关联装备,关联皮肤,属性提升修正
11,草之誓约,草之誓約,Grass Pledge,Lời thề của cỏ,풀의 맹세,Juramento da Grama,คำสาบานแห่งหญ้า,,,,,,<281;2301;371>,,,{7=10%;8=10%}
12,森林意志,森林意志,Forest Will,Ý chí của Rừng,숲의 의지,Vontade da Floresta,ฟอเรสต์วิลล์,,,,,,<781;1291;2011>,,,{1=10%}
13,冒险同伴,冒險同伴,Adventure Partner,Những người bạn đồng hành phiêu lưu,모험 동반자,Companheiro de aventura,เพื่อนร่วมผจญภัย,,,,,,<11;21>,,,{7=10%;8=10%}
111,火焰掌控,火焰掌控,Flame Control,Khống chế ngọn lửa,화염 제어,Maestria do Fogo,ความเชี่ยวชาญด้านไฟ,,,,,,<1231;2481;1611>,,,{7=10%;8=10%}
112,炎焰之力,炎焰之力,Power of Fire,Sức mạnh của ngọn lửa,화염의 힘,Poder da Chama,พลังแห่งเปลวไฟ,,,,,,<791;3291;3341>,,,{1=10%}
113,太阳意志,太陽意志,Sun will,Ý chí của mặt trời,태양의 의지,Sol vai,ซันวิลล์,,,,,,<1;21>,,,{7=10%;8=10%}
211,水流力量,水流力量,Force of Current,Sức mạnh của dòng chảy,현재 힘,Força da Água,พลังน้ำ,,,,,,<3471;91;3281>,,,{7=10%;8=10%}
212,水之波动,水之波動,Water Pulse,Gợn sóng nước,물의파동,Ondas de água,คลื่นน้ำ,,,,,,<801;551;631>,,,{1=10%}
213,覆舟之势,覆舟之勢,Overturn,Thế sắp bị lật thuyền; tình huống nguy hiểm,전복,A tendência de virar,แนวโน้มที่จะพลิกคว่ำ,,,,,,<1;11>,,,{7=10%;8=10%}
311,虫虫崛起,蟲蟲崛起,Bug Rising,Sự Trỗi Dậy Của Côn Trùng,버그의 상승,Insetos sobem,แมลงเพิ่มขึ้น,,,,,,<351;71;81>,,,{7=8%;8=8%}
312,森林力量,森林力量,Forest Power,Sức mạnh của rừng,숲의 힘,Poder da Floresta,พลังป่าไม้,,,,,,<41;191;2681>,,,{1=10%}
313,群体情谊,群體情誼,Team Friendship,Tinh thần đoàn kết,그룹 우정,Amizade em grupo,มิตรภาพกลุ่ม,,,,,,<2891;551>,,,{7=8%;8=8%}
411,虫虫崛起,蟲蟲崛起,Bug Rising,Sự trỗi dậy của côn trùng,버그의 상승,Insetos sobem,แมลงเพิ่มขึ้น,,,,,,<31;111;51>,,,{7=8%;8=8%}
412,森林力量,森林力量,Forest Power,Sức mạnh của rừng,숲의 힘,Poder da Floresta,พลังป่าไม้,,,,,,<71;121;351>,,,{1=10%}
413,群体情谊,群體情誼,Team Friendship,Tinh thần đoàn kết,그룹 우정,Amizade em grupo,มิตรภาพกลุ่ม,,,,,,<2891;2681>,,,{7=8%;8=8%}
511,原始组合,原始組合,Original Formation,Kết hợp ban đầu,원래 조합,Combinação original,การผสมผสานดั้งเดิม,,,,,,<281;91;271>,,,{7=10%;8=10%}
512,守护情谊,守護情誼,Protect the relationship,Bảo vệ tình bạn,후견,Protegendo a amizade,การปกป้องมิตรภาพ,,,,,,<471;1441;191>,,,{1=10%}
513,觉醒力量,覺醒力量,Awakening power,Sức mạnh thức tỉnh,각성 력,Despertar o Poder,พลังแห่งการตื่นรู้,,,,,,<131;301;891>,,,{7=10%;8=10%}
611,原始组合,原始組合,Original Formation,Kết hợp ban đầu,원래 조합,Combinação original,การผสมผสานดั้งเดิม,,,,,,<231;461;691>,,,{7=8%;8=8%}
612,守护情谊,守護情誼,Protect the relationship,Bảo vệ tình bạn,후견,Protegendo a amizade,การปกป้องมิตรภาพ,,,,,,<351;1441;271>,,,{1=10%}
