变量名,_beizhu,_comment,stage,specialName,startSceen,startLevel,startGate,extendCondition,order,service,award,awardChoose,showAward,gotoScene,gotoStep,outDelay,showType,force,useRoleFigure,unitId,offPos,headRes,headPos,roleName,roleName_tw,roleName_en,roleName_kr,roleName_vn,roleName_pt,roleName_th,talkContent,talkContent_tw,talkContent_en,talkContent_vn,talkContent_kr,talkContent_pt,talkContent_th,bgRes,__tagName,tagName,jumpToNode,animate,animateAngle,animatePos,battleEnter,anyPosCancel,lightSize,chooseDesc1,choose1,chooseDesc2,choose2
默认值,,,,,,1,0,,0,0,,,FALSE,0,,,1,1,,,,,,"""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",,,<>,,,0,,,FALSE,,,,,
ID,_备注id,_注释（这里只是界面引导，战斗内引导另外配置）,所属阶段(-1:完成新手战斗，-2:主城点15下跳过引导),名称(特殊非正常引导触发),打开该场景/界面时触发，默认主城触发（all为对应战斗胜利，升级，主城等界面触发）,起始等级,触发关卡,补充条件（公式可扩展）,排序（多个stage满足，小的越先触发）,服务器交互(1、记录引导；3、进关卡记录引导，战斗返回继续引导),默默塞奖励,默默塞和初始选择卡牌相关的奖励,客户端显示奖励,1主城2关卡界面(每条引导最后触发),跳转步骤（该stage的最后一条配置生效）,出来延时,表现样式（1、引导员，2剧情对话，3、空白）,角色位置在 1左 2右（通用设置）,使用角色形象配置<id;字段> id 0 为主角形象（样式2）,unitID（样式2）,对话角色额外偏移位置（样式2）,头像资源（样式1，特殊用于样式2）,头像额外偏移位置，初始为工程位置（样式1）,角色名称（样式1，特殊用于样式2）,角色名称（样式1，特殊用于样式2）,角色名称（样式1，特殊用于样式2）,角色名称（样式1，特殊用于样式2）_韩,角色名称（样式1，特殊用于样式2）_韩,角色名称（样式1，特殊用于样式2）_韩,角色名称（样式1，特殊用于样式2）_韩,聊天内容（富文本配置）（通用设置）,聊天内容（富文本配置）（通用设置）,聊天内容（富文本配置）（通用设置）,聊天内容（富文本配置）（通用设置）_越南,聊天内容（富文本配置）（通用设置）_韩,聊天内容（富文本配置）（通用设置）_韩,聊天内容（富文本配置）（通用设置）_韩,显示指定背景图（样式2）,要点击的控件名称（样式1）,要点击的控件名称（样式1）,跳到目标节点（需要程序逻辑增加）,动画文件（样式1）,动画的角度（样式1）,动画额外偏移位置（样式1）,强制上阵,任意位置取消（样式1）,明亮的地方（样式1）,选项文本1（样式1）,对应功能（样式1）,选项文本2（样式1）,对应功能（样式1）
,,demo,0,,city.view,,10101,,,1,{gold=10},{1={gold=5};11={gold=6};21={gold=7},,10102,11,0.5,,,<3;resAct>,1,{x=0;y=0},config/big_role/act/img_role_3@.png,{x=0;y=0},XXXX博士,XXXX博士,Dr.XXX,XXXX 박사,Tiến sĩ XXXX,Dr. XXXX,ดร. XXXX,你好,你好,Hello there,Xin chào,반갑구나!,Olá,สวัสดี,,,<panel; icon; arena>,,effect/shouyindao.skel,90,{x=0;y=0},{3=91},TRUE,{width=6240;height=2880;dx=0;dy=0},否,,是,arena
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,名字形象,1,nameAndFigure,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,选择初始卡牌,2,chooseCard,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,11,名字形象-前言,3,nameAndFigureBefore,,,,not finish(1),1,,,,,,,,2,2,<32>,,,,,,,,,,,,你好啊，新来的训练家，欢迎来到这个神奇的世界。,你好啊，新來的訓練家，歡迎來到這個神奇的世界。,"Hello, new trainer, welcome to this magical world.","Chào bạn, nhà huấn luyện viên mới! Chào mừng đến với thế giới kỳ diệu này.","""신참 트레이너, 포켓몬의 세계에 온 것을 환영한다!""","Olá, novo Treinador! Bem-vindo a este mundo maravilhoso.",สวัสดีครับ/ค่ะ ผู้ฝึกฝนมือใหม่ ยินดีต้อนรับสู่โลกอันน่ามหัศจรรย์นี้,,,,,,,,,,,,,,
12,12,名字形象-前言,3,,,,,,,,,,,,,,2,2,<32>,,,,,,,,,,,,这里的人们喜欢叫我大木博士，我负责指引你进入这个神奇的世界。,這裡的人們喜歡叫我大木博士，我負責指引你進入這個神奇的世界。,People here like to call me Professor Oak. I'll be guiding you into this magical world.,Mọi người ở đây thường gọi tôi là Giáo sư Oak. Tôi sẽ hướng dẫn bạn đến với thế giới kỳ diệu này.,이곳 사람들은 날 오박사라고 부르지. 난 너를 이 신비한 세계로 안내하는 일을 맡을 거란다.,As pessoas aqui gostam de me chamar de Professor Carvalho. Eu estou aqui para guiá-lo neste mundo maravilhoso.,คนแถวนี้ชอบเรียกผมว่าศาสตราจารย์โอ๊ค ผมจะนำทางคุณสู่โลกอันมหัศจรรย์นี้,,,,,,,,,,,,,,
13,13,名字形象-前言,3,,,,,,,,,,,,,,2,2,<32>,,,,,,,,,,,,对了，你刚来，我还不知道你叫啥呢，告诉我下你的名字吧。,對了，你剛來，我還不知道你叫啥呢，告訴我下你的名字吧。,"By the way, please tell me your name. I still don't know your name yet, since you've just arrived. ","À đúng rồi, bạn mới đến, mình vẫn chưa biết tên bạn là gì. Nói cho mình biết tên bạn nhé.","""참, 그러고 보니 아직 네 이름도 듣지 못했구나.""","Ah, aliás, você acabou de chegar e eu ainda não sei seu nome. Me diga seu nome.",อ้อ ที่จริงแล้ว คุณเพิ่งมาถึง ฉันยังไม่รู้จักชื่อคุณเลย บอกชื่อของคุณให้ฉันรู้หน่อยสิ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,21,选择初始卡牌-前言,4,chooseCardBefore,,,,finish(1) and not finish(2),2,,,,,,,,2,2,<32>,,,,,,,,,,,,听起来是个不错的名字呢，我在你身上仿佛看到了你成为神奇宝贝大师的未来呢。,聽起來是個不錯的名字呢，我在你身上仿佛看到了你成為神奇寶貝大師的未來呢。,"Sounds like a good name, I seem to be able to see your future as a Pokémon master!",Nghe có vẻ là một cái tên hay đấy. Tớ cảm thấy như mình nhìn thấy tương lai cậu sẽ trở thành một bậc thầy Pokémon.,좋은 이름이로구나. 왠지 네가 장차 포켓몬 마스터가 될 수 있을 것 같다는 느낌이 드는걸.,Parece um ótimo nome. Eu consigo ver você se tornando um Mestre Pokémon no seu futuro.,ฟังดูเป็นชื่อที่ดีนะ ฉันเหมือนเห็นอนาคตที่เธอจะได้เป็นโปเกมอนมาสเตอร์เลย,,,,,,,,,,,,,,
22,22,选择初始卡牌-前言,4,,,,,,,,,,,,,,2,1,<0>,,,,,,,,,,,,我会一直努力的！,我會一直努力的！,I'll keep trying my best!,Tôi sẽ luôn cố gắng!,최선을 다할게요!,Vou continuar a trabalhar duro!,ฉันจะพยายามอย่างหนักต่อไป!,,,,,,,,,,,,,,
23,23,选择初始卡牌-前言,4,,,,,,,,,,,,,,2,2,<32>,,,,,,,,,,,,嗯，很好，很好，希望你能够通过对战、收服，成为一代大师呢。,嗯，很好，很好，希望你能夠通過對戰、收服，成為一代大師呢。,"Well, well, well. I hope you can become a master of the generation through fighting and catching Pokémons.","Ừm, tốt, tốt, hi vọng bạn có thể trở thành một bậc thầy huấn luyện viên thông qua chiến đấu và thu phục Pokémon.","""그래, 아주 좋아. 부디 다양한 대결과 포획을 통해 뛰어난 트레이너가 될 수 있길 바란다.""","Bem, bom, bom. Espero que você consiga se tornar um mestre treinador através de batalhas e capturas de Pokémon.",อืม ดีมาก ดีมาก หวังว่าคุณจะสามารถเป็นเทรนเนอร์ระดับปรมาจารย์ได้ด้วยการต่อสู้และจับโปเกมอน,,,,,,,,,,,,,,
