变量名,name,name_tw,name_en,name_vn,name_kr,name_pt,name_th,type,showType,sortVal,totalCount,totalVal,date,conditionType,conditionNum,tipText,tipText_tw,tipText_en,tipText_vn,tipText_kr,tipText_pt,tipText_th,goto
默认值,"""""","""""","""""","""""","""""","""""","""""",1,1,,10,{gold=60000},7,1,1,"""""","""""","""""","""""","""""","""""","""""",
ID,描述,描述,描述,描述,描述,描述,描述,循环类型(1-一次性;2-循环3-每天一次),红包外观表现,排序价值,个数,价值,有效期-指获取后可发放的时间,成就红包的数值来源,数值限制,飘字提示-与跳转二选一填,描述,描述,描述,描述,描述,描述,前往跳转
,,,,,,,,,,,,,,,,,,,,,,,
1,竞技场结算称冠,競技場結算稱冠,Winner of the arena,Vô Địch Đấu Trường,아레나 결산 우승,Vencedor da arena,ผู้ชนะแห่งสนามประลอง,1,2,30,10,{rmb=100},7,44,1,需要竞技场结算第一名,需要競技場結算第一名,Requires trainer to attain Rank 1 in Arena,Yêu cầu huấn luyện viên đạt Hạng 1 trong Đấu Trường,아레나 결산 1위 필요,Requer que o treinador atinja o Rank 1 na Arena,จำเป็นต้องมีเทรนเนอร์ถึงจะได้อันดับ 1 ใน Arena,
2,战力冲刺达到5000,戰力衝刺達到5000,Combat power rush to 5000,Lực chiến đạt 5000,전투력 5000 달성,Aumento do poder de combate para 5000,"พลังการต่อสู้พุ่งถึง 5,000",1,1,14,10,{gold=50000},7,97,5000,需要战斗力到达5000,需要戰鬥力到達5000,Requires combat power to reach 5000,Yêu cầu lực chiến đạt 5000,전투력 5000 달성 필요,Requer poder de combate para atingir 5000,"ต้องมีพลังต่อสู้ถึง 5,000",
3,战力冲刺达到10000,戰力衝刺達到10000,Combat power rush to 10000,Lực chiến đạt 10000,전투력 10000 달성,Aumento do poder de combate para 10000,"พลังการต่อสู้พุ่งถึง 10,000",1,1,15,10,{gold=75000},7,97,10000,需要战斗力到达10000,需要戰鬥力到達10000,Requires combat power to reach 10000,Yêu cầu lực chiến đạt 10000,전투력 10000 달성 필요,Requer poder de combate para atingir 10000,"ต้องใช้พลังต่อสู้ถึง 10,000",
4,战力冲刺达到30000,戰力衝刺達到30000,Combat power rush to 30000,Lực chiến đạt 30000,전투력 30000 달성,Aumento do poder de combate para 30000,"พลังการต่อสู้พุ่งถึง 30,000",1,1,16,10,{gold=200000},7,97,30000,需要战斗力到达30000,需要戰鬥力到達30000,Requires combat power to reach 30000,Yêu cầu lực chiến đạt 30000,전투력 30000 달성 필요,Requer poder de combate para atingir 30000,"ต้องมีพลังต่อสู้ถึง 30,000",
5,战力冲刺达到50000,戰力衝刺達到50000,Combat power rush to 50000,Lực chiến đạt 50000,전투력 50000 달성,Aumento do poder de combate para 50000,"พลังการต่อสู้พุ่งถึง 50,000",1,1,17,10,{gold=300000},7,97,50000,需要战斗力到达50000,需要戰鬥力到達50000,Requires combat power to reach 50000,Yêu cầu lực chiến đạt 50000,전투력 50000 달성 필요,Requer poder de combate para atingir 50000,"ต้องมีพลังต่อสู้ถึง 50,000",
6,战力冲刺达到75000,戰力衝刺達到75000,Combat power rush to 75000,Lực chiến đạt 75000,전투력 75000 달성,Aumento do poder de combate para 75000,พลังการต่อสู้พุ่งถึง 75000,1,1,18,10,{gold=500000},7,97,75000,需要战斗力到达75000,需要戰鬥力到達75000,Requires combat power to reach 75000,Yêu cầu lực chiến đạt 75000,전투력 75000 달성 필요,Requer poder de combate para atingir 75000,ต้องมีพลังต่อสู้ถึง 75000,
7,战力冲刺达到100000,戰力衝刺達到100000,Combat power rush to 100000,Lực chiến đạt 100000,전투력 100000 달성,Aumento do poder de combate para 100000,"พลังการต่อสู้พุ่งถึง 100,000",1,1,19,10,{gold=500000},7,97,100000,需要战斗力到达100000,需要戰鬥力到達100000,Requires combat power to reach 100000,Yêu cầu lực chiến đạt 100000,전투력 100000 달성 필요,Requer poder de combate para atingir 100000,"ต้องมีพลังต่อสู้ถึง 100,000",
