变量名,name,_name,name_tw,name_en,name_vn,name_kr,name_pt,name_th,_name,desc,desc_tw,desc_en,desc_vn,desc_kr,desc_pt,desc_th,unitIDs,activeType,skinFrameRes,markID,attrAddType,attrType1,attrNum1,attrType2,attrNum2,attrType3,attrNum3,attrType4,attrNum4,rank,costMap,extraItem,isOpen,languages
默认值,"""""",,"""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",{},2,common/icon/panel_card_7.png,0,1,0,"""""",0,"""""",0,"""""",0,"""""",1,{},{},FALSE,<cn;tw;en;vn;th;kr;pt>
ID,名字,备注,名字,名字,名字,名字,名字,名字,精灵,描述,描述,描述,描述,描述,描述,描述,皮肤对应的unitID{cardID=unitID},激活类型(1-进化激活;2-道具激活),皮肤框资源路径,精灵markID,附加属性类型(1-相同markID的精灵;2-所有精灵),属性类型1,属性数值1,属性类型2,属性数值2,属性类型3,属性数值3,属性类型4,属性数值4,排序(数字越大 排序靠后),解锁消耗,购买附赠品,是否开放,语言区域
101,Christmas Phantom,圣诞魔影,聖誕魔影,Christmas Phantom,Ảo ảnh Giáng sinh,크리스마스 판타즘,Fantasma de Natal,ภูตคริสต์มาส,,皮肤礼盒,可通過參與活動獲得,Obtain from time-limited event,Nhận được từ sự kiện giới hạn thời gian,기간 한정 이벤트에서 획득,Obtenha em evento por tempo limitado,รับจากกิจกรรมจำกัดเวล,{3021=3022},2,city/drawcard/draw/panel_card_h.png,3021,1,9,3%,10,3%,0,,0,,1,{},{},TRUE,
102,Ice Snow Princess,冰雪公主,冰雪公主,Ice Snow Princess,Công chúa Băng Tuyết,얼음 눈의 공주,Princesa da Neve,เจ้าหญิงน้ำแข็ง,,皮肤礼盒,可通過參與活動獲得,Obtain from time-limited event,Nhận được từ sự kiện giới hạn thời gian,기간 한정 이벤트에서 획득,Obtenha em evento por tempo limitado,รับจากกิจกรรมจำกัดเวล,{3631=3632},2,city/drawcard/draw/panel_card_c.png,3631,1,16,300,9,5%,10,5%,0,,1,{},{},TRUE,
103,Power of Unbound,封印之力,封印之力,Power of Unbound,Sức mạnh Không giới hạn,해방의 힘,Poder sem Limites,พลังไร้ขอบเขต,,皮肤礼盒,可通過參與活動獲得,Obtain from time-limited event,Nhận được từ sự kiện giới hạn thời gian,기간 한정 이벤트에서 획득,Obtenha em evento por tempo limitado,รับจากกิจกรรมจำกัดเวล,{3642=3643},2,city/drawcard/draw/panel_card_c.png,3641,1,0,,0,,0,,0,,1,{rmb=998},{},TRUE,
104,Heart-stealing Phantom,偷心怪盗,偷心怪盜,Heart-stealing Phantom,Ảo ảnh Trộm tim,마음을 훔치는 유령,Fantasma que Rouba Corações,ภูตที่ขโมยหัวใจ,,皮肤礼盒,可通過參與活動獲得,Obtain from time-limited event,Nhận được từ sự kiện giới hạn thời gian,기간 한정 이벤트에서 획득,Obtenha em evento por tempo limitado,รับจากกิจกรรมจำกัดเวล,{2431=2432},2,city/drawcard/draw/panel_card_c.png,2431,1,8,5%,22,300,0,,0,,1,{},{},TRUE,
105,Street Boxer,街头拳手,街頭拳手,Street Boxer,Võ sĩ Đường phố,스트리트 복서,Boxeador de Rua,นักมวยข้างถนน,,皮肤礼盒,可通過參與活動獲得,Obtain from time-limited event,Nhận được từ sự kiện giới hạn thời gian,기간 한정 이벤트에서 획득,Obtenha em evento por tempo limitado,รับจากกิจกรรมจำกัดเวล,{572=573;574=575},2,city/drawcard/draw/panel_card_h.png,571,1,7,2%,14,100,0,,0,,1,{},{},TRUE,
106,Fish-Dragon Night Dance,鱼龙夜舞,魚龍夜舞,Fish-Dragon Night Dance,Điệu múa Đêm Rồng Cá,어룡의 밤 춤,Dança Noturna do Dragão-Peixe,ระบำมังกรปลาแห่งราตรี,,皮肤礼盒,可通過參與活動獲得,Obtain from time-limited event,Nhận được từ sự kiện giới hạn thời gian,기간 한정 이벤트에서 획득,Obtenha em evento por tempo limitado,รับจากกิจกรรมจำกัดเวล,{1393=1395;1396=1397},2,city/drawcard/draw/panel_card_h.png,1391,1,8,2%,24,100,0,,0,,1,{},{},TRUE,
107,Guardian Perseverance,守卫恒心,守衛恆心,Guardian Perseverance,Người bảo hộ Kiên trì,수호자의 인내,Perseverança do Guardião,ผู้พิทักษ์ผู้มุ่งมั่น,,皮肤礼盒,可通過參與活動獲得,Obtain from time-limited event,Nhận được từ sự kiện giới hạn thời gian,기간 한정 이벤트에서 획득,Obtenha em evento por tempo limitado,รับจากกิจกรรมจำกัดเวล,{4172=4173},2,city/drawcard/draw/panel_card_c.png,4171,1,0,,0,,0,,0,,1,{rmb=998},{},TRUE,
108,Eastern Spirit,西域魔灵,西域魔靈,Eastern Spirit,Tinh thần Phương Đông,동방의 정신,Espírito Oriental,จิตวิญญาณตะวันออก,,皮肤礼盒,可通過參與活動獲得,Obtain from time-limited event,Nhận được từ sự kiện giới hạn thời gian,기간 한정 이벤트에서 획득,Obtenha em evento por tempo limitado,รับจากกิจกรรมจำกัดเวล,{3642=3644},2,city/drawcard/draw/panel_card_c.png,3641,1,1,5%,24,300,0,,0,,1,{},{},TRUE,
