变量名,name,_beizhu,name_tw,name_en,name_vn,name_kr,name_pt,name_th,showType,res,icon,desc,desc_tw,desc_en,desc_vn,desc_kr,desc_pt,desc_th,scale,type,probability,point,length,big,operateTimePointUp,award,bait,needLv,scene,randType,weight,crossFishingWeight,weightMin,weightMax,weekMax,priority,maxWinTimes,overDeal,rare,speed,escape,randMove,deadTime,time,bookId,competitionSpeed,competitionEscape,competitionRandMove
默认值,"""""","""""","""""","""""","""""","""""","""""","""""",pic,"""""","""""","""""","""""","""""","""""","""""","""""","""""",1,1,0,0,<>,0,<>,{},<>,0,<>,1,0,0,-1,-1,-1,0,-1,1,0,0,0,<>,0,<>,0,0,0,<>
ID,描述,名字,描述,描述,描述,描述,描述,描述,res显示类型(pic、spine),资源,图标,描述,描述,描述,描述,描述,描述,描述,钓鱼成功界面鱼图标缩放,类型(1普通鱼类、2精灵、3箱子),基准概率,积分价值,长度,大鱼长度,钓鱼大赛操作时间段内的积分加成<<下限a;上限a;加成a>;<下限b;上限b;加成b>>，上下限单位为秒，加成为小数,钓鱼奖励,需要鱼饵,需要钓鱼等级,出现在什么水域,权值计算方式；1：配置权值，2：累加权值,权值,钓鱼大赛权值,权值下限,权值上限,周限制出现次数,优先级,最大成功次数,被更高优先级顶掉以后怎么处理，1.保留权值，下一次必定触发 2.清空权值 3.权值-20%,鱼类稀有度,鱼和钩重合时的进度基准速度,不重合时逃跑的基准速度,随机游动范围,每次移动后的等待时间,咬钩固定等待时间,图鉴是否显示(0不显示),鱼和钩重合时的进度基准速度(大赛),不重合时逃跑的基准速度(大赛),随机游动范围(大赛)
1,鲤鱼王,,鯉魚王,Magikarp,Magikarp,잉어킹,Magikarp,มณีกาพ,,config/big_hero/standby/img_129_lyw@.png,config/portrait/jinglingtouxiang/img_129_lyw@.png,光是跳就会满足，不过战斗极其弱小，但却在无论多脏的水里都能住下去的顽强的宝可梦。,光是跳就會滿足，不過戰鬥極其弱小，但卻在無論多髒的水裡都能住下去的頑強的寶可夢。,"Just jumping will be enough, extremely weak in battle, but it is the most tenacious Pokémon can live in the water no matter how dirty.","Chỉ cần nhảy là đủ, cực kỳ yếu trong chiến đấu, nhưng nó là Pokémon ngoan cường nhất có thể sống trong nước dù bẩn đến đâu.",뛰기만 해도 만족하다. 전투력이 워낙 약하지만 어무리 더러운 물에서 잘 살 수 있는 포켓몬.,"Só pular já será o suficiente, é extremamente fraco em batalha, mas é o Pokémon mais tenaz que consegue viver na água, não importa o quão suja ela esteja.",แค่กระโดดก็เพียงพอแล้ว แม้จะอ่อนแอมากในการต่อสู้ แต่ก็เป็นโปเกมอนที่ดื้อรั้นที่สุดที่สามารถอาศัยอยู่ในน้ำได้ ไม่ว่าจะสกปรกแค่ไหนก็ตาม,1.4,,0.8,100,<80;120>,110,<<2;5;0.5>;<5;8;0.2>;<8;13;0.1>>,{libs=<601;611;621>},,,<1;999>,,60,200,,,,,,,1,17,13,<19;24>,1,<5;10>,1,17,14,<27;44>
2,角金鱼,,角金魚,Goldeen,Goldeen,콘치,Dourado,โกลเด้น,,config/big_hero/standby/img_118_jjy@.png,config/portrait/jinglingtouxiang/img_118_jjy@.png,被放入水箱的话，就算是厚厚的玻璃也要用角撞破逃走。,被放入水箱的話，就算是厚厚的玻璃也要用角撞破逃走。,"When putting it into a water tank, even a thick glass can not prevent it to use horn to break and flee.","Khi đặt nó vào bể nước, ngay cả kính dày cũng không thể ngăn nó dùng sừng để phá vỡ và bỏ trốn.",물탱크에 넣으면 아주 두꺼운 유리라도 뿔로 부딪혀 부수고 도망한다.,"Ao colocá-lo em um tanque de água, mesmo um vidro grosso não pode evitar que ele use chifre para quebrar e fugir.",เมื่อใส่ลงในถังน้ำแม้จะเป็นแก้วหนาก็ไม่สามารถป้องกันไม่ให้น้ำเกิดการแตกและไหลออกไปได้,1.3,,0.8,100,<60;90>,80,<<2;5;0.5>;<5;8;0.2>;<8;13;0.1>>,{libs=<601;611;621>},,,<1>,,300,,,,,,,,1,17,13,<19;24>,1,<5;10>,1,17,14,<27;44>
3,丑丑鱼,,醜醜魚,Feebas,Feebas,빈티나,Feebas,ฟีบาส,,config/big_hero/standby/img_349_ccy@.png,config/portrait/jinglingtouxiang/img_349_ccy@.png,由于长得很丑，很少被人喜欢。,由於長得很醜，很少被人喜歡。,No one like it because it looks ugly,Không ai thích nó vì nó trông xấu xí.,잘 못 생겼어서 사랑을 거의 받지 못한다.,Ninguém gosta porque parece feio,ไม่มีใครชอบมันเพราะมันดูน่าเกลียด,1,,0.8,100,<60;90>,80,<<2;6;0.5>;<6;9;0.2>;<9;14;0.1>>,{libs=<601;611;621>},,,<1;999>,,300,200,,,,,,,1,16,12,<18;23>,1,<5;10>,1,16,13,<25;41>
4,拳海参,,拳海參,Pyukumuku,Pyukumuku,해무기,Pyukumuku,ปิวกุมุกุ,,config/big_hero/standby/img_771_qhc@.png,config/portrait/jinglingtouxiang/img_771_qhc@.png,即使被移动也会返回该处，因此在那里没有食物的话就会一直肚子饿。,即使被移動也會返回該處，因此在那裡沒有食物的話就會一直肚子餓。,"Even if it is moved, it will return to the place, so if there is no food there, it will always be hungry.","Dù bị di chuyển, nó cũng sẽ trở về nơi cũ, nên nếu không có thức ăn ở đó, nó sẽ luôn đói.",옮겨져도 제자리에 되돌아가기 때문에 거기에 먹이가 없으면 계속 굶다.,"Mesmo que seja movido, ele retornará ao local, então se não houver comida lá, ele sempre estará com fome.",ถึงจะย้ายไปก็จะกลับมาอยู่ที่เดิม ฉะนั้นถ้าไม่มีอาหารก็จะหิวอยู่เสมอ,1,,0.8,100,<20;40>,30,<<2;7;0.5>;<7;10;0.2>;<10;15;0.1>>,{libs=<601;611;621>},,,<1>,,300,,,,,,,,1,13,10,<15;18>,1,<5;10>,1,13,11,<21;34>
5,千针鱼,,千針魚,Qwilfish,Qwilfish,침바루,Peixe-quente,ควิลฟิช,,config/big_hero/standby/img_211_qzy@.png,config/portrait/jinglingtouxiang/img_211_qzy@.png,它身上长着很多坚硬的刺，除了尾鳍之外没有别的鱼鳍，尾部的花纹形似一个幽灵。,它身上長著很多堅硬的刺，除了尾鰭之外沒有別的魚鰭，尾部的花紋形似一個幽靈。,It has many hard spines on its body. There are no other fins except the tail fin. The pattern on the tail looks like a ghost.,Nó có nhiều gai cứng trên cơ thể. Không có vây nào khác ngoài vây đuôi. Họa tiết trên đuôi trông giống như một con ma.,등에 단단한 가시가 많이 있다. 꼬리 지느러미 외에 다른 지느러미가 없으며 꼬리에 유령 같은 무늬가 있다.,"Ele tem muitos espinhos duros no corpo. Não há outras barbatanas, exceto a barbatana caudal. O padrão na cauda parece um fantasma.",มีหนามแข็งๆ จำนวนมากตามลำตัว ไม่มีครีบอื่นนอกจากครีบหาง ลวดลายบนหางดูเหมือนผี,1,,0.72,120,<50;70>,65,<<2;6;0.5>;<6;9;0.2>;<9;14;0.1>>,{libs=<604;614;621>},,,<2;999>,,240,200,,,,,,,1,16,13,<19;36>,1,<5;10>,1,16,14,<27;44>
6,铁炮鱼,,鐵炮魚,Remoraid,Remoraid,총어,Remoraid,เรโมเรด,,config/big_hero/standby/img_223_tpy@.png,config/portrait/jinglingtouxiang/img_223_tpy@.png,它的身体主要是浅灰色，长着两颗大眼睛。它的鳍和尾巴是白色的。,它的身體主要是淺灰色，長著兩顆大眼睛。它的鰭和尾巴是白色的。,Its body is mainly light gray with two big eyes. Its fins and tail are white.,Cơ thể nó chủ yếu là màu xám nhạt với hai con mắt to. Vây và đuôi của nó màu trắng.,그의 몸은 주로 연한 회색이고 큰 두 눈을 가지고 있다.,Seu corpo é principalmente cinza claro com dois olhos grandes. Suas barbatanas e cauda são brancas.,ลำตัวมีสีเทาอ่อนเป็นหลัก มีตาใหญ่ 2 ดวง ครีบและหางเป็นสีขาว,1,,0.72,120,<50;70>,65,<<2;6;0.5>;<6;9;0.2>;<9;14;0.1>>,{libs=<604;614;621>},,,<2>,,240,,,,,,,,1,15,12,<18;34>,1,<5;10>,1,15,13,<25;41>
7,泥泥鳅,,泥泥鰍,Barboach,Barboach,미꾸리,Barboach,บาร์โบช,,config/big_hero/standby/img_339_nnq@.png,config/portrait/jinglingtouxiang/img_339_nnq@.png,泥泥鳅的外形类似于泥鳅，身体呈浅灰色，两侧有锯齿状的黑色花纹。,泥泥鰍的外形類似於泥鰍，身體呈淺灰色，兩側有鋸齒狀的黑色花紋。,"The shape of the Barboach is similar to mud loach, with a light gray body and a serrated black pattern on both sides.","Hình dạng của Barboach tương tự như cá chạch, với thân màu xám nhạt và hoa văn răng cưa màu đen ở hai bên.",미꾸리는 미꾸라지의 모습과 같지만 몸은 연한 회색이고 몸 양쪽에 톱니 모양의 검은 무늬가 있다.,"O formato do Barboach é semelhante ao do botia, com um corpo cinza claro e um padrão preto serrilhado em ambos os lados.",รูปร่างของปลาบาร์โบชจะคล้ายกับปลาไหลโคลน โดยมีลำตัวเป็นสีเทาอ่อนและมีลวดลายหยักสีดำทั้งสองด้าน,1,,0.72,120,<40;60>,55,<<2;6;0.5>;<6;9;0.2>;<9;14;0.1>>,{libs=<604;614;621>},,,<2;999>,,240,200,,,,,,,1,14,11,<17;30>,1,<5;10>,1,14,12,<24;39>
8,麻麻小鱼,,麻麻小魚,Tynamo,Tynamo,저리어,Tínamo,ไทนาโม,,config/big_hero/standby/img_602_mmxy@.png,config/portrait/jinglingtouxiang/img_602_mmxy@.png,白色的小鱼，它的侧线是黄色的，形状类似心电图，嘴巴是像忍者刀的星状。,白色的小魚，它的側線是黃色的，形狀類似心電圖，嘴巴是像忍者刀的星狀。,"A small white fish, its side line is yellow, its shape resembles an electrocardiogram, and its mouth is star-shaped like a ninja knife.","Một con cá nhỏ màu trắng, đường bên hông màu vàng, hình dạng của nó giống như một biểu đồ điện tâm đồ, và miệng của nó có hình ngôi sao giống như một con dao ninja.",하얗고 작은 물고기. 양옆에 있는 옆줄은 노랗고 심전도과 같으며 입은 인자칼 모양이다.,"Um pequeno peixe branco, sua linha lateral é amarela, seu formato lembra um eletrocardiograma e sua boca tem o formato de uma estrela, como uma faca ninja.",ปลาตัวเล็กสีขาว มีเส้นข้างเป็นสีเหลือง มีรูปร่างคล้ายคลื่นไฟฟ้าหัวใจ และปากเป็นรูปดาวเหมือนมีดนินจา,1,,0.72,120,<20;40>,35,<<2;6;0.5>;<6;9;0.2>;<9;14;0.1>>,{libs=<604;614;621>},,,<2>,,240,,,,,,,,1,15,12,<18;33>,1,<5;10>,1,15,13,<25;41>
