变量名,name,name_tw,name_en,name_vn,name_kr,name_pt,name_th,desc,desc_tw,desc_en,desc_vn,desc_kr,desc_pt,desc_th,type,feature,taskType,taskParam,taskDesc,taskDesc_tw,taskDesc_en,taskDesc_vn,taskDesc_kr,taskDesc_pt,taskDesc_th,res,icon,award,items,goto
默认值,"""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",1,"""""",0,9999,"""""","""""","""""","""""","""""","""""","""""","""""",,{},<>,
成就ID,描述,描述,描述,描述,描述,描述,描述,描述,描述,描述,描述,描述,描述,描述,类型（1：奖励 2：任务）,功能key(对应unlock的feature字段),任务类型,任务参数,任务描述,描述,描述,描述,描述,描述,描述,右侧大资源图,icon资源,奖励,道具,跳转目标
1,困难关卡,困難關卡,Hard level,Hard level,하드 스테이지,Nível difícil,ระดับยาก,全新难度，新的挑战,全新難度，新的挑戰,"New difficulty modes, new challenges ahead","Độ khó mới, thử thách mới","새로운 난이도, 새로운 도전","Novos modos de dificuldade, novos desafios pela frente",โหมดความยากใหม่ ความท้าทายใหม่รออยู่ข้างหน้า,,heroGate,,,,,,,,,,config/grow_guide/hard.jpg,city/levelup/icon_gq_rk@.png,{gold = 10000;rmb = 20},<5000;gold>,20000
2,困难关卡,困難關卡,Hard level,Hard level,하드 스테이지,Nível difícil,ระดับยาก,全新难度，新的挑战,全新難度，新的挑戰,"New difficulty modes, new challenges ahead","Độ khó mới, thử thách mới","새로운 난이도, 새로운 도전","Novos modos de dificuldade, novos desafios pela frente",โหมดความยากใหม่ ความท้าทายใหม่รออยู่ข้างหน้า,2,heroGate,30,50,挑战困难关卡50次,挑戰困難關卡50次,Challenge Hard levels 50 times,Thử thách 50 lần ở cấp độ khó,하드 스테이지 도전 50회,Desafie os níveis difíceis 50 vezes,ท้าทายระดับความยาก 50 ครั้ง,config/grow_guide/hard.jpg,city/levelup/icon_gq_rk@.png,{gold = 10000;rmb = 20},<5000;gold>,20000
3,竞技场,競技場,Arena,Sân thi đấu,아레나,Arena,สนามกีฬา,狭路相逢勇者胜,狹路相逢勇者勝,Rivals meet on face to face and the winner emerges,Kẻ mạnh thắng khi gặp nhau trên đường hẹp.,외나무다리에서 만나 용감한 자가 승리한다,Os rivais se encontram cara a cara e o vencedor emerge,คู่ปรับเผชิญหน้ากันและผู้ชนะก็ปรากฏตัว,,arena,,,,,,,,,,config/grow_guide/arena.jpg,city/levelup/ico_activity.png,{gold = 10000;rmb = 20},<coin1>,arena
4,竞技场,競技場,Arena,Sân thi đấu,아레나,Arena,สนามกีฬา,狭路相逢勇者胜,狹路相逢勇者勝,Rivals meet on face to face and the winner emerges,Kẻ mạnh thắng trong cuộc gặp gỡ chật hẹp.,외나무다리에서 만나 용감한 자가 승리한다,Os rivais se encontram cara a cara e o vencedor emerge,คู่ปรับเผชิญหน้ากันและผู้ชนะก็ปรากฏตัว,2,arena,41,20,竞技场挑战20次,競技場挑戰20次,Attempt Arena Challenge 20 times,20 thử thách đấu trường,아레나 도전 20회,Tente o Desafio da Arena 20 vezes,พยายามเข้าร่วม Arena Challenge 20 ครั้ง,config/grow_guide/arena.jpg,city/levelup/ico_activity.png,{gold = 10000;rmb = 20},<coin1>,arena
5,日常副本,日常副本,Daily Dungeon,Thường ngày phó bản,일상 던전,Calabouço Diário,ดันเจี้ยนประจำวัน,轻松挑战，获取高额奖励,輕鬆挑戰，獲取高額獎勵,Clear challenges easily and get lots of rewards,"Thử thách dễ dàng, nhận phần thưởng cao","손쉬운 도전, 푸짐한 보상을 획득하세요",Supere desafios facilmente e ganhe muitas recompensas,เคลียร์ความท้าทายได้อย่างง่ายดายและรับรางวัลมากมาย,,activityGate,,,,,,,,,,config/grow_guide/daily.jpg,city/levelup/icon_mx_rk@.png,{gold = 10000;rmb = 20},<gold;12;13;602;603>,activityGate
6,日常副本,日常副本,Daily Dungeon,Thường ngày phó bản,일상 던전,Calabouço Diário,ดันเจี้ยนประจำวัน,轻松挑战，获取高额奖励,輕鬆挑戰，獲取高額獎勵,Clear challenges easily and get lots of rewards,"Thử thách dễ dàng, nhận thưởng lớn","손쉬운 도전, 푸짐한 보상을 획득하세요",Supere desafios facilmente e ganhe muitas recompensas,เคลียร์ความท้าทายได้อย่างง่ายดายและรับรางวัลมากมาย,2,activityGate,32,10,挑战10次日常副本,挑戰10次日常副本,Clear Daily Dungeon 10 times,Thử thách 10 phụ bản hàng ngày,일상 던전 도전 10회,Limpe a Masmorra Diária 10 vezes,เคลียร์ดันเจี้ยนประจำวัน 10 ครั้ง,config/grow_guide/daily.jpg,city/levelup/icon_mx_rk@.png,{gold = 10000;rmb = 20},<gold;12;13;602;603>,activityGate
7,冒险之路,冒險之路,Adventure Road,Mạo hiểm con đường,모험의 길,Estrada da Aventura,ถนนแห่งการผจญภัย,无限征途，勇往直前,無限征途，勇往直前,Go forward and begin the endless journey,"Hành trình bất tận, tiến lên phía trước!","끝없는 여정, 용감한 전진",Siga em frente e comece a jornada sem fim,ก้าวไปข้างหน้าและเริ่มต้นการเดินทางที่ไม่มีที่สิ้นสุด,,endlessTower,,,,,,,,,,config/grow_guide/endless.jpg,city/levelup/icon_mx_rk@.png,{gold = 10000;rmb = 20},<451;452;19;gold>,endlessTower
,冒险之路,冒險之路,Adventure Road,Mạo hiểm con đường,모험의 길,O Caminho da Aventura,เส้นทางแห่งการผจญภัย,无限征途，勇往直前,無限征途，勇往直前,Go forward and begin the endless journey,"Hành trình bất tận, tiến lên phía trước","끝없는 여정, 용감한 전진","Jornada sem fim, avance em frente",การเดินทางอันไม่มีที่สิ้นสุด มุ่งไปข้างหน้า,2,endlessTower,77,10,通关10次冒险之路（计数器未实现）,通關10次冒險之路（計數器未實現）,Clear Adventure Road 10 times (counter unavailable yet),Hoàn thành đường mạo hiểm 10 lần (chưa tích hợp bộ đếm),모험의 길 클리어 10회(카운트 시스템 미구현),Complete o caminho de aventura 10 vezes (contador não implementado),ผ่านเส้นทางผจญภัย 10 ครั้ง (ยังไม่ใช้งานตัวนับ),config/grow_guide/endless.jpg,city/levelup/icon_mx_rk@.png,{gold = 10000;rmb = 20},<451;452;19;gold>,endlessTower
