变量名,name,name_tw,name_en,name_vn,name_kr,name_pt,name_th,gateID,firstAward,repeatAward,challengeAward,killAward,desc,desc_tw,desc_en,desc_vn,desc_kr,desc_pt,desc_th
默认值,"""""","""""","""""","""""","""""","""""","""""",0,{},{},{},{},"""""","""""","""""","""""","""""","""""",""""""
公会副本ID,副本名称,副本名称,副本名称,副本名称,副本名称_韩,副本名称,副本名称,对应的关卡ID,首次通关奖励,重复通关奖励,挑战参与奖励,击杀奖励,特性介绍,特性介绍,特性介绍,特性介绍,特性介绍_韩,特性介绍_韩,特性介绍_韩
1,妙蛙花,妙蛙花,Venusaur,Venusaur,이상해꽃,Venusauro,วีนัสซอร์,1000,{5000=20;932=20;19=2},{932=10;951=1;gold=100000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},妙蛙花似乎获得了更强的能力,妙蛙花似乎獲得了更強的能力,Venusaur seems to have gotten more powerful,Vệ binh Rừng dường như đã có được sức mạnh lớn hơn.,이상해꽃이 더 강한 능력을 획득한 것 같다.,Parece que o Venusaur ganhou um poder ainda maior.,ดูเหมือนว่าเวนุซอร์จะได้รับพลังที่แข็งแกร่งยิ่งขึ้น
2,喷火龙,噴火龍,Charizard,Charizard,리자몽,Charizard,ชาริซาร์ด,1001,{5000=20;932=20;519=1},{932=10;951=1;gold=100000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},喷火龙似乎获得了更强的能力,噴火龍似乎獲得了更強的能力,Charizard seems to have gotten more powerful,Charizard dường như đã có được khả năng mạnh hơn.,리자몽이 더 강한 능력을 획득한 것 같다.,O Charizard parece ter obtido habilidades mais fortes.,ชาร์อีแซดดูเหมือนจะได้รับความสามารถที่แข็งแกร่งขึ้น
3,水箭龟,水箭龜,Blastoise,Blastoise,거북왕,Blastoise,บลาสต์,1002,{502=1;932=25;5000=25},{932=10;951=1;gold=100000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},水箭龟似乎获得了更强的能力,水箭龜似乎獲得了更強的能力,Blastoise seems to have gotten more powerful,Blastoise dường như đã có được khả năng mạnh hơn.,거북왕이 더 강한 능력을 획득한 것 같다.,Blastoise parece ter ganhado habilidades mais fortes.,บลาสโตสดูเหมือนจะได้รับความสามารถที่แข็งแกร่งขึ้น
4,胡地,胡地,Alakazam,Alakazam,후딘,Alakazam,อาลาคาซัม,1003,{932=25;rmb=100;5000=25},{932=10;951=1;gold=100000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},胡地似乎获得了更强的能力,胡地似乎獲得了更強的能力,Alakazam seems to have gotten more powerful,Alakazam dường như đã có được khả năng mạnh hơn.,후딘이 더 강한 능력을 획득한 것 같다.,Alakazam parece ter obtido habilidades mais fortes.,ดูเหมือนว่าเอเลคทราจะเป็นผู้ที่มีพลังมากขึ้น
5,妖火红狐,妖火紅狐,Delphox,Hỏa Hồ Yêu,마폭시,Delphox,เดลฟ็อกซ์,1004,{501=1;932=30;5000=30},{932=10;951=1;gold=100000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},妖火红狐似乎获得了更强的能力,妖火紅狐似乎獲得了更強的能力,Delphox seems to have gotten more powerful,Con cáo lửa ma quỷ dường như đã có được sức mạnh lớn hơn.,마폭시가 더 강한 능력을 획득한 것 같다.,A raposa de fogo demoníaca parece ter obtido poderes maiores.,สุนัขจิ้งจอกไฟปีศาจดูเหมือนจะได้รับพลังที่แข็งแกร่งขึ้น
6,甲贺忍蛙,甲賀忍蛙,Greninja,Ninja ếch Koga,개굴닌자,Greninja,เกรนินจา,1005,{5000=30;932=30;19=2},{932=10;951=1;gold=110000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},甲贺忍蛙似乎获得了更强的能力,甲賀忍蛙似乎獲得了更強的能力,Greninja seems to have gotten more powerful,Greninja dường như đã có được khả năng mạnh hơn.,개굴닌자가 더 강한 능력을 획득한 것 같다.,Greninja parece ter ganhado habilidades ainda mais fortes.,เกรนินจา ดูเหมือนจะได้รับความสามารถที่แข็งแกร่งยิ่งขึ้น
7,电击魔兽,電擊魔獸,Electivire,Raichu,에레키블,Electivire,อิเล็กโตรติเวียร์,1006,{5000=35;932=35;519=1},{932=15;951=1;gold=110000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},电击魔兽似乎获得了更强的能力,電擊魔獸似乎獲得了更強的能力,Electivire seems to have gotten more powerful,Raichu dường như đã có được khả năng mạnh hơn.,에레키블이 더 강한 능력을 획득한 것 같다.,O Raichu parece ter ganhado habilidades mais fortes.,ราichu ดูเหมือนจะได้รับความสามารถที่แข็งแกร่งขึ้น
8,耿鬼,耿鬼,Gengar,耿鬼,팬텀,Gengar,เกงการ์,1007,{502=1;932=35;5000=35},{932=15;951=1;gold=120000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},耿鬼似乎获得了更强的能力,耿鬼似乎獲得了更強的能力,Gengar seems to have gotten more powerful,Gengar dường như đã có được khả năng mạnh hơn.,팬텀이 더 강한 능력을 획득한 것 같다.,Gengar parece ter obtido habilidades mais fortes.,ดูเหมือนว่า耿鬼จะมีความสามารถที่แข็งแกร่งขึ้น
9,暴鲤龙,暴鯉龍,Gyarados,Gyarados,갸라도스,Gyarados,เกียราดอส,1008,{932=40;rmb=100;5000=40},{932=15;951=1;gold=120000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},暴鲤龙似乎获得了更强的能力,暴鯉龍似乎獲得了更強的能力,Gyarados seems to have gotten more powerful,Gyarados dường như đã có được sức mạnh lớn hơn.,갸라도스가 더 강한 능력을 획득한 것 같다.,O Gyarados parece ter ganhado um poder ainda maior.,갸라도스ดูเหมือนจะได้รับพลังที่แข็งแกร่งยิ่งขึ้น
10,快龙,快龍,Dragonite,Dragonite,망나뇽,Dragonite,ดราก้อนไนต์,1009,{501=1;932=40;5000=40},{932=15;951=1;gold=130000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},快龙似乎获得了更强的能力,快龍似乎獲得了更強的能力,Dragonite seems to have gotten more powerful,Dragonite dường như đã có được khả năng mạnh hơn.,망나뇽이 더 강한 능력을 획득한 것 같다.,O Dragonite parece ter obtido habilidades mais fortes.,ดูเหมือนว่าแดร็กไนท์จะมีความสามารถที่แข็งแกร่งขึ้น
11,急冻鸟,急凍鳥,Articuno,Articuno,프리져,Articuno,อาร์ติคูโน่,1010,{5000=50;932=50;19=2},{932=20;951=1;gold=130000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},急冻鸟似乎获得了更强的能力,急凍鳥似乎獲得了更強的能力,Articuno seems to have gotten more powerful,Articuno dường như đã có được khả năng mạnh hơn.,프리져가 더 강한 능력을 획득한 것 같다.,Articuno parece ter obtido habilidades mais fortes.,Articuno ดูเหมือนจะได้รับความสามารถที่แข็งแกร่งขึ้น
12,闪电鸟,閃電鳥,Zapdos,Zapdos,썬더,Zapdos,แซปดอส,1011,{5000=50;932=50;519=1},{932=20;951=1;gold=140000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},闪电鸟似乎获得了更强的能力,閃電鳥似乎獲得了更強的能力,Zapdos seems to have gotten more powerful,Zapdos dường như đã có được khả năng mạnh hơn.,썬더가 더 강한 능력을 획득한 것 같다.,Zapdos parece ter obtido habilidades mais fortes.,แซมเปอร์ดูเหมือนจะได้รับความสามารถที่แข็งแกร่งขึ้น
13,火焰鸟,火焰鳥,Moltres,Chim lửa,파이어,Moltres,มอลเตรส,1012,{502=1;932=50;5000=50},{932=20;951=1;gold=150000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},火焰鸟似乎获得了更强的能力,火焰鳥似乎獲得了更強的能力,Moltres seems to have gotten more powerful,Phượng hoàng lửa dường như đã có được sức mạnh lớn hơn.,파이어가 더 강한 능력을 획득한 것 같다.,A Ave de Fogo parece ter ganhado poderes ainda maiores.,นกไฟดูเหมือนจะได้รับพลังที่แข็งแกร่งขึ้น
14,蜥蜴王,蜥蜴王,Sceptile,Vua Thằn Lằn,나무킹,Céptil,สเซปไทล์,1013,{932=60;rmb=100;5000=60},{932=20;951=1;gold=160000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},蜥蜴王似乎获得了更强的能力,蜥蜴王似乎獲得了更強的能力,Sceptile seems to have gotten more powerful,Sceptile dường như đã có được sức mạnh lớn hơn.,나무킹이 더 강한 능력을 획득한 것 같다.,O Sceptile parece ter ganhado poderes maiores.,เซ็ปไทล์ดูเหมือนจะได้รับพลังที่แข็งแกร่งขึ้น
15,请假王,請假王,Slaking,Vua xin nghỉ,게을킹,Apagando,การสลัด,1014,{501=1;932=60;5000=60},{932=25;951=1;gold=170000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},请假王似乎获得了更强的能力,請假王似乎獲得了更強的能力,Slaking seems to have gotten more powerful,Vua Nghỉ phép dường như đã có được khả năng mạnh hơn.,게을킹이 더 강한 능력을 획득한 것 같다.,O Rei das Férias parece ter obtido habilidades mais fortes.,ราชาการลาพักผ่อนดูเหมือนจะได้รับความสามารถที่แข็งแกร่งขึ้น
16,炎武王,炎武王,Emboar,Vua Chiến Binh Hỏa Diệm,염무왕,Embarcar,เอ็มโบร์,1015,{5000=60;932=60;19=2},{932=25;951=2;gold=180000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},炎武王似乎获得了更强的能力,炎武王似乎獲得了更強的能力,Emboar seems to have gotten more powerful,Vua Chiến Hỏa dường như đã có được sức mạnh lớn hơn.,염무왕이 더 강한 능력을 획득한 것 같다.,O Rei da Chama parece ter obtido um poder ainda maior.,ราชาเพลิงดูเหมือนจะได้รับพลังที่แข็งแกร่งยิ่งขึ้น
17,雷公,雷公,Raikou,Lôi Công,라이코,Raikou,ไรโค,1016,{5000=70;932=70;519=1},{932=25;951=2;gold=190000},{5000=2;900=3;gold=10000;coin3=50},{rmb=100;gold=100000},雷公似乎获得了更强的能力,雷公似乎獲得了更強的能力,Raikou seems to have gotten more powerful,Lei Gong dường như đã có được sức mạnh lớn hơn.,라이코가 더 강한 능력을 획득한 것 같다.,Lei Gong parece ter obtido poderes ainda maiores.,雷公ดูเหมือนจะมีพลังมากขึ้น
